variant,year,strategy_return,benchmark_return,excess_return
delay-1,2014,0.16255613554811377,0.39006829261779785,-0.22751215706968408
delay-1,2015,0.3607700296372254,0.4311668872833252,-0.07039685764609982
delay-1,2016,0.010720315691439941,-0.17775142192840576,0.1884717376198457
delay-1,2017,0.19912115413132359,-0.002044498920440674,0.20116565305176426
delay-1,2018,-0.3097964931823711,-0.33320122957229614,0.023404736389925018
delay-1,2019,0.4696481862030717,0.26382219791412354,0.20582598828894816
delay-1,2020,0.6649380502826263,0.20871639251708984,0.45622165776553647
delay-1,2021,0.06506524912383083,0.15584516525268555,-0.09077991612885472
slippage-30bp,2010,0.17224915386483364,0.09448575973510742,0.07776339412972622
slippage-30bp,2011,-0.25289034916550646,-0.3382689356803894,0.08537858651488295
slippage-30bp,2012,0.3150102085151174,0.0027799606323242188,0.3122302478827932
slippage-30bp,2013,0.2382251683545622,0.1688830852508545,0.06934208310370771
slippage-30bp,2014,0.14633303722158808,0.39006829261779785,-0.24373525539620977
slippage-30bp,2015,0.2774895194450502,0.4311668872833252,-0.15367736783827501
slippage-30bp,2016,-0.005607494488249598,-0.17775142192840576,0.17214392744015616
slippage-30bp,2017,0.17963762647266823,-0.002044498920440674,0.1816821253931089
slippage-30bp,2018,-0.3039779273025366,-0.33320122957229614,0.029223302269759555
slippage-30bp,2019,0.480826653144784,0.26382219791412354,0.21700445523066048
slippage-30bp,2020,0.6608182257858608,0.20871639251708984,0.45210183326877096
slippage-30bp,2021,0.04903643946663516,0.15584516525268555,-0.10680872578605038
capacity-5pct,2010,0.18811217635906474,0.09448575973510742,0.09362641662395732
capacity-5pct,2011,-0.23777643476642896,-0.3382689356803894,0.10049250091396045
capacity-5pct,2012,0.3330097745811036,0.0027799606323242188,0.33022981394877937
capacity-5pct,2013,0.2617557311907539,0.1688830852508545,0.09287264593989941
capacity-5pct,2014,0.1725053713436453,0.39006829261779785,-0.21756292127415255
capacity-5pct,2015,0.30289619176773397,0.4311668872833252,-0.12827069551559123
capacity-5pct,2016,0.013073151199786137,-0.17775142192840576,0.1908245731281919
capacity-5pct,2017,0.1939530457649581,-0.002044498920440674,0.19599754468539876
capacity-5pct,2018,-0.2988069745954075,-0.33320122957229614,0.03439425497688864
capacity-5pct,2019,0.5046031584399333,0.26382219791412354,0.24078096052580977
capacity-5pct,2020,0.7011289323475614,0.20871639251708984,0.4924125398304715
capacity-5pct,2021,0.06611800532763845,0.15584516525268555,-0.0897271599250471
offset-5,2010,0.19422163066629716,0.09448575973510742,0.09973587093118974
offset-5,2011,-0.25957029025468326,-0.3382689356803894,0.07869864542570615
offset-5,2012,0.24137667684074238,0.0027799606323242188,0.23859671620841816
offset-5,2013,0.2539734368590949,0.1688830852508545,0.08509035160824041
offset-5,2014,0.13005818295896487,0.39006829261779785,-0.260010109658833
offset-5,2015,0.5100931184338751,0.4311668872833252,0.07892623115054986
offset-5,2016,-0.019996124483490085,-0.17775142192840576,0.15775529744491568
offset-5,2017,0.19004762176343037,-0.002044498920440674,0.19209212068387105
offset-5,2018,-0.3055990898475158,-0.33320122957229614,0.027602139724780317
offset-5,2019,0.4261404107030522,0.26382219791412354,0.16231821278892866
offset-5,2020,0.5779493638662032,0.20871639251708984,0.36923297134911337
offset-5,2021,0.11491916858095164,0.15584516525268555,-0.04092599667173391
offset-10,2010,0.23918893779605344,0.09448575973510742,0.144703178060946
offset-10,2011,-0.2586209060141593,-0.3382689356803894,0.07964802966623008
offset-10,2012,0.20280947855883547,0.0027799606323242188,0.20002951792651125
offset-10,2013,0.2240291857677823,0.1688830852508545,0.05514610051692781
offset-10,2014,0.10607592728203219,0.39006829261779785,-0.28399236533576566
offset-10,2015,0.5489695588477592,0.4311668872833252,0.11780267156443402
offset-10,2016,-0.07357166990789776,-0.17775142192840576,0.104179752020508
offset-10,2017,0.16135021487358037,-0.002044498920440674,0.16339471379402104
offset-10,2018,-0.3240895482676306,-0.33320122957229614,0.009111681304665553
offset-10,2019,0.43009362536846774,0.26382219791412354,0.1662714274543442
offset-10,2020,0.5955735383686525,0.20871639251708984,0.3868571458515626
offset-10,2021,0.12166040186122884,0.15584516525268555,-0.03418476339145671
offset-15,2010,0.1444435032496929,0.09448575973510742,0.049957743514585484
offset-15,2011,-0.2478924354491815,-0.3382689356803894,0.09037650023120791
offset-15,2012,0.1493730105121982,0.0027799606323242188,0.14659304987987398
offset-15,2013,0.1584103241255499,0.1688830852508545,-0.010472761125304597
offset-15,2014,0.14269148531156262,0.39006829261779785,-0.24737680730623524
offset-15,2015,0.4767889400691059,0.4311668872833252,0.04562205278578069
offset-15,2016,-0.07523606381281978,-0.17775142192840576,0.10251535811558599
offset-15,2017,0.16346547733549865,-0.002044498920440674,0.16550997625593933
offset-15,2018,-0.30273112846189065,-0.33320122957229614,0.03047010111040549
offset-15,2019,0.4042551212943839,0.26382219791412354,0.14043292338026037
offset-15,2020,0.574831508203014,0.20871639251708984,0.36611511568592414
offset-15,2021,0.135958967861894,0.15584516525268555,-0.01988619739079156
exclude-top5,2010,0.18811217635906474,0.09448575973510742,0.09362641662395732
exclude-top5,2011,-0.23892084680689962,-0.3382689356803894,0.09934808887348978
exclude-top5,2012,0.33731154996802415,0.0027799606323242188,0.33453158933569993
exclude-top5,2013,0.2570299320204352,0.1688830852508545,0.08814684676958073
exclude-top5,2014,0.18486201097617005,0.39006829261779785,-0.2052062816416278
exclude-top5,2015,0.30276027469780487,0.4311668872833252,-0.12840661258552033
exclude-top5,2016,0.014658515763053437,-0.17775142192840576,0.1924099376914592
exclude-top5,2017,0.20119342976877141,-0.002044498920440674,0.2032379286892121
exclude-top5,2018,-0.2990901666881479,-0.33320122957229614,0.034111062884148224
exclude-top5,2019,0.45641655393748537,0.26382219791412354,0.19259435602336183
exclude-top5,2020,0.6224109456015903,0.20871639251708984,0.4136945530845004
exclude-top5,2021,-0.01923371385295458,0.15584516525268555,-0.17507887910564013
exclude-top-industry,2010,0.14106762947414753,0.09448575973510742,0.046581869739040105
exclude-top-industry,2011,-0.22940898969171541,-0.3382689356803894,0.10885994598867399
exclude-top-industry,2012,0.3163585509366922,0.0027799606323242188,0.31357859030436797
exclude-top-industry,2013,0.1980364932418266,0.1688830852508545,0.029153407990972102
exclude-top-industry,2014,0.18802972651732253,0.39006829261779785,-0.20203856610047533
exclude-top-industry,2015,0.28597807943818854,0.4311668872833252,-0.14518880784513666
exclude-top-industry,2016,-0.003808163279862442,-0.17775142192840576,0.17394325864854332
exclude-top-industry,2017,0.17324620849323713,-0.002044498920440674,0.1752907074136778
exclude-top-industry,2018,-0.29959075908422017,-0.33320122957229614,0.03361047048807597
exclude-top-industry,2019,0.391121278451801,0.26382219791412354,0.12729908053767747
exclude-top-industry,2020,0.7093186666384899,0.20871639251708984,0.5006022741214
exclude-top-industry,2021,-0.0025769765027735536,0.15584516525268555,-0.1584221417554591
industry-cap-25pct,2010,0.1903776068332892,0.09448575973510742,0.09589184709818177
industry-cap-25pct,2011,-0.24007128301474845,-0.3382689356803894,0.09819765266564096
industry-cap-25pct,2012,0.3310045590884474,0.0027799606323242188,0.3282245984561232
industry-cap-25pct,2013,0.2556234632587886,0.1688830852508545,0.0867403780079341
industry-cap-25pct,2014,0.1722169420056121,0.39006829261779785,-0.21785135061218575
industry-cap-25pct,2015,0.31889713590050683,0.4311668872833252,-0.11226975138281836
industry-cap-25pct,2016,0.02401339235715616,-0.17775142192840576,0.20176481428556192
industry-cap-25pct,2017,0.19347401992883317,-0.002044498920440674,0.19551851884927385
industry-cap-25pct,2018,-0.2991855090519837,-0.33320122957229614,0.03401572052031243
industry-cap-25pct,2019,0.5038833029688585,0.26382219791412354,0.240061105054735
industry-cap-25pct,2020,0.7082677394499526,0.20871639251708984,0.49955134693286274
industry-cap-25pct,2021,0.06639563477818533,0.15584516525268555,-0.08944953047450022
