variant,year,strategy_return,benchmark_return,excess_return
standard,2010,0.18811217635906474,0.09448575973510742,0.09362641662395732
standard,2011,-0.23929547187012645,-0.3382689356803894,0.09897346381026295
standard,2012,0.33313276647043777,0.0027799606323242188,0.33035280583811355
standard,2013,0.2613439111636249,0.1688830852508545,0.09246082591277038
standard,2014,0.17245082256588407,0.39006829261779785,-0.21761747005191379
standard,2015,0.30242231711188716,0.4311668872833252,-0.12874457017143803
standard,2016,0.01320524558518077,-0.17775142192840576,0.19095666751358653
standard,2017,0.1937180428245613,-0.002044498920440674,0.19576254174500196
standard,2018,-0.2989079297589422,-0.33320122957229614,0.03429329981335394
standard,2019,0.5047613547232126,0.26382219791412354,0.24093915680908906
standard,2020,0.7003125057598196,0.20871639251708984,0.4915961132427298
standard,2021,0.0661176900814997,0.15584516525268555,-0.08972747517118584
double-cost,2010,0.17443026322022903,0.09448575973510742,0.07994450348512161
double-cost,2011,-0.25161386018663023,-0.3382689356803894,0.08665507549375917
double-cost,2012,0.3169521772037507,0.0027799606323242188,0.31417221657142647
double-cost,2013,0.24057998599880315,0.1688830852508545,0.07169690074794866
double-cost,2014,0.14867971935113578,0.39006829261779785,-0.24138857326666208
double-cost,2015,0.27991003275592075,0.4311668872833252,-0.15125685452740445
double-cost,2016,-0.0036618037104703127,-0.17775142192840576,0.17408961821793545
double-cost,2017,0.18089711272069708,-0.002044498920440674,0.18294161164113776
double-cost,2018,-0.30358123676577964,-0.33320122957229614,0.029619992806516504
double-cost,2019,0.48351888213301786,0.26382219791412354,0.21969668421889432
double-cost,2020,0.6673112648520623,0.20871639251708984,0.4585948723349724
double-cost,2021,0.051625358922491316,0.15584516525268555,-0.10421980633019423
delay-1,2010,0.15249619197281272,0.09448575973510742,0.0580104322377053
delay-1,2011,-0.2298744530534622,-0.3382689356803894,0.10839448262692719
delay-1,2012,0.2928484204488562,0.0027799606323242188,0.29006845981653195
delay-1,2013,0.2062882682891125,0.1688830852508545,0.037405183038258016
