trade_date,cash,positions_value,total_value,daily_return
2015-12-11,1422.0652615941217,22848425.480937958,22849847.546199553,-0.009525627771768685
2015-12-14,1422.0652615941217,23158723.76728058,23160145.832542174,0.01357988431718149
2015-12-15,1422.0652615941217,23328729.64568138,23330151.710942976,0.0073404493922455405
2015-12-16,1422.0652615941217,23430375.486421585,23431797.55168318,0.004356844396023574
2015-12-17,1422.0652615941217,24026152.503728867,24027574.56899046,0.025426005665727613
2015-12-18,1422.0652615941217,23858692.114925385,23860114.18018698,-0.006969508650265688
2015-12-21,1422.0652615941217,24023758.82077217,24025180.886033766,0.006918102092900114
2015-12-22,1422.0652615941217,24125879.246997833,24127301.31225943,0.004250558058650267
2015-12-23,1422.0652615941217,23804735.891628265,23806157.95688986,-0.013310371981237301
2015-12-24,1422.0652615941217,23736373.093271255,23737795.15853285,-0.0028716434832032345
2015-12-25,1422.0652615941217,23770900.597143173,23772322.66240477,0.0014545371059664358
2015-12-28,1422.0652615941217,23375755.245685577,23377177.310947172,-0.0166220758934299
2015-12-29,1422.0652615941217,23513832.586336136,23515254.65159773,0.005906501833559563
2015-12-30,1422.0652615941217,23763846.495485306,23765268.5607469,0.010631988164847783
2015-12-31,1422.0652615941217,23371633.391952515,23373055.45721411,-0.016503625975454295
2016-01-04,314.59023078985047,21520021.33641243,21520335.92664322,-0.07926732274958292
2016-01-05,314.59023078985047,21139152.910900116,21139467.501130905,-0.017698070643998642
2016-01-06,314.59023078985047,21494106.16335869,21494420.753589477,0.016791021459721334
2016-01-07,314.59023078985047,19762979.05473709,19763293.64496788,-0.08053843964753071
2016-01-08,314.59023078985047,19759210.407972336,19759524.998203125,-0.00019068920557752111
2016-01-11,314.59023078985047,18618576.405382156,18618890.995612945,-0.05772578048783594
2016-01-12,314.59023078985047,19108734.511327744,19109049.101558533,0.02632584862659537
2016-01-13,314.59023078985047,18458570.400857925,18458884.991088714,-0.03402388611879126
2016-01-14,314.59023078985047,19243397.083473206,19243711.673703995,0.04251755634179233
2016-01-15,314.59023078985047,18812116.561079025,18812431.151309814,-0.022411504064650534
2016-01-18,314.59023078985047,19276042.218637466,19276356.808868255,0.024660590320679576
2016-01-19,314.59023078985047,19885992.69218445,19886307.282415237,0.031642414570079325
