trade_date,symbol,side,requested_shares,filled_shares,price,gross_value,commission,tax,reason
2020-10-09,SH603613,sell,25800,25800,62.305685382843016,1607486.68287735,482.2460048632049,1607.48668287735,filled
2020-10-09,SH603638,sell,1800,1800,42.37103107452393,76267.85593414307,22.880356780242916,76.26785593414307,filled
2020-10-09,SH603737,sell,1600,1600,116.56678058624267,186506.84893798828,55.95205468139648,186.50684893798828,filled
2020-10-09,SZ002555,sell,34000,34000,39.79772880935669,1353122.7795181274,405.9368338554382,1353.1227795181276,filled
2020-10-09,SZ002838,sell,100,100,28.159773616790773,2815.977361679077,5.0,2.815977361679077,filled
2020-10-09,SZ002847,sell,900,900,149.29109596252442,134361.98636627197,40.30859590988159,134.36198636627196,filled
2020-10-09,SZ300122,sell,1700,1700,141.455555557251,240474.44444732668,72.142333334198,240.47444444732668,filled
2020-10-09,SZ300418,sell,2000,2000,26.31459381866455,52629.1876373291,15.788756291198728,52.6291876373291,filled
2020-10-09,SZ300482,sell,20000,20000,64.31593737030029,1286318.7474060059,385.8956242218017,1286.318747406006,filled
2020-10-09,SZ300601,sell,100,100,183.58045697021484,18358.045697021484,5.507413709106444,18.358045697021485,filled
2020-10-09,SZ300751,sell,500,500,196.50463838195802,98252.319190979,29.4756957572937,98.25231919097901,filled
2020-10-09,SZ300763,sell,8900,8900,76.22773496246337,678426.841165924,203.52805234977717,678.426841165924,filled
2020-10-09,SH600132,buy,13700,13700,102.25076922607421,1400835.5383972167,420.25066151916496,0.0,filled
2020-10-09,SH603127,buy,100,100,67.04553996276854,6704.553996276854,5.0,0.0,filled
2020-10-09,SH603317,buy,25400,25400,55.15725975036621,1400994.3976593018,420.2983192977905,0.0,filled
2020-10-09,SH603338,buy,13900,13900,100.24626428222655,1393423.0735229491,418.0269220568847,0.0,filled
2020-10-09,SH603882,buy,13500,13500,103.40119523620605,1395916.1356887817,418.7748407066345,0.0,filled
2020-10-09,SZ000661,buy,500,500,374.7798619995117,187389.93099975586,56.216979299926756,0.0,filled
