variant,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,longest_underwater_trading_days,yearly_returns,positive_excess_year_ratio
standard,4.367877567463409,0.15623933351675778,0.5198897566266705,0.6882655832123635,0.26063205066537715,1146,"{'2010': 0.18811217635906474, '2011': -0.23929547187012645, '2012': 0.33313276647043777, '2013': 0.2613439111636249, '2014': 0.17245082256588407, '2015': 0.30242231711188716, '2016': 0.01320524558518077, '2017': 0.1937180428245613, '2018': -0.2989079297589422, '2019': 0.5047613547232126, '2020': 0.7003125057598196, '2021': 0.0661176900814997}",0.75
double-cost,3.4997279625832576,0.1387511897862339,0.520389268886255,0.6317855242499169,0.2592172665072613,1197,"{'2010': 0.17443026322022903, '2011': -0.25161386018663023, '2012': 0.3169521772037507, '2013': 0.24057998599880315, '2014': 0.14867971935113578, '2015': 0.27991003275592075, '2016': -0.0036618037104703127, '2017': 0.18089711272069708, '2018': -0.30358123676577964, '2019': 0.48351888213301786, '2020': 0.6673112648520623, '2021': 0.051625358922491316}",0.75
delay-1,3.773724028230042,0.14458109655263862,0.5120834775329546,0.6533978173902703,0.2579434092256889,1147,"{'2010': 0.15249619197281272, '2011': -0.2298744530534622, '2012': 0.2928484204488562, '2013': 0.2062882682891125, '2014': 0.16255613554811377, '2015': 0.3607700296372254, '2016': 0.010720315691439941, '2017': 0.19912115413132359, '2018': -0.3097964931823711, '2019': 0.4696481862030717, '2020': 0.6649380502826263, '2021': 0.06506524912383083}",0.75
slippage-30bp,3.3989350658021644,0.13652469452027227,0.5203388091506342,0.6245228032112782,0.25901117632185866,1198,"{'2010': 0.17224915386483364, '2011': -0.25289034916550646, '2012': 0.3150102085151174, '2013': 0.2382251683545622, '2014': 0.14633303722158808, '2015': 0.2774895194450502, '2016': -0.005607494488249598, '2017': 0.17963762647266823, '2018': -0.3039779273025366, '2019': 0.480826653144784, '2020': 0.6608182257858608, '2021': 0.04903643946663516}",0.75
capacity-5pct,4.385217063566598,0.1565615188221099,0.5194437466501549,0.6892887044928824,0.2606609515667347,1146,"{'2010': 0.18811217635906474, '2011': -0.23777643476642896, '2012': 0.3330097745811036, '2013': 0.2617557311907539, '2014': 0.1725053713436453, '2015': 0.30289619176773397, '2016': 0.013073151199786137, '2017': 0.1939530457649581, '2018': -0.2988069745954075, '2019': 0.5046031584399333, '2020': 0.7011289323475614, '2021': 0.06611800532763845}",0.75
offset-5,3.772724515380923,0.14456039116835684,0.49563197133757786,0.6492992905491262,0.26059245323708685,1144,"{'2010': 0.19422163066629716, '2011': -0.25957029025468326, '2012': 0.24137667684074238, '2013': 0.2539734368590949, '2014': 0.13005818295896487, '2015': 0.5100931184338751, '2016': -0.019996124483490085, '2017': 0.19004762176343037, '2018': -0.3055990898475158, '2019': 0.4261404107030522, '2020': 0.5779493638662032, '2021': 0.11491916858095164}",0.8333333333333334
offset-10,3.313215722204083,0.13459418768696696,0.48737153122604937,0.6201346175002238,0.2574326361037251,1208,"{'2010': 0.23918893779605344, '2011': -0.2586209060141593, '2012': 0.20280947855883547, '2013': 0.2240291857677823, '2014': 0.10607592728203219, '2015': 0.5489695588477592, '2016': -0.07357166990789776, '2017': 0.16135021487358037, '2018': -0.3240895482676306, '2019': 0.43009362536846774, '2020': 0.5955735383686525, '2021': 0.12166040186122884}",0.8333333333333334
offset-15,2.644790506143896,0.11820895178475532,0.4880682671368115,0.5665068953617953,0.2549791006199265,1219,"{'2010': 0.1444435032496929, '2011': -0.2478924354491815, '2012': 0.1493730105121982, '2013': 0.1584103241255499, '2014': 0.14269148531156262, '2015': 0.4767889400691059, '2016': -0.07523606381281978, '2017': 0.16346547733549865, '2018': -0.30273112846189065, '2019': 0.4042551212943839, '2020': 0.574831508203014, '2021': 0.135958967861894}",0.75
exclude-top5,3.645203861995509,0.1418856820074208,0.5200893068881718,0.6421254979729736,0.25939815559468515,1148,"{'2010': 0.18811217635906474, '2011': -0.23892084680689962, '2012': 0.33731154996802415, '2013': 0.2570299320204352, '2014': 0.18486201097617005, '2015': 0.30276027469780487, '2016': 0.014658515763053437, '2017': 0.20119342976877141, '2018': -0.2990901666881479, '2019': 0.45641655393748537, '2020': 0.6224109456015903, '2021': -0.01923371385295458}",0.75
exclude-top-industry,3.1133140219556736,0.12995230708709782,0.5191130530940946,0.6040327539490749,0.2575660363281246,1221,"{'2010': 0.14106762947414753, '2011': -0.22940898969171541, '2012': 0.3163585509366922, '2013': 0.1980364932418266, '2014': 0.18802972651732253, '2015': 0.28597807943818854, '2016': -0.003808163279862442, '2017': 0.17324620849323713, '2018': -0.29959075908422017, '2019': 0.391121278451801, '2020': 0.7093186666384899, '2021': -0.0025769765027735536}",0.75
industry-cap-25pct,4.484355576704018,0.15838561222983794,0.5214516299944654,0.6949919499997823,0.26086969472680144,1146,"{'2010': 0.1903776068332892, '2011': -0.24007128301474845, '2012': 0.3310045590884474, '2013': 0.2556234632587886, '2014': 0.1722169420056121, '2015': 0.31889713590050683, '2016': 0.02401339235715616, '2017': 0.19347401992883317, '2018': -0.2991855090519837, '2019': 0.5038833029688585, '2020': 0.7082677394499526, '2021': 0.06639563477818533}",0.75
