period,liquidity_layer,events,mean_excess_20,mean_excess_60,mean_excess_120,positive_excess_60
development,lower,882,0.019540181762999053,0.061931833479107155,0.08410817255967756,0.5306122448979592
development,middle,881,0.009765451299037553,0.02745771877494924,0.025564836290887166,0.47219069239500566
development,upper,892,-0.0007040909436821732,-0.011946543909591609,-0.014842625213216755,0.3789237668161435
selection-validation,lower,479,0.014019150115456038,0.04273585883671777,0.04601000406423833,0.511482254697286
selection-validation,middle,476,0.00900871819081689,0.021531071513891224,0.06357308912951991,0.46218487394957986
selection-validation,upper,479,0.012352797775587778,0.045038837063443526,0.0650027720235829,0.48851774530271397
