date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2019-01-02,983760.2113454246,512765.2160437587,470994.995301666,11,486602.20109481807,0.986345112323761,11,11,0.5,-0.016239788654575316,0.0
2019-01-03,975642.7437414262,512765.2160437587,462877.5276976674,11,0.0,0.9847840070724487,11,11,0.5,-0.008251469728478567,-0.008251469728478567
2019-01-04,981056.0839929575,512765.2160437587,468290.8679491988,11,0.0,1.0083768367767334,11,11,0.5,0.0055484861505472605,-0.0027487667434413776
2019-01-07,984234.4665794838,512765.2160437587,471469.2505357252,11,0.0,1.0144984722137451,11,11,0.5,0.003239756256941062,0.0
2019-01-08,982631.2969860424,512765.2160437587,469866.08094228373,11,0.0,1.0123063325881958,11,11,0.5,-0.0016288492710613278,-0.0016288492710613278
2019-01-09,983678.1224663226,512765.2160437587,470912.90642256394,11,0.0,1.02252995967865,11,11,0.5,0.0010653288608770684,-0.0005652556703228395
2019-01-10,979682.7897437048,512765.2160437587,466917.57369994617,11,0.0,1.0206068754196167,11,11,0.5,-0.0040616260861841,-0.004624585899330902
2019-01-11,979260.3491954377,512765.2160437587,466495.133151679,11,0.0,1.0279440879821777,11,11,0.5,-0.0004312013568980033,-0.005053793128514061
2019-01-14,977085.8057743151,512765.2160437587,464320.5897305565,11,0.0,1.0189759731292725,11,11,0.5,-0.00222059784500539,-0.007263168531389086
2019-01-15,984323.2448412805,512765.2160437587,471558.02879752184,11,0.0,1.0389750003814697,11,11,0.5,0.0074071683614622685,0.0
2019-01-16,986453.5067350356,512765.2160437587,473688.2906912769,11,0.0,1.039194107055664,11,11,0.5,0.002164189360476243,0.0
2019-01-17,984685.9087331074,512765.2160437587,471920.6926893487,11,0.0,1.0334711074829102,11,11,0.5,-0.0017918715781938266,-0.0017918715781938266
2019-01-18,992248.2247941277,512765.2160437587,479483.0087503691,11,0.0,1.052320957183838,11,11,0.5,0.007679927166572398,0.0
2019-01-21,996701.2264253041,512765.2160437587,483936.0103815454,11,0.0,1.0581237077713013,11,11,0.5,0.0044877899701964985,0.0
2019-01-22,995089.3776145248,512765.2160437587,482324.1615707661,11,0.0,1.0440667867660522,11,11,0.5,-0.0016171835330835993,-0.0016171835330835993
2019-01-23,995847.7558846978,512765.2160437587,483082.5398409391,11,0.0,1.0433127880096436,11,11,0.5,0.0007621207574248778,-0.0008562952647979127
2019-01-24,1000683.9481766546,512765.2160437587,487918.73213289597,11,0.0,1.0492019653320312,11,11,0.5,0.004856357072031026,0.0
2019-01-25,1005619.2135140824,512765.2160437587,492853.9974703237,11,0.0,1.0577349662780762,11,11,0.5,0.004931892178764663,0.0
2019-01-28,1007586.8305335368,512765.2160437587,494821.6144897781,11,0.0,1.0575058460235596,11,11,0.5,0.001956622340755443,0.0
2019-01-29,1007790.2813711786,512765.2160437587,495025.06532741996,11,0.0,1.0608904361724854,11,11,0.5,0.0002019189130668675,0.0
2019-01-30,1002364.1863715225,512765.2160437587,489598.97032776376,11,0.0,1.0524238348007202,11,11,0.5,-0.0053841509488198325,-0.0053841509488198325
2019-01-31,1006250.7033258497,512765.2160437587,493485.487282091,11,0.0,1.0634348392486572,11,11,0.5,0.0038773501758837536,-0.0015276770115645322
2019-02-01,1015958.148308659,503780.95770619955,512177.1906024595,16,706655.9983856658,1.0786374807357788,16,16,0.5,0.009647143550532977,0.0
2019-02-11,1024838.3833770333,503780.95770619955,521057.42567083373,16,0.0,1.0982577800750732,16,16,0.5,0.008740748901082007,0.0
2019-02-12,1028077.1121430565,503780.95770619955,524296.154436857,16,0.0,1.1061862707138062,16,16,0.5,0.003160233670552959,0.0
2019-02-13,1031168.1530562602,503780.95770619955,527387.1953500606,16,0.0,1.1283377408981323,16,16,0.5,0.0030066236050720896,0.0
