comparison,execution_date,local_count,joinquant_count,intersection_count,overlap_ratio,local_only,joinquant_only
holdings,2023-01-03,20,20,20,1.0,,
holdings,2023-02-01,20,20,20,1.0,,
holdings,2023-03-01,20,20,18,0.9,"SZ002938,SZ300121","SZ000666,SZ002048"
holdings,2023-04-03,20,20,17,0.85,"SH688399,SZ000598,SZ003019","SH688068,SZ000666,SZ002048"
holdings,2023-05-04,19,19,17,0.8947368421052632,"SZ002030,SZ002884","SH600133,SZ000915"
holdings,2023-06-01,20,20,18,0.9,"SZ002233,SZ300146","SZ000915,SZ003019"
ordered_symbols,2019-01-02,20,20,17,0.85,"SZ000415,SZ000519,SZ002394","SH600668,SH600720,SZ300159"
ordered_symbols,2019-02-01,23,23,19,0.8260869565217391,"SZ000415,SZ000519,SZ000922,SZ002394","SH600720,SZ001914,SZ002359,SZ300159"
ordered_symbols,2019-03-01,26,25,20,0.7692307692307693,"SH600782,SH600801,SZ000415,SZ000519,SZ000922,SZ002394","SH600720,SZ001914,SZ002359,SZ300061,SZ300159"
ordered_symbols,2019-04-01,30,32,26,0.8125,"SH603277,SZ000415,SZ000922,SZ002394","SH600720,SH600823,SZ001914,SZ002530,SZ300061,SZ300159"
ordered_symbols,2019-05-06,37,37,33,0.8918918918918919,"SH600327,SH601222,SH603277,SZ002394","SH600677,SH600823,SH603585,SZ300061"
ordered_symbols,2019-06-03,24,24,22,0.9166666666666666,"SH600327,SH600328","SH600677,SH603585"
ordered_symbols,2019-07-01,22,21,20,0.9090909090909091,"SH600426,SH603167",SH600677
ordered_symbols,2019-08-01,24,24,23,0.9583333333333334,SH603167,SH600677
ordered_symbols,2019-09-02,33,34,30,0.8823529411764706,"SH601677,SZ000719,SZ002048","SH600328,SH600376,SH600387,SH600823"
ordered_symbols,2019-10-08,25,25,21,0.84,"SH601006,SH601677,SZ002048,SZ002884","SH600328,SH600376,SH600387,SH600823"
ordered_symbols,2019-11-01,33,34,30,0.8823529411764706,"SH600252,SH600328,SH600516","SH600376,SH600387,SZ000932,SZ300625"
ordered_symbols,2019-12-02,21,21,19,0.9047619047619048,"SH600252,SH600328","SH603585,SZ000932"
ordered_symbols,2020-01-02,22,22,20,0.9090909090909091,"SH600252,SH600328","SH603458,SH603585"
ordered_symbols,2020-02-03,23,22,20,0.8695652173913043,"SH600328,SZ000069,SZ002664","SH603277,SH603585"
ordered_symbols,2020-03-02,26,25,23,0.8846153846153846,"SH600252,SZ000069,SZ002793","SH600516,SH600750"
ordered_symbols,2020-04-01,29,29,24,0.8275862068965517,"SH600051,SH600252,SH600971,SZ000069,SZ002793","SH600516,SH600750,SH603277,SH603808,SZ002664"
ordered_symbols,2020-05-06,36,38,32,0.8421052631578947,"SH600643,SH600971,SZ002128,SZ002793","SH600035,SH600516,SH600682,SH603277,SH603808,SZ002664"
ordered_symbols,2020-06-01,24,23,21,0.875,"SH600273,SH600643,SZ002128","SH600035,SH600682"
ordered_symbols,2020-07-01,22,24,20,0.8333333333333334,"SH600273,SH600643","SH600035,SH600682,SZ000600,SZ002746"
ordered_symbols,2020-08-03,26,26,25,0.9615384615384616,SH600643,SZ002746
ordered_symbols,2020-09-01,36,36,36,1.0,,
ordered_symbols,2020-10-09,22,22,21,0.9545454545454546,SH600987,SH603012
ordered_symbols,2020-11-02,32,33,30,0.9090909090909091,"SH600287,SH600987","SH600067,SH603012,SZ000791"
ordered_symbols,2020-12-01,23,24,22,0.9166666666666666,SH600287,"SZ000069,SZ000791"
ordered_symbols,2021-01-04,27,25,25,0.9259259259259259,"SH600287,SH600643",
ordered_symbols,2021-02-01,25,24,22,0.88,"SH600287,SH600643,SZ002157","SH603886,SZ002033"
ordered_symbols,2021-03-01,25,24,21,0.84,"SH600287,SH600643,SZ002154,SZ002157","SH600023,SZ002033,SZ002432"
ordered_symbols,2021-04-01,29,27,25,0.8620689655172413,"SH600287,SH600643,SH600668,SZ002154","SH600067,SZ000581"
ordered_symbols,2021-05-06,38,38,34,0.8947368421052632,"SH600287,SH600668,SZ002763,SZ300677","SH600750,SZ000581,SZ002531,SZ300259"
