execution_date,reported_holding_count,symbol,total_value
2019-07-01,20,SH600173,13123720.6641
2019-07-01,20,SH600261,13123720.6641
2019-07-01,20,SH600269,13123720.6641
2019-07-01,20,SH600382,13123720.6641
2019-07-01,20,SH600516,13123720.6641
2019-07-01,20,SH600603,13123720.6641
2019-07-01,20,SH600677,13123720.6641
2019-07-01,20,SH600694,13123720.6641
2019-07-01,20,SH601006,13123720.6641
2019-07-01,20,SH601222,13123720.6641
2019-07-01,20,SH603980,13123720.6641
2019-08-01,20,SZ000155,12386365.5978
2019-08-01,20,SZ000581,12386365.5978
2019-08-01,20,SZ000636,12386365.5978
2019-08-01,20,SZ000789,12386365.5978
2019-08-01,20,SZ000919,12386365.5978
2019-08-01,20,SZ000999,12386365.5978
2019-08-01,20,SZ002195,12386365.5978
2019-08-01,20,SZ002406,12386365.5978
2019-08-01,20,SZ002635,12386365.5978
2019-08-01,20,SZ002884,12386365.5978
2019-08-01,20,SZ300349,12386365.5978
2019-08-01,20,SH600173,12386365.5978
2019-08-01,20,SH600261,12386365.5978
2019-08-01,20,SH600269,12386365.5978
2019-08-01,20,SH600516,12386365.5978
2019-08-01,20,SH600694,12386365.5978
2019-08-01,20,SH600995,12386365.5978
2019-08-01,20,SH601006,12386365.5978
2019-08-01,20,SH601222,12386365.5978
2019-08-01,20,SH603980,12386365.5978
2019-09-02,20,SZ000581,12486897.6281
2019-09-02,20,SZ000789,12486897.6281
2019-09-02,20,SZ002150,12486897.6281
2019-09-02,20,SZ002195,12486897.6281
2019-09-02,20,SZ002406,12486897.6281
2019-09-02,20,SZ002444,12486897.6281
2019-09-02,20,SZ300017,12486897.6281
2019-09-02,20,SH600261,12486897.6281
2019-09-02,20,SH600328,12486897.6281
2019-09-02,20,SH600376,12486897.6281
2019-09-02,20,SH600382,12486897.6281
2019-09-02,20,SH600387,12486897.6281
2019-09-02,20,SH600449,12486897.6281
2019-09-02,20,SH600516,12486897.6281
2019-09-02,20,SH600720,12486897.6281
2019-09-02,20,SH600782,12486897.6281
2019-09-02,20,SH600823,12486897.6281
2019-09-02,20,SH601567,12486897.6281
2019-09-02,20,SH603277,12486897.6281
2019-09-02,20,SH603608,12486897.6281
2019-10-08,20,SZ000581,12712965.742696
2019-10-08,20,SZ000719,12712965.742696
2019-10-08,20,SZ002150,12712965.742696
2019-10-08,20,SZ002195,12712965.742696
2019-10-08,20,SZ002406,12712965.742696
2019-10-08,20,SZ002440,12712965.742696
2019-10-08,20,SZ002444,12712965.742696
2019-10-08,20,SZ300017,12712965.742696
2019-10-08,20,SH600261,12712965.742696
2019-10-08,20,SH600376,12712965.742696
2019-10-08,20,SH600382,12712965.742696
2019-10-08,20,SH600387,12712965.742696
2019-10-08,20,SH600449,12712965.742696
2019-10-08,20,SH600668,12712965.742696
2019-10-08,20,SH600720,12712965.742696
2019-10-08,20,SH600782,12712965.742696
2019-10-08,20,SH601019,12712965.742696
2019-10-08,20,SH603277,12712965.742696
2019-10-08,20,SH603608,12712965.742696
2019-10-08,20,SH603898,12712965.742696
2019-11-01,20,SZ000069,12699038.251376
2019-11-01,20,SZ000791,12699038.251376
2019-11-01,20,SZ000910,12699038.251376
2019-11-01,20,SZ000932,12699038.251376
2019-11-01,20,SZ000933,12699038.251376
2019-11-01,20,SZ002150,12699038.251376
2019-11-01,20,SZ002444,12699038.251376
2019-11-01,20,SZ002664,12699038.251376
2019-11-01,20,SZ002884,12699038.251376
2019-11-01,20,SZ300625,12699038.251376
2019-11-01,20,SH600097,12699038.251376
2019-11-01,20,SH600261,12699038.251376
2019-11-01,20,SH600267,12699038.251376
2019-11-01,20,SH600382,12699038.251376
2019-11-01,20,SH600449,12699038.251376
2019-11-01,20,SH600510,12699038.251376
2019-11-01,20,SH600720,12699038.251376
2019-11-01,20,SH601006,12699038.251376
2019-11-01,20,SH601222,12699038.251376
2019-11-01,20,SH603886,12699038.251376
2019-12-02,20,SZ000069,12708600.584276
2019-12-02,20,SZ000791,12708600.584276
2019-12-02,20,SZ000910,12708600.584276
2019-12-02,20,SZ000932,12708600.584276
2019-12-02,20,SZ000933,12708600.584276
2019-12-02,20,SZ002444,12708600.584276
2019-12-02,20,SZ002664,12708600.584276
2019-12-02,20,SZ002884,12708600.584276
2019-12-02,20,SZ300625,12708600.584276
2019-12-02,20,SH600097,12708600.584276
2019-12-02,20,SH600261,12708600.584276
2019-12-02,20,SH600267,12708600.584276
