year,return
2014,0.2823419002414782
2015,0.8953675025469179
2016,-0.17771950032230655
2017,-0.2225822627709082
2018,-0.17408181431588132
2019,0.39291611964988316
2020,0.08543620448581746
2021,0.31090389750489744
2022,0.0715001211944486
2023,0.22153350241273229
2024,0.04472483900862079
2025,0.4400999333892621
2026,-0.1954037117182581
