trade_date,position,risk_weight,full_weight,entry,exit,trailing_stop,atr,weekly_ema_up,weekly_histogram_rising,stochastic_k,force_ema_2
2020-11-16,0.0,0.0,0.0,False,False,,,False,False,,
2020-11-17,0.0,0.0,0.0,False,False,,,False,False,,
2020-11-18,0.0,0.0,0.0,False,False,,,False,False,,-17351658.219666723
2020-11-19,0.0,0.0,0.0,False,False,,,False,False,,613197.4587777639
2020-11-20,0.0,0.0,0.0,False,False,,,False,False,,-997607.5730740351
2020-11-23,0.0,0.0,0.0,False,False,,,False,False,,-7244255.573024743
2020-11-24,0.0,0.0,0.0,False,False,,,False,False,14.670745920745924,-4673978.709674917
2020-11-25,0.0,0.0,0.0,False,False,,,False,False,12.2427101200686,-14110046.161224924
2020-11-26,0.0,0.0,0.0,False,False,,,False,False,8.631599008957489,-5741684.564408348
2020-11-27,0.0,0.0,0.0,False,False,,,False,False,9.924528301886795,-1219717.9601361156
2020-11-30,0.0,0.0,0.0,False,False,,,False,False,14.500000000000092,-829926.1240453252
2020-12-01,0.0,0.0,0.0,False,False,,,False,False,34.31481481481501,6764361.318651565
2020-12-02,0.0,0.0,0.0,False,False,,0.07657101421411466,False,False,56.75925925925946,4000756.3862171513
2020-12-03,0.0,0.0,0.0,False,False,,0.07206555158225969,False,False,79.75475475475494,2221232.1880724174
2020-12-04,0.0,0.0,0.0,False,False,,0.06736820146054742,False,False,80.03003003003019,-745029.9906425286
2020-12-07,0.0,0.0,0.0,False,False,,0.06303218596358223,False,False,76.32632632632648,59259.64578578985
2020-12-08,0.0,0.0,0.0,False,False,,0.0588758639663836,False,False,54.90490490490498,-1087436.3794047376
2020-12-09,0.0,0.0,0.0,False,False,,0.05696233596896948,False,False,33.70370370370363,-14971808.334468257
2020-12-10,0.0,0.0,0.0,False,False,,0.05396523320212568,False,False,17.472766884531534,-4117034.392156053
2020-12-11,0.0,0.0,0.0,False,False,,0.05104483064811601,False,False,26.40522875816984,3134619.7859479478
2020-12-14,0.0,0.0,0.0,False,False,,0.049118305213645554,False,False,54.61778914464335,6814361.561316025
2020-12-15,0.0,0.0,0.0,False,False,,0.046724589427980516,False,False,71.59734692520234,26502.081771971192
2020-12-16,0.0,0.0,0.0,False,False,,0.04482269793352048,False,False,67.31421523280906,-5263074.672742681
2020-12-17,0.0,0.0,0.0,False,False,,0.0431440288617112,False,False,59.401955146635906,3364132.8277524444
2020-12-18,0.0,0.0,0.0,False,False,,0.041363718949271884,False,False,52.597278129193,306410.38925084437
2020-12-21,0.0,0.0,0.0,False,False,,0.04072035595317406,False,False,73.17942942942938,13624805.618416904
2020-12-22,0.0,0.0,0.0,False,False,,0.04012648241831451,False,False,64.26234908377766,-6021267.117194329
2020-12-23,0.0,0.0,0.0,False,False,,0.03873213761690571,False,False,69.37358276643992,2449114.460935227
2020-12-24,0.0,0.0,0.0,False,False,,0.03844505010791297,False,False,39.11564625850358,-8188482.161021599
2020-12-25,0.0,0.0,0.0,False,False,,0.03679543086884274,False,False,32.99319727891165,-2422239.2510072337
2020-12-28,0.0,0.0,0.0,False,False,,0.035272705417393295,False,False,11.682127396413089,-6409326.977002416
2020-12-29,0.0,0.0,0.0,False,False,,0.0336363434622092,False,False,12.078952793238399,-1814560.6616674361
2020-12-30,0.0,0.0,0.0,False,False,,0.03335662473434696,False,False,22.6515151515151,8383481.098110861
2020-12-31,0.0,0.0,0.0,False,False,,0.033252268985551045,False,False,53.59195402298845,20988172.297370236
2021-01-04,0.0,0.0,0.0,False,False,,0.03369440214050865,False,False,82.68230811334253,24617325.412456762
2021-01-05,0.0,0.0,0.0,False,False,,0.032410217360469534,False,False,97.59776705054055,9922617.64948559
2021-01-06,0.0,0.0,0.0,False,False,,0.03184020064043343,False,False,92.39016676904869,53947.10982852755
2021-01-07,0.0,0.0,0.0,False,False,,0.032698646745015464,False,False,71.63314601202796,-16819448.660057105
2021-01-08,0.0,0.0,0.0,False,False,,0.031644904687706595,False,False,45.32879818594109,-8254125.922685704
2021-01-11,0.0,0.0,0.0,False,False,,0.03144145048095993,False,False,31.62393162393175,3855218.0844381037
2021-01-12,0.0,0.0,0.0,False,False,,0.03140749275165533,False,False,41.02564102564108,6118625.930145997
2021-01-13,0.0,0.0,0.0,False,False,,0.03099153177075877,False,False,63.6923076923077,3782635.7153820004
2021-01-14,0.0,0.0,0.0,False,False,,0.034761413942238875,False,False,75.5771479982006,44840541.55579404
2021-01-15,0.0,0.0,0.0,False,False,,0.03485668979283589,False,False,78.1412505623032,11270080.809264679
2021-01-18,0.0,0.0,0.0,False,False,,0.03702155980877159,False,False,77.53420449184252,23963420.421754908
2021-01-19,0.0,0.0,0.0,False,False,,0.037866055208096855,False,False,69.54021339789973,-13688459.51141505
