trade_date,cash,positions_value,total_value,cash_ratio,daily_return,model
2021-11-29,9515.946100660134,1007091.7999999999,1016607.7461006601,0.009360489468194459,0.01660774610065996,buy-hold
2021-11-30,9515.946100660134,1006434.0,1015949.9461006601,0.009366550130922784,-0.0006470538932277226,buy-hold
2021-12-01,9515.946100660134,993935.7999999999,1003451.7461006601,0.009483212459032936,-0.012301984017982104,buy-hold
2021-12-02,9515.946100660134,975517.4,985033.3461006602,0.009660531938669722,-0.018355043051718645,buy-hold
2021-12-03,9515.946100660134,986042.2000000001,995558.1461006602,0.009558403130878489,0.010684714422779074,buy-hold
2021-12-06,9515.946100660134,961703.6,971219.5461006601,0.009797935120710465,-0.02444719085000513,buy-hold
2021-12-07,9515.946100660134,951836.6000000001,961352.5461006602,0.009898497839588339,-0.010159391910526061,buy-hold
2021-12-08,9515.946100660134,965650.4,975166.3461006602,0.009758279844983354,0.01436913030087661,buy-hold
2021-12-09,9515.946100660134,979464.2000000001,988980.1461006602,0.009621978902386969,0.014165583190228537,buy-hold
2021-12-10,9515.946100660134,986042.2000000001,995558.1461006602,0.009558403130878489,0.006651296313617383,buy-hold
2021-12-13,9515.946100660134,983411.0000000001,992926.9461006603,0.009583732356172187,-0.002642939551351864,buy-hold
2021-12-14,9515.946100660134,982095.4,991611.3461006602,0.009596447376363677,-0.0013249715955102603,buy-hold
2021-12-15,9515.946100660134,970255.0000000001,979770.9461006603,0.00971241915116197,-0.011940565269407455,buy-hold
2021-12-16,9515.946100660134,972228.4,981744.3461006602,0.009692896260066107,0.0020141442322347825,buy-hold
2021-12-17,9515.946100660134,955125.6,964641.5461006601,0.009864748350437673,-0.017420828617887962,buy-hold
2021-12-20,9515.946100660134,934733.8,944249.7461006602,0.010077785183376372,-0.021139251240452017,buy-hold
2021-12-21,9515.946100660134,941311.8,950827.7461006602,0.010008065224942143,0.006966377303424531,buy-hold
2021-12-22,9515.946100660134,939338.3999999999,948854.34610066,0.010028879711376299,-0.002075454789884912,buy-hold
2021-12-23,9515.946100660134,940654.0,950169.9461006601,0.01001499378054631,0.0013865141740738718,buy-hold
2021-12-24,9515.946100660134,930787.0,940302.9461006601,0.010120085383249926,-0.010384458107197014,buy-hold
2021-12-27,9515.946100660134,928155.8,937671.7461006602,0.010148483347432104,-0.002798247108457219,buy-hold
2021-12-28,9515.946100660134,935391.6,944907.5461006601,0.010070769505365352,0.00771677298595197,buy-hold
2021-12-29,9515.946100660134,927498.0,937013.9461006601,0.010155607758305306,-0.008353833168731062,buy-hold
2021-12-30,9515.946100660134,940654.0,950169.9461006601,0.01001499378054631,0.014040345989243974,buy-hold
