model,annualized_mean_difference,ci_low,ci_high,p_value,holm_p_value
macd-cross-12-26-9,0.15204229106739073,-0.006572807408060055,0.3104216899397273,0.03398300849575212,0.271864067966017
macd-zero-9-24,0.01586128088069616,-0.1715490775070042,0.20674858717883612,0.4432783608195902,1.0
sma-200,0.040695344530936935,-0.1565737196970742,0.23340687731674686,0.3638180909545227,1.0
tsmom-252-monthly,-0.01325375318801841,-0.34252231231351754,0.22817953535333166,0.5792103948025987,1.0
donchian-120-40,-0.09633628558042202,-0.4223765441352459,0.17355380169845724,0.7456271864067966,1.0
bollinger-20-2,-0.09724675792731892,-0.41532702960400586,0.17979961975503364,0.7351324337831084,1.0
elder-risk-sized,-0.082453858635263,-0.4166679773602243,0.21195105908339515,0.7211394302848576,1.0
elder-full-exposure,-0.0005222261446348352,-0.2767716685858903,0.24423407476356876,0.5187406296851574,1.0
