model,execution_date,target_weight,delay,execution
macd-zero-9-24,2024-08-02,0.99,1,open
macd-zero-9-24,2024-08-06,0.0,1,open
macd-zero-9-24,2024-09-30,0.99,1,open
macd-zero-9-24,2024-12-19,0.0,1,open
macd-zero-9-24,2024-12-23,0.99,1,open
macd-zero-9-24,2025-01-06,0.0,1,open
macd-zero-9-24,2025-02-07,0.99,1,open
macd-zero-9-24,2025-03-25,0.0,1,open
macd-zero-9-24,2025-05-09,0.99,1,open
macd-zero-9-24,2025-05-12,0.0,1,open
macd-zero-9-24,2025-07-01,0.99,1,open
macd-zero-9-24,2025-11-12,0.0,1,open
macd-zero-9-24,2025-12-29,0.99,1,open
macd-zero-9-24,2026-02-10,0.0,1,open
macd-zero-9-24,2026-02-13,0.99,1,open
macd-zero-9-24,2026-03-04,0.0,1,open
macd-zero-9-24,2026-04-15,0.99,1,open
macd-zero-9-24,2026-06-12,0.0,1,open
macd-zero-9-24,2026-06-16,0.99,1,open
macd-zero-9-24,2026-07-20,0.0,1,open
sma-200,2021-11-29,0.99,1,open
sma-200,2021-12-08,0.0,1,open
sma-200,2021-12-09,0.99,1,open
sma-200,2021-12-20,0.0,1,open
sma-200,2023-01-30,0.99,1,open
sma-200,2023-02-01,0.0,1,open
sma-200,2023-02-02,0.99,1,open
sma-200,2023-02-07,0.0,1,open
sma-200,2023-02-10,0.99,1,open
sma-200,2023-02-13,0.0,1,open
sma-200,2023-03-24,0.99,1,open
sma-200,2023-05-11,0.0,1,open
sma-200,2023-05-19,0.99,1,open
sma-200,2023-05-24,0.0,1,open
sma-200,2023-05-29,0.99,1,open
sma-200,2023-05-30,0.0,1,open
sma-200,2023-05-31,0.99,1,open
sma-200,2023-06-07,0.0,1,open
sma-200,2023-06-12,0.99,1,open
sma-200,2023-06-27,0.0,1,open
sma-200,2024-09-30,0.99,1,open
sma-200,2025-06-23,0.0,1,open
sma-200,2025-06-24,0.99,1,open
sma-200,2026-03-24,0.0,1,open
sma-200,2026-03-25,0.99,1,open
sma-200,2026-04-01,0.0,1,open
sma-200,2026-04-02,0.99,1,open
sma-200,2026-04-03,0.0,1,open
sma-200,2026-04-09,0.99,1,open
tsmom-252-monthly,2021-11-29,0.0,1,open
tsmom-252-monthly,2021-12-01,0.99,1,open
tsmom-252-monthly,2022-02-07,0.0,1,open
tsmom-252-monthly,2023-05-04,0.99,1,open
tsmom-252-monthly,2023-07-03,0.0,1,open
tsmom-252-monthly,2024-10-08,0.99,1,open
donchian-120-40,2021-11-29,0.0,1,open
donchian-120-40,2023-04-04,0.99,1,open
donchian-120-40,2023-07-10,0.0,1,open
donchian-120-40,2024-10-08,0.99,1,open
donchian-120-40,2025-01-07,0.0,1,open
donchian-120-40,2025-08-21,0.99,1,open
donchian-120-40,2025-11-21,0.0,1,open
