case,model,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,invested_ratio,filled_trade_count,rejected_order_count
slippage-10bp,buy-hold,0.2486767173033002,0.05086600620587256,0.5549576575641946,0.31143319665450747,0.3301246674195117,1.3179346212388723,0.01226243745972589,0.019296804995304492,929,"{""2021"": -0.03615068269669963, ""2022"": -0.306429848211491, ""2023"": -0.10430381552171308, ""2024"": 0.16259055799301847, ""2025"": 0.3515197692562051, ""2026"": 0.32721278554621636}",0.09165745442477952,1.0,1,0
slippage-10bp,macd-cross-12-26-9,1.5718015260693252,0.23494834357286765,0.28970766609043697,0.9547568110092951,0.2534489617239188,71.54022749196018,0.5428235645413141,1.0,360,"{""2021"": -0.017026762661479622, ""2022"": 0.09259318634074565, ""2023"": -0.09019979146766166, ""2024"": 0.31345190953492863, ""2025"": 0.3588801610169434, ""2026"": 0.47467358685104655}",0.8109842129601248,0.46099290780141844,74,0
slippage-10bp,macd-zero-9-24,0.4125433082114527,0.08021706576213816,0.33164132243039113,0.4244102375053361,0.2589686496008447,48.50138477781241,0.5699719050425389,1.0,571,"{""2021"": -0.041591443507639436, ""2022"": 0.03244030487353888, ""2023"": -0.05441853924081563, ""2024"": -0.06808888438024197, ""2025"": 0.3097352249583847, ""2026"": 0.2368846239166782}",0.2418789829152701,0.43351063829787234,50,0
slippage-10bp,sma-200,0.5959709614927908,0.11008605136198257,0.2278822037356173,0.5245490137588383,0.26401102554626443,27.463160847769988,0.5590107035759111,1.0,689,"{""2021"": -0.056066126334269994, ""2022"": 0.0, ""2023"": -0.15558762030711737, ""2024"": 0.2258178281884573, ""2025"": 0.33354134956200854, ""2026"": 0.22488806256013993}",0.4830831436477655,0.4441489361702128,29,0
slippage-10bp,tsmom-252-monthly,0.3065114693342006,0.0615493504367326,0.3566913306657996,0.36692338215384646,0.24194838299999225,4.911980137082995,0.5427700933568659,1.0,923,"{""2021"": -0.05052768555736009, ""2022"": -0.10487456748799795, ""2023"": -0.06585084112904593, ""2024"": -0.08377929213636459, ""2025"": 0.35255890314614113, ""2026"": 0.3279279333874652}",0.17255633974014634,0.46099290780141844,5,0
slippage-10bp,donchian-120-40,-0.06509221032639001,-0.014924266575216838,0.3047317273298791,0.02607309827685648,0.2027739734683394,6.618823124273003,0.78643238252204,1.0,766,"{""2021"": 0.0, ""2022"": 0.0, ""2023"": -0.11251468774520068, ""2024"": -0.08378610885455617, ""2025"": 0.07068929309314331, ""2026"": 0.07385902716091652}",-0.048975099199503366,0.2154255319148936,7,0
slippage-10bp,bollinger-20-2,-0.06321452367554803,-0.014482617849557844,0.2972767274935313,-0.015011171205833476,0.15688888616025778,45.19677364872437,0.725917533988313,1.0,1118,"{""2021"": -0.001287262672079903, ""2022"": -0.21275213317707453, ""2023"": 0.15182647641686153, ""2024"": -0.05513559296638082, ""2025"": 0.0427375590626391, ""2026"": 0.04992071385725505}",-0.048717630780138965,0.2765957446808511,45,0
slippage-10bp,elder-risk-sized,0.08545348024083066,0.018487485547514115,0.057041718530548846,0.4594620558095662,0.04176443170716997,6.930867130518079,0.9560750062845339,1.0,905,"{""2021"": -0.010455513419390106, ""2022"": -0.010706710705539413, ""2023"": -0.0012236573408800355, ""2024"": 0.006604407310697669, ""2025"": 0.05317288181917301, ""2026"": 0.04718662459990264}",0.3241046382151529,0.21187943262411346,34,0
slippage-10bp,elder-full-exposure,0.4098199578621218,0.0797514479412893,0.26071390027223895,0.4835655814653218,0.19932999318992484,38.03963949742119,0.789881009489911,1.0,905,"{""2021"": -0.05124915290923926, ""2022"": -0.053023001488806565, ""2023"": -0.007271502407722674, ""2024"": 0.036970635033754196, ""2025"": 0.27557786120774397, ""2026"": 0.19500060983013223}",0.3058964169459794,0.21187943262411346,34,0
next-close,macd-cross-12-26-9,1.0758054844531677,0.177228719307986,0.30595285875563594,0.7636069730598785,0.25455071722466305,71.85766973770032,0.5431929321228653,1.0,351,"{""2021"": -0.021670800241472166, ""2022"": 0.06508742750303664, ""2023"": -0.06928016639784673, ""2024"": 0.16219377895914522, ""2025"": 0.3197912797625788, ""2026"": 0.3954478509778161}",0.5792680611935,0.46099290780141844,74,0
second-next-open,macd-cross-12-26-9,1.1269849758101511,0.18365181033028177,0.29453132585985564,0.7861475033909654,0.2539810286609677,71.97188529814404,0.54231011922444,1.0,311,"{""2021"": -0.005592286976275895, ""2022"": 0.07611388775031047, ""2023"": -0.04564656840971226, ""2024"": 0.16332703386106062, ""2025"": 0.27656824697535254, ""2026"": 0.4024474726695042}",0.6235391423785844,0.46187943262411346,74,0
legacy-2022-2026,buy-hold,0.135664999007008,0.031123691628753836,0.531519000992992,0.24977114467631178,0.3104925389535366,1.3321224384884776,0.013455153084729842,0.020538290832290834,902,"{""2022"": -0.30753580099299194, ""2023"": -0.10421448517264242, ""2024"": 0.1624351082095128, ""2025"": 0.3512306507866181, ""2026"": 0.16560304821666882}",0.0585561223034512,1.0,1,0
legacy-2022-2026,macd-cross-12-26-9,1.4360819256242663,0.2392557776918267,0.2735698519618034,0.9952213289596941,0.24425287445977836,62.84671127363112,0.5414932447978508,1.0,360,"{""2022"": 0.10472032793883135, ""2023"": -0.07558957892797946, ""2024"": 0.33103878889045735, ""2025"": 0.3737340873338517, ""2026"": 0.30461186725235323}",0.8745692406385199,0.4627151051625239,67,0
legacy-2022-2026,macd-zero-9-24,0.38376866589497727,0.08139586266311127,0.3239761104949723,0.4468084027451681,0.23508269785442407,41.48165396040759,0.594413036244391,1.0,571,"{""2022"": 0.03733815442508037, ""2023"": -0.045340293139797816, ""2024"": -0.05837506018232219, ""2025"": 0.3178429781485168, ""2026"": 0.12603769177915325}",0.251240323055778,0.4091778202676864,43,0
