order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason,model
1,2021-11-29,SH588000,buy,open,657800,657800,0,1.5053009999999998,990186.9977999999,297.05609933999995,0.0,filled,buy-hold
1,2021-11-29,SH588000,buy,open,657800,657800,0,1.5053009999999998,990186.9977999999,297.05609933999995,0.0,filled,macd-cross-12-26-9
2,2021-12-03,SH588000,sell,open,657800,657800,0,1.4827034000000001,975322.2965200001,292.596688956,0.0,filled,macd-cross-12-26-9
3,2022-01-19,SH588000,buy,open,701200,701200,0,1.390278,974862.9336,292.45888008,0.0,filled,macd-cross-12-26-9
4,2022-01-26,SH588000,sell,open,701200,701200,0,1.3337332000000002,935213.7198400002,280.564115952,0.0,filled,macd-cross-12-26-9
5,2022-02-21,SH588000,buy,open,746700,746700,0,1.2522503999999999,935055.37368,280.516612104,0.0,filled,macd-cross-12-26-9
6,2022-03-09,SH588000,sell,open,746700,746700,0,1.1907618,889141.83606,266.742550818,0.0,filled,macd-cross-12-26-9
7,2022-03-22,SH588000,buy,open,744400,744400,0,1.1942388,888991.36272,266.69740881599995,0.0,filled,macd-cross-12-26-9
8,2022-03-29,SH588000,sell,open,744400,744400,0,1.139772,848446.2768,254.53388303999998,0.0,filled,macd-cross-12-26-9
9,2022-05-06,SH588000,buy,open,873500,873500,0,0.9711942,848338.1337,254.50144010999998,0.0,filled,macd-cross-12-26-9
10,2022-06-22,SH588000,sell,open,873500,873500,0,1.1307738,987730.9143000001,296.31927429,0.0,filled,macd-cross-12-26-9
11,2022-06-29,SH588000,buy,open,849700,849700,0,1.160232,985849.1303999999,295.75473911999995,0.0,filled,macd-cross-12-26-9
12,2022-06-30,SH588000,sell,open,849700,849700,0,1.1387722,967614.73834,290.284421502,0.0,filled,macd-cross-12-26-9
13,2022-07-28,SH588000,buy,open,837900,837900,0,1.1542308,967129.98732,290.13899619599994,0.0,filled,macd-cross-12-26-9
14,2022-08-19,SH588000,sell,open,837900,837900,0,1.1967606000000002,1002765.7067400002,300.829712022,0.0,filled,macd-cross-12-26-9
15,2022-10-17,SH588000,buy,open,1010800,1010800,0,0.9911981999999999,1001903.14056,300.570942168,0.0,filled,macd-cross-12-26-9
16,2022-11-21,SH588000,sell,open,1010800,1010800,0,1.0667866,1078307.8952799998,323.4923685839999,0.0,filled,macd-cross-12-26-9
17,2023-01-03,SH588000,buy,open,1075600,1075600,0,1.0012001999999998,1076890.9351199998,323.06728053599994,0.0,filled,macd-cross-12-26-9
18,2023-02-15,SH588000,sell,open,1075600,1075600,0,1.064787,1145284.8972,343.58546915999995,0.0,filled,macd-cross-12-26-9
19,2023-03-15,SH588000,buy,open,1083100,1083100,0,1.0562112000000001,1143982.3507200002,343.19470521600005,0.0,filled,macd-cross-12-26-9
20,2023-04-20,SH588000,sell,open,1083100,1083100,0,1.1767646,1274553.73826,382.36612147799997,0.0,filled,macd-cross-12-26-9
21,2023-04-21,SH588000,buy,open,1050600,1050600,0,1.2112422,1272531.05532,381.75931659599996,0.0,filled,macd-cross-12-26-9
22,2023-04-24,SH588000,sell,open,1050600,1050600,0,1.1557688,1214250.70128,364.27521038399993,0.0,filled,macd-cross-12-26-9
23,2023-05-30,SH588000,buy,open,1134500,1134500,0,1.070214,1214157.783,364.2473349,0.0,filled,macd-cross-12-26-9
24,2023-06-09,SH588000,sell,open,1134500,1134500,0,1.0527894,1194389.5743,358.31687228999994,0.0,filled,macd-cross-12-26-9
25,2023-06-12,SH588000,buy,open,1109300,1109300,0,1.0762152,1193845.5213600001,358.153656408,0.0,filled,macd-cross-12-26-9
26,2023-06-27,SH588000,sell,open,1109300,1109300,0,1.0567886,1172295.59398,351.6886781939999,0.0,filled,macd-cross-12-26-9
27,2023-08-01,SH588000,buy,open,1153100,1153100,0,1.0162032,1171783.90992,351.53517297599996,0.0,filled,macd-cross-12-26-9
28,2023-08-15,SH588000,sell,open,1153100,1153100,0,0.9738052,1122894.77612,336.868432836,0.0,filled,macd-cross-12-26-9
29,2023-08-30,SH588000,buy,open,1148900,1148900,0,0.9771953999999999,1122699.79506,336.80993851799997,0.0,filled,macd-cross-12-26-9
30,2023-09-14,SH588000,sell,open,1148900,1148900,0,0.929814,1068263.3046000001,320.47899138,0.0,filled,macd-cross-12-26-9
31,2023-09-28,SH588000,buy,open,1153300,1153300,0,0.9261852,1068169.39116,320.450817348,0.0,filled,macd-cross-12-26-9
32,2023-10-23,SH588000,sell,open,1153300,1153300,0,0.9008198000000001,1038915.4753400001,311.674642602,0.0,filled,macd-cross-12-26-9
33,2023-10-31,SH588000,buy,open,1128600,1128600,0,0.920184,1038519.6624,311.55589871999996,0.0,filled,macd-cross-12-26-9
34,2023-11-23,SH588000,sell,open,1128600,1128600,0,0.9118176,1029077.34336,308.723203008,0.0,filled,macd-cross-12-26-9
35,2023-12-12,SH588000,buy,open,1116600,1116600,0,0.9211842,1028594.27772,308.57828331599995,0.0,filled,macd-cross-12-26-9
36,2023-12-18,SH588000,sell,open,1116600,1116600,0,0.8918216,995807.99856,298.74239956799994,0.0,filled,macd-cross-12-26-9
37,2024-01-02,SH588000,buy,open,1108400,1108400,0,0.8981796,995542.2686399999,298.66268059199996,0.0,filled,macd-cross-12-26-9
38,2024-01-04,SH588000,sell,open,1108400,1108400,0,0.8728254,967439.67336,290.23190200799996,0.0,filled,macd-cross-12-26-9
39,2024-02-08,SH588000,buy,open,1233300,1233300,0,0.7841568,967100.58144,290.130174432,0.0,filled,macd-cross-12-26-9
40,2024-03-22,SH588000,sell,open,1233300,1233300,0,0.8418316,1038230.91228,311.469273684,0.0,filled,macd-cross-12-26-9
41,2024-04-29,SH588000,buy,open,1312300,1312300,0,0.790158,1036924.3434,311.07730302,0.0,filled,macd-cross-12-26-9
42,2024-05-21,SH588000,sell,open,1312300,1312300,0,0.7868426000000001,1032573.5439800001,309.772063194,0.0,filled,macd-cross-12-26-9
43,2024-06-04,SH588000,buy,open,1316100,1316100,0,0.7841568,1032028.76448,309.60862934399995,0.0,filled,macd-cross-12-26-9
44,2024-06-25,SH588000,sell,open,1316100,1316100,0,0.7728454,1017141.83094,305.142549282,0.0,filled,macd-cross-12-26-9
45,2024-07-15,SH588000,buy,open,1357100,1357100,0,0.7491498,1016671.19358,305.00135807399994,0.0,filled,macd-cross-12-26-9
46,2024-07-30,SH588000,sell,open,1357100,1357100,0,0.7378524,1001339.4920399999,300.4018476119999,0.0,filled,macd-cross-12-26-9
47,2024-08-01,SH588000,buy,open,1284600,1284600,0,0.7791558,1000903.54068,300.271062204,0.0,filled,macd-cross-12-26-9
48,2024-08-07,SH588000,sell,open,1284600,1284600,0,0.7478504,960688.62384,288.206587152,0.0,filled,macd-cross-12-26-9
49,2024-09-25,SH588000,buy,open,1360200,1360200,0,0.7061411999999999,960493.2602399999,288.14797807199994,0.0,filled,macd-cross-12-26-9
50,2024-10-30,SH588000,sell,open,1360200,1360200,0,1.0197960000000001,1387126.5192000002,416.13795576,0.0,filled,macd-cross-12-26-9
51,2024-11-13,SH588000,buy,open,1262100,1262100,0,1.095219,1382275.8998999998,414.6827699699999,0.0,filled,macd-cross-12-26-9
52,2024-11-15,SH588000,sell,open,1262100,1262100,0,1.0757848,1357747.9960800002,407.324398824,0.0,filled,macd-cross-12-26-9
53,2024-12-26,SH588000,buy,open,1268100,1268100,0,1.070214,1357138.3734,407.14151201999994,0.0,filled,macd-cross-12-26-9
54,2025-01-02,SH588000,sell,open,1268100,1268100,0,1.0407918,1319828.08158,395.948424474,0.0,filled,macd-cross-12-26-9
55,2025-01-22,SH588000,buy,open,1284500,1284500,0,1.0272054,1319445.3362999998,395.8336008899999,0.0,filled,macd-cross-12-26-9
56,2025-03-12,SH588000,sell,open,1284500,1284500,0,1.1637672,1494858.9684,448.4576905199999,0.0,filled,macd-cross-12-26-9
57,2025-04-17,SH588000,buy,open,1412800,1412800,0,1.0562112000000001,1492215.1833600001,447.664555008,0.0,filled,macd-cross-12-26-9
