date,equity,cash,market_value,held_symbol,units,gross_traded,benchmark_value
2014-01-02,100151.22096,84.82095999999729,100066.40000000001,SH513100,85600.0,99895.2,0.99937385
2014-01-03,99466.42096,84.82095999999729,99381.6,SH513100,85600.0,0.0,0.9859454
2014-01-06,99124.02096,84.82095999999729,99039.2,SH513100,85600.0,0.0,0.9635045
2014-01-07,101606.64163999999,55.84163999998418,101550.8,SZ159915,76700.0,197896.59999999998,0.96322906
2014-01-08,105518.34163999998,55.84163999998418,105462.5,SZ159915,76700.0,0.0,0.96491194
2014-01-09,103447.44163999999,55.84163999998418,103391.6,SZ159915,76700.0,0.0,0.9564374
2014-01-10,101606.64163999999,55.84163999998418,101550.8,SZ159915,76700.0,0.0,0.9489614
2014-01-13,102527.04164,55.84163999998418,102471.20000000001,SZ159915,76700.0,0.0,0.94415385
2014-01-14,105671.74163999998,55.84163999998418,105615.9,SZ159915,76700.0,0.0,0.95240456
2014-01-15,106668.84163999997,55.84163999998418,106612.99999999999,SZ159915,76700.0,0.0,0.9507217
2014-01-16,105211.54163999998,55.84163999998418,105155.7,SZ159915,76700.0,0.0,0.9519699
2014-01-17,104904.74163999998,55.84163999998418,104848.9,SZ159915,76700.0,0.0,0.9376161
2014-01-20,102987.24164,55.84163999998418,102931.40000000001,SZ159915,76700.0,0.0,0.93223614
2014-01-21,105978.54163999998,55.84163999998418,105922.7,SZ159915,76700.0,0.0,0.9414552
2014-01-22,107359.14163999999,55.84163999998418,107303.3,SZ159915,76700.0,0.0,0.96572536
2014-01-23,109736.84163999998,55.84163999998418,109681.0,SZ159915,76700.0,0.0,0.9605993
2014-01-24,111500.94163999999,55.84163999998418,111445.1,SZ159915,76700.0,0.0,0.9665345
2014-01-27,110887.34163999998,55.84163999998418,110831.5,SZ159915,76700.0,0.0,0.9537259
2014-01-28,110580.54164,55.84163999998418,110524.70000000001,SZ159915,76700.0,0.0,0.9554216
2014-01-29,112498.04163999998,55.84163999998418,112442.2,SZ159915,76700.0,0.0,0.9588304
2014-01-30,112267.94163999999,55.84163999998418,112212.1,SZ159915,76700.0,0.0,0.94792837
2014-02-07,114952.44163999999,55.84163999998418,114896.6,SZ159915,76700.0,0.0,0.9522453
2014-02-10,116333.04163999998,55.84163999998418,116277.2,SZ159915,76700.0,0.0,0.97593874
2014-02-11,114492.24163999998,55.84163999998418,114436.4,SZ159915,76700.0,0.0,0.9836987
2014-02-12,115566.04163999998,55.84163999998418,115510.2,SZ159915,76700.0,0.0,0.9861477
2014-02-13,111270.84163999998,55.84163999998418,111215.0,SZ159915,76700.0,0.0,0.98111206
2014-02-14,113495.14163999999,55.84163999998418,113439.3,SZ159915,76700.0,0.0,0.98800695
2014-02-17,116716.54163999998,55.84163999998418,116660.7,SZ159915,76700.0,0.0,0.9949278
2014-02-18,115642.74163999998,55.84163999998418,115586.9,SZ159915,76700.0,0.0,0.9823559
2014-02-19,115566.04163999998,55.84163999998418,115510.2,SZ159915,76700.0,0.0,0.9936409
2014-02-20,113801.94163999999,55.84163999998418,113746.1,SZ159915,76700.0,0.0,0.9845079
