analysis_type,name,value,positive_share,holding_days,average_portfolio_weight,maximum_weight
asset-contribution,SZ159638,0.041440665684245,0.012170025680237,5,0.0005960181366201,0.3359092393864835
asset-contribution,SH515700,0.0620002471621322,0.0114126487059998,40,0.0047860767208222,0.3552278114375233
asset-contribution,SH512120,0.0571413550711877,0.0112007749140587,35,0.0041554982544748,0.3395036846106681
asset-contribution,SH512760,0.0613956029503267,0.0111065077750573,45,0.0053686810467476,0.3626142496141844
asset-contribution,SH513290,0.0379574290787554,0.0110516168410994,40,0.0047692921521154,0.3453432521274355
asset-contribution,SZ159928,0.0769563630848369,0.01029338450389,105,0.0126689854843096,0.3728784564440368
asset-contribution,SH516510,0.0510172911590173,0.0097000550902158,20,0.0023718358765933,0.3410105635971636
asset-contribution,SZ159502,0.0243457008313276,0.0094468626242891,35,0.0041725302540783,0.3622910324046072
asset-contribution,SH588080,0.0296965418813877,0.0094149019844459,25,0.0029502812252085,0.3494206945471135
asset-contribution,SZ159790,0.0347059912125967,0.0092532675072489,15,0.0017915862703299,0.3408424524400004
asset-contribution,SH512290,0.0489918182444712,0.0090890645686265,30,0.0035413928857876,0.3379743313044714
asset-contribution,SH510290,0.0711760251511757,0.008892503433056,30,0.0029358844215139,0.3451709187562726
asset-contribution,SZ159915,0.0490397548175622,0.00784453225116,180,0.0267331332319055,0.9994265420351852
asset-contribution,SH588100,0.0400916284155742,0.0078199739247017,5,0.0005851995209722,0.3372641828694006
asset-contribution,SH515220,0.0463530374601408,0.0077898957380322,45,0.0052646103947878,0.359504160646008
asset-contribution,SZ159907,0.0578832138125293,0.007649757774116,20,0.0023557384665405,0.340063353122482
asset-contribution,SH512400,0.0320664116914737,0.0072809805147565,50,0.0059517643110985,0.3588153559039034
asset-contribution,SH560860,0.0225803529989166,0.006959058578307,5,0.000619029288678,0.3565480437415941
asset-contribution,SZ159949,0.0128157243844601,0.0068076183124122,75,0.0089302432607794,0.3463158531099305
asset-contribution,SH510260,0.0446087270954642,0.0067892969423227,20,0.002428991762315,0.3508548773654581
asset-contribution,SZ159731,0.0187901213659254,0.0067278485678597,5,0.0005910914501049,0.3458498661550347
asset-contribution,SH516160,0.0398596400847516,0.0064560770834951,20,0.0023986217958774,0.3458888936814633
asset-contribution,SZ159755,0.0367592197715632,0.0064181744209146,5,0.0006024145386041,0.3407418805983591
asset-contribution,SZ159738,0.0251189971271356,0.0063396946114996,10,0.0012075485697753,0.342870188982221
asset-contribution,SZ159529,0.0221561814019247,0.0062080619946541,25,0.0041490007138082,0.999832117400391
asset-contribution,SH520500,0.020910585509708,0.0061826922974812,15,0.0017843122611357,0.337894696890205
asset-contribution,SH515050,0.0296711814089465,0.0061479054468876,25,0.0029770939970793,0.3480479914846303
asset-contribution,SH515030,0.0307419042983828,0.0060583488842446,35,0.0041662200690073,0.3402900428413362
asset-contribution,SZ159363,0.0185227448642125,0.0060122082480988,15,0.0018032698299005,0.3517168916086784
asset-contribution,SH510500,0.0604504171519618,0.005788049861452,75,0.0095167833768691,0.6655847778926626
asset-contribution,SH513700,0.0235052435854156,0.0057673918755728,5,0.0005882802058201,0.3350377086288818
asset-contribution,SH515950,0.0278196166201313,0.005656714327456,10,0.0011766160161494,0.3386862015806208
asset-contribution,SH513120,0.0282294667844939,0.0055577786587503,25,0.0029884412618821,0.3456485754472941
asset-contribution,SZ159892,0.0285712878143008,0.0051079459900876,10,0.0011952132226083,0.3413439693353914
asset-contribution,SH513050,0.0329385111315192,0.0051057380543532,90,0.0107455705183369,0.3500130729735831
asset-contribution,SZ159350,0.0158144290648626,0.005034611004929,5,0.0005972544275771,0.3392886195792267
asset-contribution,SH517180,0.0201384817849144,0.0045136317554446,20,0.0023853206212525,0.3451294427528688
asset-contribution,SZ159880,0.0229375061947177,0.004409847015536,5,0.0006021821477311,0.3402322873111599
asset-contribution,SH513780,0.0205188399720382,0.0042465077087008,10,0.0011837712726849,0.3330392795560634
asset-contribution,SH516150,0.0288361231291126,0.0038444056666207,25,0.0029184999177756,0.3387991850928732
asset-contribution,SZ159902,0.0529039616986858,0.0037455722240001,150,0.0183160498823182,0.501009115785473
asset-contribution,SZ159865,0.0197556252769717,0.0036915675926816,5,0.0006025794948694,0.3492145822123214
asset-contribution,SZ159995,0.0164566851702662,0.0036302161200831,10,0.0011889185976407,0.3382491380398909
asset-contribution,SH510810,0.0199086256813104,0.0035769897649066,20,0.0023748279567796,0.3365928969326074
asset-contribution,SH516800,0.0184438892227066,0.0035560663594036,5,0.0005902850087771,0.3335299594405203
asset-contribution,SH517380,0.0181499050117108,0.0034629856061966,5,0.0005975958467637,0.3389983638943897
asset-contribution,SZ159691,0.0145586008986386,0.0033227480052643,5,0.0006035839912839,0.3446245931568471
asset-contribution,SH513180,0.0175115003983528,0.0032022156630718,10,0.0011949102672719,0.3406977360891509
asset-contribution,SH512550,0.0220527004515745,0.0031111533113891,40,0.0047297162603788,0.3406542287471294
asset-contribution,SZ159870,0.0088406755769385,0.0030185424754781,15,0.0018572492081142,0.3536370970639624
asset-contribution,SH512710,0.0157436617589868,0.0030101657875874,5,0.0005893109002984,0.3320839371603127
asset-contribution,SH513090,0.0129667260493557,0.0029610982071154,20,0.0023476428546972,0.3378249769849138
asset-contribution,SZ159750,0.0143794813087873,0.0028952867627015,5,0.0005862138612289,0.3331294791625328
asset-contribution,SZ159761,0.0149857895347228,0.0028852128600019,5,0.0006058525211087,0.342001190546243
asset-contribution,SZ159819,0.006471818281581,0.0027944492665494,20,0.0023734232796679,0.3390413368888206
asset-contribution,SH510420,0.0204476130475699,0.0027530596320797,10,0.0011973410132537,0.346251425720322
asset-contribution,SH563300,0.0110746970699638,0.0027380034170626,5,0.0005991349767023,0.3376436785627241
asset-contribution,SZ159923,0.020503761773005,0.002719822724917,5,0.0005990140652535,0.338542580858071
asset-contribution,SZ159839,0.0153466407666902,0.0024859363206419,20,0.0024125487661097,0.3538502495577193
asset-contribution,SZ159886,0.012814816230429,0.0024790441282413,5,0.0005985813570548,0.3381643174850996
asset-contribution,SH516070,0.0136736555597257,0.0024337589091123,5,0.0005828894141364,0.3311288113523005
asset-contribution,SH513690,0.006676034992253,0.0023456102109669,10,0.0011941142296281,0.3410964559324367
asset-contribution,SH516780,0.0101926960496856,0.0021181097056508,10,0.0011940371744759,0.3408981679918865
asset-contribution,SH516960,0.0112052886806564,0.0021164082753676,5,0.0005880251022413,0.3356433854262894
asset-contribution,SZ159929,0.0121077997980023,0.0020882159398352,25,0.0029685062713862,0.3353326945629649
asset-contribution,SZ159695,0.0058085601482609,0.0018458337875425,5,0.0005954393491851,0.335566789271003
asset-contribution,SH515650,0.0081458718582844,0.0016782498763934,5,0.0006000128409602,0.3404344973564943
asset-contribution,SH513330,0.004982368765662,0.0016583186274755,10,0.0011787665583323,0.3331313847866844
asset-contribution,SZ159861,0.0077120464113599,0.0016316692095835,10,0.0011815603696787,0.337374921655337
asset-contribution,SZ159985,-0.0098281529900298,0.001603924957352,198,0.0325910711443283,0.999998228797116
asset-contribution,SZ159981,0.0086060179224637,0.0015864647330008,10,0.0012162415402502,0.3518826975988655
asset-contribution,SH516520,0.0108360380839338,0.0015574154672045,35,0.0041116813299008,0.3457360465911794
asset-contribution,SH510160,0.0116865762018398,0.0014461350522174,25,0.0029625293096088,0.3381450553601359
asset-contribution,SH510060,0.0115066666066256,0.0012997464377879,15,0.0016371736333907,0.3402691267723285
asset-contribution,SH516980,0.0055803810550249,0.0011640139479129,5,0.0005800270382742,0.3328065485792685
asset-contribution,SZ159889,0.0053408271206507,0.0010341423184364,5,0.0005803265946279,0.3280105129550634
asset-contribution,SZ159967,0.0030827472969794,0.0006812542634935,35,0.004094129083861,0.3435675410479014
asset-contribution,SZ159883,0.0037526148423616,0.0005783301075602,5,0.0005957332763976,0.3356047278783649
asset-contribution,SH516620,0.002744698936202,0.0005493675292098,5,0.0005940421145744,0.3359702214332639
asset-contribution,SH561160,0.0022136003698019,0.0005287026256291,5,0.0005903849956191,0.3341172703057372
asset-contribution,SZ159730,0.0029452253231872,0.0004991579875573,5,0.0005928800774375,0.3354715095995173
asset-contribution,SH513360,0.0023875623696401,0.0004505291406804,5,0.0005896975148286,0.3371412940899179
asset-contribution,SZ159881,0.0011813469828037,0.0004251358800869,10,0.0011718443899712,0.3303337575606759
asset-contribution,SZ159920,0.0024956150491793,0.0003964620076819,70,0.0079157799076086,0.3874933171550254
asset-contribution,SH513160,0.0024136146133757,0.0003951723968116,5,0.0006026184682767,0.340719178105012
asset-contribution,SH510210,0.0038983783563527,0.0002794890270015,10,0.0012066030379983,0.3431310471626442
asset-contribution,SZ159807,0.0014078314666701,0.0002699542186121,5,0.0005952555908224,0.3364301871045502
asset-contribution,SH561330,0.0006649620947264,0.0001419404243244,5,0.0005882771765704,0.3308299715274814
asset-contribution,SH589720,0.0015941753865926,0.0001409182258498,10,0.0011455887467784,0.3366466529962739
asset-contribution,SZ159507,0.0005475028915423,0.0001051720305845,5,0.0005387370199384,0.3224531085982856
asset-contribution,SH512770,0.0006008144866323,6.723832842181757e-05,5,0.0005943946649812,0.3351003773309924
asset-contribution,SZ159720,0.0003230041661969,0.0,15,0.0018211806041717,0.3500243577362354
asset-contribution,SZ159697,-0.00028975322427,0.0,5,0.000601375816663,0.3395150011125198
asset-contribution,SH510110,0.0013186990737611,0.0,15,0.0017651066336242,0.3369021583285425
asset-contribution,SH513850,-0.0004665636634482,0.0,5,0.0005870871910597,0.3318503207034638
asset-contribution,SH510650,0.0006301869578575,0.0,5,0.0005908254160593,0.3331872721492486
asset-contribution,SZ159997,-0.003459026143883,0.0,15,0.0017701676572104,0.3383288362594231
asset-contribution,SH518680,-0.001190990457636,0.0,15,0.0017361924993679,0.3405007147125353
asset-contribution,SH512870,-0.0015174908843601,0.0,5,0.0006019032948117,0.3405192441538461
asset-contribution,SH510220,-0.0020096822418064,0.0,5,0.0005978535601284,0.3383236927613557
asset-contribution,SH520830,-0.0007055927840664,0.0,5,0.0017804312069874,0.9998914070578104
asset-contribution,SZ159366,-0.002062783619519,0.0,10,0.0011862390863268,0.3392063940365514
asset-contribution,SZ159142,-0.000948337745509,0.0,5,0.0005980849358036,0.3419273479967458
asset-contribution,SH515000,-0.0021452407285235,0.0,5,0.0005917288811625,0.3334414032735888
asset-contribution,SH515450,-0.0036982005232808,0.0,10,0.001183659662832,0.3381497209867878
asset-contribution,SZ159822,-0.0014724208535292,0.0,10,0.0011938708720569,0.3423159708654731
asset-contribution,SH513730,-0.0039670046907255,0.0,10,0.0011952462186095,0.3413940386453098
asset-contribution,SH516950,-0.0051638838484062,0.0,10,0.0011844267261876,0.3452117923310008
asset-contribution,SH561100,-0.0077693720215033,0.0,15,0.0017786215542413,0.3449942223840134
asset-contribution,SH515170,-0.0040072318608895,0.0,10,0.0011744477344728,0.3308744853922278
asset-contribution,SH510880,-0.0087059036109345,0.0,115,0.0133161453778549,0.4993606164968689
asset-contribution,SH512480,-0.0016488438692702,0.0,25,0.0023983702433338,0.3507224463498848
asset-contribution,SZ159519,-0.0038271920209538,0.0,10,0.0011891243604199,0.3345655852857973
asset-contribution,SZ159611,-0.0029881736561797,0.0,5,0.0006073167443955,0.3463151013101804
asset-contribution,SH512890,-0.0058738579864092,0.0,10,0.0011946977137004,0.3412421404153952
asset-contribution,SH513920,-0.0046245160766743,0.0,5,0.0005932606200581,0.3344062036544479
asset-contribution,SZ159652,-0.0058422777351852,0.0,10,0.0011806120230851,0.334664300693179
asset-contribution,SH510120,-0.0096182057084158,0.0,5,0.000583531933262,0.3312479368078313
asset-contribution,SH515900,-0.0049822225991316,0.0,5,0.0005866449094969,0.3338327647181677
asset-contribution,SZ159613,-0.0074154670332629,0.0,5,0.0005936556979962,0.3357352135193862
asset-contribution,SH512980,0.002143222441395,0.0,35,0.0035521241030658,0.3433412081964586
asset-contribution,SZ159843,-0.0075564425222311,0.0,10,0.0011615844356029,0.3268873751977927
asset-contribution,SH513630,-0.0065503370624383,0.0,10,0.0011853612014177,0.3337270249936487
asset-contribution,SZ159506,-0.0080477131378638,0.0,5,0.0005949731904405,0.3344945365797531
asset-contribution,SH512930,-0.0096367305854306,0.0,5,0.0005880931127832,0.3326478157079575
asset-contribution,SH510170,-0.0031711723787759,0.0,25,0.0029842953100963,0.3446883847777081
asset-contribution,SH512070,-0.0103688050733205,0.0,55,0.0073380602374435,0.9999448781774112
asset-contribution,SH510410,-0.0050760826585592,0.0,20,0.0023790677610281,0.3416767187600001
asset-contribution,SH515120,-0.007660934883435,0.0,15,0.0017786051437494,0.3341487753145177
asset-contribution,SH520990,-0.0076748308172552,0.0,5,0.0006223803544619,0.3567853482185903
asset-contribution,SZ159748,-0.0090047468099529,0.0,5,0.0005960065303504,0.3387485766208109
asset-contribution,SZ159931,-0.0193977156200773,0.0,5,0.0005702194605433,0.323917343667042
asset-contribution,SH561910,-0.0108315109990215,0.0,5,0.0005881873572117,0.3322427875358365
asset-contribution,SH513950,-0.0070583823383029,0.0,5,0.0005871663227592,0.3311975045240632
asset-contribution,SZ159141,-0.0053797966369857,0.0,5,0.0005919799353981,0.3333555995274193
asset-contribution,SH588220,-0.0071790522668642,0.0,10,0.0011879967792689,0.3406559213600351
asset-contribution,SH513970,-0.0061646564075615,0.0,5,0.0005895042360236,0.3317475441853842
asset-contribution,SZ159530,-0.0110443863788166,0.0,5,0.0005836865416747,0.3309131335425357
asset-contribution,SH516190,-0.0083149887980142,0.0,5,0.0005865463632353,0.3314615173887417
asset-contribution,SZ159752,-0.0119987764433105,0.0,5,0.000588772404681,0.3335960415399412
asset-contribution,SH515960,-0.00932465126446,0.0,10,0.0011821442882014,0.3346003629038029
asset-contribution,SH513530,-0.011662983769654,0.0,5,0.0005893838973488,0.3336934486920058
asset-contribution,SH515260,-0.0116982245622294,0.0,5,0.0005889128942909,0.3327699825159008
asset-contribution,SZ159910,-0.0162701437597522,0.0,5,0.0005822771304864,0.3302260532418183
asset-contribution,SZ159605,-0.0120017414590642,0.0,5,0.0005739740190941,0.3279126392586333
asset-contribution,SH513750,-0.0113633611204424,0.0,10,0.0011735700094295,0.3351736104230367
asset-contribution,SZ159903,-0.0169736370718953,0.0,10,0.0011785141251397,0.3400355956598846
asset-contribution,SH510150,-0.0147187164368997,0.0,25,0.0029783806627487,0.3444235609802155
asset-contribution,SZ159692,-0.0127099753349145,0.0,5,0.0005999329736217,0.338780649489536
asset-contribution,SZ159993,-0.0127265790639212,0.0,5,0.0005974970544933,0.3368782613646511
asset-contribution,SZ159909,-0.014521268446166,0.0,10,0.001188964752261,0.3351364333845131
asset-contribution,SH588860,-0.0085584685462364,0.0,10,0.0011843906554316,0.3414275346338745
asset-contribution,SZ159962,-0.0138385872185921,0.0,5,0.0006007100867251,0.3398940936610715
asset-contribution,SH513350,-0.0090745425357019,0.0,10,0.0011828287861092,0.3369776598881774
asset-contribution,SH512800,-0.0105720296126054,0.0,50,0.0051415461670935,0.4888153724043279
asset-contribution,SH515210,-0.0141229301665465,0.0,15,0.0017653670789214,0.3372626724201293
asset-contribution,SH516320,-0.0168525387067541,0.0,5,0.000586417262216,0.3311948611788345
asset-contribution,SH513070,-0.0090298204789617,0.0,5,0.0005898182885448,0.334385140881392
asset-contribution,SH512880,-0.0270772325248481,0.0,55,0.0076607902339983,0.9996034805786798
asset-contribution,SZ159855,-0.0176436570468869,0.0,10,0.0011788465291144,0.3408510160689977
asset-contribution,SH560280,-0.0145346342227358,0.0,10,0.0011808655083439,0.33484568388812
asset-contribution,SZ159943,-0.0251654608983921,0.0,15,0.0017699032730585,0.3340738331003908
asset-contribution,SZ159770,-0.0178669126723926,0.0,5,0.0005774964525975,0.3289172427911957
asset-contribution,SH515790,-0.0202063213737979,0.0,30,0.0035275605103663,0.3395846633706321
asset-contribution,SH516360,-0.0212366771495227,0.0,5,0.0005749911489671,0.3270834964540047
asset-contribution,SZ159992,-0.0225833463446589,0.0,20,0.0023288025606481,0.3328010071565238
asset-contribution,SZ159859,-0.0247686397090494,0.0,15,0.0017553473923624,0.3344538279150572
asset-contribution,SZ159323,-0.0196024265750434,0.0,5,0.0005914874406211,0.333793145964176
asset-contribution,SZ159608,-0.0261290987596284,0.0,5,0.0005606884030757,0.3202374282657725
asset-contribution,SH520600,-0.0200928654429128,0.0,5,0.000590813964918,0.3329059889255862
asset-contribution,SH516820,-0.0276986912521094,0.0,10,0.0011806353210114,0.3337910567137335
asset-contribution,SZ159786,-0.029436568611284,0.0,10,0.0011784609061544,0.3382638825419081
asset-contribution,SZ159869,-0.028903343692598,0.0,30,0.0035541240041483,0.3461569906157296
asset-contribution,SH512200,-0.034476102889612,0.0,25,0.0029722045872333,0.3431781541629629
asset-contribution,SH513080,-0.0242236571875469,0.0,5,0.0005784674684648,0.3276403221253539
asset-contribution,SZ159766,-0.0221254371070244,0.0,15,0.0016753432533664,0.33450976878218
asset-contribution,SH517520,-0.0330655976032766,0.0,15,0.0017341256373695,0.3341110715987622
asset-contribution,SZ159837,-0.0370824009967285,0.0,25,0.0029200552385733,0.3350418907267584
asset-contribution,SZ159326,-0.0248096796957579,0.0,5,0.0005874933555223,0.3322435296617877
asset-contribution,SZ159852,-0.0149320175746102,0.0,15,0.0017787324713199,0.3396182669438094
asset-contribution,SH515400,-0.0257797047045877,0.0,20,0.00241065914816,0.3549394768388591
asset-contribution,SH510900,-0.0600781639128796,0.0,110,0.0134686082974786,0.5010240846663401
asset-contribution,SH513520,0.0033218829922678,0.0,115,0.0148368375107174,0.6929091786534907
asset-contribution,SZ159732,-0.0284402481346695,0.0,5,0.0005844642135485,0.332255593440643
asset-contribution,SH511880,-0.0504242083175304,0.0,380,0.1330075597735952,0.9998053932826932
asset-contribution,SH510660,-0.0507288185737893,0.0,30,0.0029614121216912,0.3437004336160539
asset-contribution,SZ159768,-0.0510555594358622,0.0,15,0.0017735671026478,0.3427640232386253
asset-contribution,SZ159636,-0.037731582242065,0.0,25,0.0029803205213357,0.3393219376697567
asset-contribution,SH588780,-0.0335689851907729,0.0,10,0.0011784974980116,0.3348772715219564
asset-contribution,SH512580,-0.0551971175207287,0.0,40,0.0045700842308338,0.3373008233462718
asset-contribution,SZ159667,-0.0305092802197921,0.0,10,0.0011567025537681,0.3353110828024629
asset-contribution,SH510300,-0.0798353223243367,0.0,50,0.0059855455629425,0.3771794890961763
asset-contribution,SH562800,-0.0281463572398615,0.0,40,0.0048269535194078,0.3696395967134427
asset-contribution,SH515980,-0.0454673026480542,0.0,10,0.0011846942681786,0.3344446748707744
asset-contribution,SH512690,-0.0624598331190756,0.0,50,0.0062228816331662,0.5265402604084315
asset-contribution,SH513030,-0.0454877401951162,0.0,210,0.0267004550773963,0.9997483500386862
asset-contribution,SH515250,-0.0606207487626149,0.0,20,0.0023251669080397,0.3389494904408328
asset-contribution,SH512010,-0.0690382057159356,0.0,45,0.0053051710985026,0.3427309665094492
asset-contribution,SH512720,-0.0516155566926951,0.0,20,0.0023402513989303,0.3371005818224101
asset-contribution,SH513400,-0.0426787915223888,0.0,25,0.0044596110123799,0.9999667234923454
asset-contribution,SZ159998,-0.0594475554291905,0.0,15,0.0017493610401861,0.3338447623154478
asset-contribution,SH512170,-0.0905585465311966,0.0,70,0.0082462394154424,0.3410766172284008
asset-contribution,SZ159980,-0.0981095842651956,0.0,155,0.0309024733713124,0.9998973348215148
asset-contribution,SH513310,-0.0301601763663428,0.0,75,0.0089574564696628,0.356865570937961
asset-contribution,SZ159518,-0.1115628101932168,0.0,45,0.0061244157739487,0.6495466545088479
asset-contribution,SZ159567,-0.0879189457818185,0.0,15,0.0017199549052282,0.3309706557800309
