analysis_type,name,value,positive_share,holding_days,average_portfolio_weight,maximum_weight
asset-contribution,SH513100,0.3541065075195433,0.0740160348094575,410,0.0671525194879921,0.9998948099247682
asset-contribution,SH513500,0.2706305530628813,0.0514597526461906,390,0.0635596880839314,0.9998179744815988
asset-contribution,SZ159851,0.1807070859050395,0.0474860533024295,30,0.0035560220297156,0.3656211722402873
asset-contribution,SH518880,0.2436128620134507,0.0427119771468658,400,0.0878220345930227,0.9999694515972416
asset-contribution,SZ159516,0.0871169662758558,0.0422081309573907,5,0.000623064458261,0.3638964368220813
asset-contribution,SH561980,0.0796085636197941,0.0384987067236395,10,0.001210748961577,0.3548787971408945
asset-contribution,SZ159583,0.1003106450168833,0.0344628644790013,15,0.0017823469120442,0.3485632601869411
asset-contribution,SH515880,0.0883446194161007,0.0311637403580084,25,0.0029769553202794,0.354187367863457
asset-contribution,SH512670,0.0986330325747199,0.0304832429883308,35,0.0041547559455078,0.341668674048415
asset-contribution,SZ159509,0.131325628382428,0.0304832407184601,75,0.0101864882967855,0.9999091091323374
asset-contribution,SH513980,0.0970767531802448,0.027676100820558,20,0.0023673736512847,0.34676154158855
asset-contribution,SH513590,0.1000113426683521,0.0270625949038327,5,0.0005795034158715,0.3278870544535535
asset-contribution,SH512660,0.0652869035042161,0.0252716211908145,45,0.005608500495837,0.50185487817434
asset-contribution,SH588170,0.040756383133227,0.0178648584341017,5,0.000614540223965,0.357267541995495
asset-contribution,SH513060,0.0763668819536789,0.0166208315411955,15,0.0017784372642299,0.3418708250589412
asset-contribution,SH510630,0.093545544957553,0.0156722465433105,75,0.0119366821172811,0.9999183708059968
asset-contribution,SZ159792,0.0655508875767354,0.0147057683702453,15,0.0018140390686883,0.3558689221964469
asset-contribution,SZ159570,0.0573892089831442,0.0146493143600326,20,0.0023791030062621,0.3372452819543975
asset-contribution,SZ159930,0.0268170397282532,0.0144725098554635,35,0.004121470014282,0.3796947850653756
asset-contribution,SH588200,0.0483337063344028,0.014317070833878,15,0.0017670070268142,0.3472685895186896
