capital_rmb,adv_participation,annualized_return,maximum_drawdown,sharpe,average_exposure,status,note
200000.0,0.005,0.1544357059165402,0.2954693521683302,0.7719108147786569,0.8976322059011457,,
200000.0,0.01,0.1574849071227002,0.3045360372600061,0.7622872061670538,0.9405679362839297,,
200000.0,0.05,0.164683264656932,0.3077892936600224,0.7643077627732819,0.992089379434528,,
1000000.0,0.005,0.1395150921170507,0.2727823159516267,0.7954487646060123,0.735769551084001,,
1000000.0,0.01,0.1477428775693763,0.2911880058885731,0.7897049244472568,0.8134417998419969,,
1000000.0,0.05,0.1574294493974508,0.3043806669108355,0.7618465756364247,0.9430318147851556,,
2000000.0,,,,,,not-run-exact-capital,nearest archived scenarios are 1m and 5m
5000000.0,0.005,0.1066590943672074,0.2079149926584693,0.8398797045838874,0.5198470795976654,,
5000000.0,0.01,0.1160727908711996,0.2118499775865087,0.7826512644800674,0.6183974745850759,,
5000000.0,0.05,0.1476040632968056,0.2911506224649717,0.7889861398245787,0.8140694686640197,,
10000000.0,0.005,0.0827673372298321,0.1993886602139466,0.7824403537202493,0.436535504199375,,
10000000.0,0.01,0.1066613042849402,0.2079320939998524,0.839875681564983,0.5199327759657706,,
10000000.0,0.05,0.1394953422034068,0.2727503039072979,0.79524739896366,0.736475281481669,,
50000000.0,0.005,0.0306628755925288,0.1152237356678627,0.5526914075788061,0.2618820612336414,,
50000000.0,0.01,0.0560619622913367,0.155874527182959,0.7266074441463325,0.3343950057387834,,
50000000.0,0.05,0.1065701398089506,0.2089000986315516,0.8390242511877694,0.5204263239878707,,
