date,side,market_price,execution_price,units,gross_traded
2008-07-01,buy,2.8482158184051514,2.8482158184051514,35099169.224219345,99970008.9973008
2008-07-10,sell,3.0230119228363037,3.0230119228363037,35099169.224219345,106105207.04646413
2008-09-02,buy,2.3328330516815186,2.3328330516815186,45424281.51938346,105967265.27730373
2008-12-09,sell,2.1409733295440674,2.1409733295440674,45424281.51938346,97252175.24670145
2008-12-29,buy,1.8848543167114258,1.8848543167114258,51514123.703076825,97096618.43335073
2009-05-26,sell,2.8055901527404785,2.8055901527404785,51514123.703076825,144527518.1884072
2009-07-09,buy,3.406848907470703,3.406848907470703,42367487.18096871,144339627.41476226
2009-08-10,sell,3.6525778770446777,3.6525778770446777,42367487.18096871,154750546.3831803
2010-02-22,buy,3.3058457374572754,3.3058457374572754,46736306.5421769,154503019.7669521
2010-02-25,sell,3.3091046810150146,3.3091046810150146,46736306.5421769,154655330.75207025
2010-08-13,buy,2.867767333984375,2.867767333984375,53858718.58980248,154454273.82209256
2010-08-20,sell,2.994872808456421,2.994872808456421,53858718.58980248,161300011.8029058
2010-10-11,buy,3.122938632965088,3.122938632965088,51567458.766202055,161042009.1848066
2010-11-09,sell,3.6095564365386963,3.6095564365386963,51567458.766202055,186135652.70548844
2010-12-07,buy,3.2079427242279053,3.2079427242279053,57930562.0315292,185837924.97947744
2010-12-09,sell,3.211266040802002,3.211266040802002,57930562.0315292,186030446.57642356
2011-01-14,buy,3.184469699859619,3.184469699859619,58342085.027238406,185788601.99587426
2011-02-14,sell,3.1779353618621826,3.1779353618621826,58342085.027238406,185407375.0928311
2011-02-23,buy,3.2076425552368164,3.2076425552368164,57709301.79215853,185110812.26153198
2011-03-10,sell,3.388765573501587,3.388765573501587,57709301.79215853,195563295.18408024
2011-04-14,buy,3.433413028717041,3.433413028717041,56867754.07471839,195250487.75401473
2011-07-19,sell,3.1629106998443604,3.1629106998443604,56867754.07471839,179867627.83904454
2011-09-07,buy,2.7867488861083984,2.7867488861083984,64440655.86255517,179579925.94507024
2011-10-14,sell,2.701854944229126,2.701854944229126,64440655.86255517,174109304.65161228
2011-11-24,buy,2.6106197834014893,2.6106197834014893,66586032.3348504,173830813.31157172
2012-02-08,sell,2.499441385269165,2.499441385269165,66586032.3348504,166427884.8985959
2012-03-09,buy,2.6903998851776123,2.6903998851776123,61760960.167902686,166161680.14418447
2012-03-20,sell,2.6685914993286133,2.6685914993286133,61760960.167902686,164814773.29443818
2012-03-27,buy,2.6104743480682373,2.6104743480682373,63034961.00863838,164551148.74453205
2012-04-20,sell,2.6368918418884277,2.6368918418884277,63034961.00863838,166216374.4374337
2012-06-29,buy,2.4612176418304443,2.4612176418304443,67426181.73126929,165950507.99826556
2012-07-20,sell,2.458017587661743,2.458017587661743,67426181.73126929,165734740.56433684
2012-07-26,buy,2.4014651775360107,2.4014651775360107,68903620.1965787,165469644.5082507
2012-10-25,sell,2.34712815284729,2.34712815284729,68903620.1965787,161725626.79648697
2012-11-13,buy,2.290257215499878,2.290257215499878,70501663.44018689,161466943.39863196
2013-01-30,sell,2.725335121154785,2.725335121154785,70501663.44018689,192140659.47337562
2013-04-11,buy,2.5463263988494873,2.5463263988494873,75337288.53643873,191833326.6180748
2013-04-25,sell,2.5304102897644043,2.5304102897644043,75337288.53643873,190634250.11555448
2013-07-22,buy,2.2080912590026855,2.2080912590026855,86196313.67877947,190329326.79236656
2013-08-30,sell,2.3564677238464355,2.3564677238464355,86196313.67877947,203118831.09858683
