date,side,market_price,execution_price,units,gross_traded
2005-07-01,buy,0.8912696838378906,0.8912696838378906,11219948.553550106,10000000.0
2005-07-05,sell,0.8686290979385376,0.8686290979385376,11219948.553550106,9745973.790987028
2005-07-28,buy,0.909537136554718,0.909537136554718,10715311.557155652,9745973.790987028
2005-09-27,sell,0.934952437877655,0.934952437877655,10715311.557155652,10018306.662981289
2005-12-13,buy,0.9035450220108032,0.9035450220108032,11087778.050822468,10018306.662981289
2006-07-24,sell,1.3637471199035645,1.3637471199035645,11087778.050822468,15120925.382939098
2006-07-27,buy,1.394757866859436,1.394757866859436,10841254.774197297,15120925.382939098
2006-07-28,sell,1.3786424398422241,1.3786424398422241,10841254.774197297,14946213.932850523
2006-08-30,buy,1.3516305685043335,1.3516305685043335,11057913.516553177,14946213.932850523
2007-07-03,sell,3.849022626876831,3.849022626876831,11057913.516553177,42562159.33126032
2007-07-24,buy,4.260650634765625,4.260650634765625,9989591.491958043,42562159.33126032
2007-11-06,sell,5.4246697425842285,5.4246697425842285,9989591.491958043,54190234.70720164
2007-12-25,buy,5.3089213371276855,5.3089213371276855,10207390.77978512,54190234.70720163
2008-01-23,sell,4.870999813079834,4.870999813079834,10207390.77978512,49720198.58036614
2008-05-06,buy,4.091489315032959,4.091489315032959,12152102.755757932,49720198.58036615
2008-05-23,sell,3.762648105621338,3.762648105621338,12152102.755757932,45724086.413268425
2008-11-18,buy,2.008953094482422,2.008953094482422,22760156.291776728,45724086.413268425
2008-12-29,sell,1.8848543167114258,1.8848543167114258,22760156.291776728,42899578.835582085
2009-01-19,buy,2.0457921028137207,2.0457921028137207,20969666.847662233,42899578.835582085
2009-08-17,sell,3.3409323692321777,3.3409323692321777,20969666.847662233,70058238.74336964
2009-09-17,buy,3.3319284915924072,3.3319284915924072,21026333.22418248,70058238.74336964
2009-09-23,sell,3.1849560737609863,3.1849560737609863,21026333.22418248,66967947.71128241
2009-10-16,buy,3.3070168495178223,3.3070168495178223,20250258.997333694,66967947.71128241
2009-12-21,sell,3.4456231594085693,3.4456231594085693,20250258.997333694,69774761.38523473
2010-01-05,buy,3.607269048690796,3.607269048690796,19342821.5204958,69774761.38523473
2010-01-12,sell,3.538747787475586,3.538747787475586,19342821.5204958,68449366.85918966
2010-01-13,buy,3.508671283721924,3.508671283721924,19508629.143104002,68449366.85918966
2010-01-14,sell,3.493595838546753,3.493595838546753,19508629.143104002,68155265.59010005
2010-03-04,buy,3.3971357345581055,3.3971357345581055,20062567.679229215,68155265.59010005
2010-03-05,sell,3.3101272583007812,3.3101272583007812,20062567.679229215,66409652.14652087
2010-03-10,buy,3.3618900775909424,3.3618900775909424,19753665.531535935,66409652.14652087
2010-03-12,sell,3.334703207015991,3.334703207015991,19753665.531535935,65872611.79833413
2010-03-24,buy,3.3395261764526367,3.3395261764526367,19725137.13556405,65872611.79833413
2010-03-26,sell,3.283303737640381,3.283303737640381,19725137.13556405,64763616.48266653
2010-03-30,buy,3.4202170372009277,3.4202170372009277,18935528.29491442,64763616.48266654
2010-04-21,sell,3.234544515609741,3.234544515609741,18935528.29491442,61247809.196488515
2010-07-22,buy,2.785977602005005,2.785977602005005,21984315.003971983,61247809.196488515
2010-09-21,sell,2.9095065593719482,2.9095065593719482,21984315.003971983,63963508.70735562
2010-10-11,buy,3.122938632965088,3.122938632965088,20481833.37071378,63963508.70735562
2010-11-18,sell,3.1898319721221924,3.1898319721221924,20481833.37071378,65333606.933582075
2011-02-15,buy,3.2796640396118164,3.2796640396118164,19920823.030798916,65333606.93358208
2011-04-27,sell,3.29939866065979,3.29939866065979,19920823.030798916,65726736.82705864
2011-07-01,buy,3.105571985244751,3.105571985244751,21164132.449462026,65726736.82705864
2011-07-27,sell,3.0134353637695312,3.0134353637695312,21164132.449462026,63776745.166711144
2011-11-02,buy,2.705101728439331,2.705101728439331,23576468.30661197,63776745.16671115
2011-11-21,sell,2.65423846244812,2.65423846244812,23576468.30661197,62577568.98809859
2012-01-20,buy,2.5201048851013184,2.5201048851013184,24831335.13928438,62577568.98809859
2012-03-26,sell,2.596101999282837,2.596101999282837,24831335.13928438,64464678.79995834
2012-04-19,buy,2.6438333988189697,2.6438333988189697,24383033.67706734,64464678.79995835
2012-05-21,sell,2.6174137592315674,2.6174137592315674,24383033.67706734,63820487.838162735
2012-05-31,buy,2.669090986251831,2.669090986251831,23910945.024689846,63820487.838162735
2012-06-05,sell,2.6101038455963135,2.6101038455963135,23910945.024689846,62410049.560785
2012-10-11,buy,2.3564484119415283,2.3564484119415283,26484793.49028652,62410049.560785
2012-10-30,sell,2.275475025177002,2.275475025177002,26484793.49028652,60265486.13411742
2012-11-06,buy,2.342294931411743,2.342294931411743,25729247.553720456,60265486.13411742
2012-11-09,sell,2.281008243560791,2.281008243560791,25729247.553720456,58688625.770652674
2012-12-12,buy,2.297268867492676,2.297268867492676,25547129.724831734,58688625.770652674
2013-03-05,sell,2.592513084411621,2.592513084411621,25547129.724831734,66231268.08078733
2013-05-09,buy,2.586890459060669,2.586890459060669,25602656.598314837,66231268.08078733
2013-06-13,sell,2.491600513458252,2.491600513458252,25602656.598314837,63791592.32625655
2013-08-09,buy,2.328584909439087,2.328584909439087,27395003.749991134,63791592.32625655
2013-10-28,sell,2.414113998413086,2.414113998413086,27395003.749991134,66134662.03943258
2013-11-22,buy,2.457582950592041,2.457582950592041,26910449.56325909,66134662.03943258
2013-12-18,sell,2.3979761600494385,2.3979761600494385,26910449.56325909,64530616.50890812
2014-02-13,buy,2.3285207748413086,2.3285207748413086,27713137.544716973,64530616.50890812
2014-02-26,sell,2.185351848602295,2.185351848602295,27713137.544716973,60562956.363916904
2014-04-09,buy,2.27901291847229,2.27901291847229,26574204.94330264,60562956.363916904
