date,equity,cash,market_value,position,gross_traded,signal,target,benchmark_value
2005-07-01,9812303.518004118,0.0,9812303.518004118,1.0,10000000.0,0.0003056639333836042,1.0,0.9812304
2005-07-04,9771660.902838117,0.0,9771660.902838117,1.0,0.0,-0.0035370843869936275,1.0,0.9771661
2005-07-05,9745973.790987028,9745973.790987028,0.0,0.0,9745973.790987028,-0.007071888756959077,0.0,0.9700308
2005-07-06,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.010429712139049307,0.0,0.9619024
2005-07-07,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.012469235418715807,0.0,0.9643797
2005-07-08,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.01563164756969493,0.0,0.946981
2005-07-11,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.018367197660709267,0.0,0.9408276
2005-07-12,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.016702039995739715,0.0,0.9724739
2005-07-13,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.015891798406827973,0.0,0.96609217
2005-07-14,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.014630928284519173,0.0,0.9699281
2005-07-15,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.014517684035131095,0.0,0.9601214
2005-07-18,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.015178863778341767,0.0,0.95098823
2005-07-19,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.015103948055135152,0.0,0.9539679
2005-07-20,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.013948775656190904,0.0,0.96199363
2005-07-21,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.01271055052284975,0.0,0.9635349
2005-07-22,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.009678855352007854,0.0,0.98145866
2005-07-25,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.007638213219885226,0.0,0.9782278
2005-07-26,9745973.790987028,9745973.790987028,0.0,0.0,0.0,-0.0036184617004981767,0.0,1.0006268
2005-07-27,9745973.790987028,9745973.790987028,0.0,0.0,0.0,0.0015384093616498395,0.0,1.0206399
2005-07-28,9713330.09795728,0.0,9713330.09795728,1.0,9745973.790987028,0.004928292402801127,1.0,1.0170779
2005-07-29,9683565.584911842,0.0,9683565.584911842,1.0,0.0,0.007011063011387431,1.0,1.0139613
2005-08-01,9721180.142586198,0.0,9721180.142586198,1.0,0.0,0.008853047885052923,1.0,1.0178999
2005-08-02,9851906.92110188,0.0,9851906.92110188,1.0,0.0,0.011531099734139905,1.0,1.0315882
