date,equity,cash,market_value,position,gross_traded,signal,target,benchmark_value
2008-07-01,96368345.44618751,6.100890459492803e-09,96368345.44618751,1.0,99970008.9973008,-0.14426606632398886,1.0,0.96397257
2008-07-02,96412981.926672,6.100890459492803e-09,96412981.926672,1.0,0.0,0.1632917529569193,1.0,0.96441907
2008-07-03,98591884.85929808,6.100890459492803e-09,98591884.85929808,1.0,0.0,0.2525311734577747,1.0,0.98621464
2008-07-04,97921894.13244599,6.100890459492803e-09,97921894.13244599,1.0,0.0,-0.17497439441566817,1.0,0.9795127
2008-07-07,102954326.75945623,6.100890459492803e-09,102954326.75945623,1.0,0.0,0.006754279107033873,1.0,1.0298522
2008-07-08,103635740.20769215,6.100890459492803e-09,103635740.20769215,1.0,0.0,-0.35368733570807565,1.0,1.0366683
2008-07-09,107681760.17307729,6.100890459492803e-09,107681760.17307729,1.0,0.0,-1.037213387883441,1.0,1.0771407
2008-07-10,105967270.27730373,105967270.27730373,0.0,0.0,106105207.04646413,-0.9611824304168979,0.0,1.0623507
2008-07-11,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.2631865962227737,0.0,1.0551237
2008-07-14,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.1445243075017175,0.0,1.0631152
2008-07-15,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.8946966489823265,0.0,1.0192133
2008-07-16,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.13134284278750344,0.0,0.98085237
2008-07-17,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.13356552342503436,0.0,0.9710174
2008-07-18,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.19354239992405148,0.0,1.0058095
2008-07-21,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.28516947747292654,0.0,1.0399586
2008-07-22,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.5566434108970304,0.0,1.0377043
2008-07-23,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.6861045830797314,0.0,1.0300522
2008-07-24,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.7875269123355563,0.0,1.0636475
2008-07-25,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.9675994374846818,0.0,1.0500151
2008-07-28,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.5033901545704118,0.0,1.0577494
2008-07-29,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.0553058495566159,0.0,1.0380223
2008-07-30,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.5348367073409255,0.0,1.0304309
2008-07-31,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.2826553001995924,0.0,1.0021478
2008-08-01,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.3229026115065434,0.0,1.0148585
2008-08-04,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.2006394994419418,0.0,0.9906944
2008-08-05,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.3607550497237693,0.0,0.9656623
2008-08-06,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.9423794975184497,0.0,0.97231066
2008-08-07,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.674181917767867,0.0,0.97186404
2008-08-08,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-1.031597084801183,0.0,0.9257866
2008-08-11,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.769657505758454,0.0,0.8776835
2008-08-12,105967270.27730373,105967270.27730373,0.0,0.0,0.0,-0.04146706353344122,0.0,0.8731644
2008-08-13,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.16914248391225195,0.0,0.87334657
2008-08-14,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.3789165677449973,0.0,0.8729322
2008-08-15,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.5626785280004238,0.0,0.8743969
2008-08-18,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.3981762986963029,0.0,0.82645106
2008-08-19,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.46716279708875713,0.0,0.8389796
2008-08-20,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.14975926342556278,0.0,0.90488064
2008-08-21,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.22191538478568068,0.0,0.8731001
2008-08-22,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.47091747974658243,0.0,0.85914963
2008-08-25,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.5377695281146853,0.0,0.8575849
2008-08-26,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.537283656763235,0.0,0.8329279
2008-08-27,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.3977238150215851,0.0,0.8306986
2008-08-28,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.6626169741487423,0.0,0.8344747
2008-08-29,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.5639419823181292,0.0,0.8544018
2008-09-01,105967270.27730373,105967270.27730373,0.0,0.0,0.0,0.8130489153612828,0.0,0.82493985
2008-09-02,105631015.66530283,0.0,105631015.66530283,1.0,105967265.27730373,1.9205031379179214,1.0,0.81645167
2008-09-03,103807645.61166628,0.0,103807645.61166628,1.0,0.0,1.1215380255168323,1.0,0.8023583
2008-09-04,104047529.9490091,0.0,104047529.9490091,1.0,0.0,0.8601151742854615,1.0,0.8042125
2008-09-05,100917532.11135116,0.0,100917532.11135116,1.0,0.0,1.6370148767385577,1.0,0.7800199
2008-09-08,98287165.154911,0.0,98287165.154911,1.0,0.0,1.400180740272304,1.0,0.75968903
2008-09-09,98870923.41908494,0.0,98870923.41908494,1.0,0.0,2.0629452939617816,1.0,0.76420105
2008-09-10,99057188.46278512,0.0,99057188.46278512,1.0,0.0,2.060728089718049,1.0,0.76564074
2008-09-11,95773274.76949215,0.0,95773274.76949215,1.0,0.0,1.731660642956669,1.0,0.74025846
2008-09-12,96037656.55022411,0.0,96037656.55022411,1.0,0.0,1.9010689415001276,1.0,0.74230194
2008-09-16,92469488.03967437,0.0,92469488.03967437,1.0,0.0,1.368447700967207,1.0,0.7147226
2008-09-17,89164315.07079656,0.0,89164315.07079656,1.0,0.0,0.9803173709020568,1.0,0.68917596
2008-09-18,87632131.02971697,0.0,87632131.02971697,1.0,0.0,0.3843822476005282,1.0,0.6773333
2008-09-19,95818565.79878189,0.0,95818565.79878189,1.0,0.0,0.45331805777790807,1.0,0.7406085
2008-09-22,102035122.3735523,0.0,102035122.3735523,1.0,0.0,0.331294204759117,1.0,0.788658
2008-09-23,98146656.83018477,0.0,98146656.83018477,1.0,0.0,0.2565713047400121,1.0,0.758603
2008-09-24,98857050.19849189,0.0,98857050.19849189,1.0,0.0,0.2795255254174781,1.0,0.7640938
2008-09-25,102770944.56461701,0.0,102770944.56461701,1.0,0.0,0.1361785920898229,1.0,0.7943454
