trade_date,observation_date
2010-01-04,2009-12-31
2010-02-01,2010-01-29
2010-03-01,2010-02-26
2010-04-01,2010-03-31
2010-05-04,2010-04-30
2010-06-01,2010-05-31
2010-07-01,2010-06-30
2010-08-02,2010-07-30
2010-09-01,2010-08-31
2010-10-08,2010-09-30
2010-11-01,2010-10-29
2010-12-01,2010-11-30
2011-01-04,2010-12-31
2011-02-01,2011-01-31
2011-03-01,2011-02-28
2011-04-01,2011-03-31
2011-05-03,2011-04-29
2011-06-01,2011-05-31
2011-07-01,2011-06-30
2011-08-01,2011-07-29
2011-09-01,2011-08-31
2011-10-10,2011-09-30
2011-11-01,2011-10-31
2011-12-01,2011-11-30
2012-01-04,2011-12-30
2012-02-01,2012-01-31
2012-03-01,2012-02-29
2012-04-05,2012-03-30
2012-05-02,2012-04-27
2012-06-01,2012-05-31
2012-07-02,2012-06-29
2012-08-01,2012-07-31
2012-09-03,2012-08-31
2012-10-08,2012-09-28
2012-11-01,2012-10-31
2012-12-03,2012-11-30
2013-01-04,2012-12-31
2013-02-01,2013-01-31
2013-03-01,2013-02-28
2013-04-01,2013-03-29
2013-05-02,2013-04-26
2013-06-03,2013-05-31
2013-07-01,2013-06-28
2013-08-01,2013-07-31
2013-09-02,2013-08-30
2013-10-08,2013-09-30
2013-11-01,2013-10-31
2013-12-02,2013-11-29
2014-01-02,2013-12-31
2014-02-07,2014-01-30
2014-03-03,2014-02-28
2014-04-01,2014-03-31
2014-05-05,2014-04-30
2014-06-03,2014-05-30
2014-07-01,2014-06-30
2014-08-01,2014-07-31
2014-09-01,2014-08-29
2014-10-08,2014-09-30
2014-11-03,2014-10-31
2014-12-01,2014-11-28
