scenario,evidence_scope,period_start,period_end,initial_cash,total_return,annualized_return,maximum_drawdown,sharpe,sortino,comparable_to_local,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,trade_count,order_count,rejected_order_count,total_fees,annual_return_absolute_difference,max_drawdown_absolute_difference,sharpe_absolute_difference,parameter_fitting_used,post_publication_data_used,yearly_returns_json
published-public-backtest,public in-sample aggregate,2014-06-01,2020-07-31,100000.0,1.1875873187,0.1388660779521,0.084382235325559,1.4417718336376,1.8255568944958,True,,,,,,,,,,,,,,,
current-source-local-calibration,public in-sample version calibration,2014-06-01,2020-07-31,100000.0,0.94101321528269,0.11646538959677066,0.09192329490734308,1.7340499723264515,2.0940806876132068,True,0.06475668495405601,37.658782519176064,0.050122492054697924,1.0,369.0,1911.0,1911.0,0.0,9699.272239935854,0.022400688355329323,0.007541059581784082,0.29227813868885155,False,False,"{""2014"": 0.11829782852360693, ""2015"": 0.1702712450533459, ""2016"": 0.000990178565871691, ""2017"": 0.09421681992194508, ""2018"": -0.008720973066376092, ""2019"": 0.14898606507239331, ""2020"": 0.188887045185119}"
