analysis_type,name,annualized_return,maximum_drawdown,sharpe,delta_cagr_vs_dynamic,delta_drawdown_vs_dynamic,delta_sharpe_vs_dynamic
strategy,causal-baseline-cost,0.019567982724099098,0.10280972005505862,0.4524397195781778,0.0,0.0,0.0
simple-baseline,static-prior-weekly,0.005011854938164584,0.29727041241496666,0.10458135426429885,-0.014556127785934514,0.19446069235990804,-0.3478583653138789
simple-baseline,equal-weight-weekly,0.04000754952955754,0.17055499622386383,0.4259981367870404,0.02043956680545844,0.06774527616880521,-0.026441582791137397
execution,average-exposure,0.9576082985885601,,,,,,
event-count,rebalance-count,287.0,,,,,,
