single_side_all_in_cost_bp,model,trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
5,v2,v2_5bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.119968993582706,0.06398575308165588,0.3011332647387901,0.5270523154334058,0.8176674344068425,0.21248317796161972,0.13503231335011331,74.74936701103844,6.169944476508905,56141.00281101625,0.008090815052205219,0.17150914761268363,1230,-0.21005066577998255,0.5263675073698002,0.17150914761268363,0.3572642052540269,0.6111975116640747,643
5,core,core_5bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.4185282224505245,0.0756202965748467,0.1921938977373434,0.8170332255793543,1.302177151954832,0.39345836400170797,0.09473387567551213,2.30989329245335,0.1906626628556319,1887.705856713505,0.009238952128483637,0.0,878,-0.07559718263932624,0.5302980674746152,0.0,0.0,0.0,643
5,satellite,satellite_5bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.08751070359446578,0.006948567953926732,0.5959904467440427,0.1623211537329944,0.2437278293576677,0.011658857942920858,0.2730655577284114,272.1786642820826,22.46610658338841,139903.74593073185,0.005038483052273295,0.607564952990917,2707,-0.47896008604510687,0.6347854569276122,0.607564952990917,0.9999987984974045,0.6111975116640747,643
10,v2,v2_10bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0339108756556041,0.06035248838870766,0.3024810980699555,0.5006555304239351,0.7749595699727075,0.19952482576200448,0.13542843421254805,74.82696663671909,6.176349686358733,110113.25933528668,0.00723914653019845,0.1737516586851635,1231,-0.2143782482537573,0.5263675073698002,0.1737516586851635,0.3587434602584194,0.6111975116640747,643
10,core,core_10bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.4093778970217286,0.07528380590685613,0.19225756087688417,0.8143583381155446,1.297016817643089,0.3915778685815408,0.09465135824472233,2.3365176062451023,0.19286028063339855,3813.3956963162755,0.009771143929850928,0.0,878,-0.07512745310477409,0.5302980674746152,0.0,0.0,0.0,643
10,satellite,satellite_10bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,-0.05263875936502094,-0.004453483037558548,0.6391661961293587,0.1206671533355794,0.18093378427198323,-0.00696764482309578,0.273136792963789,269.04440922006654,22.20739964738184,262062.04616416653,0.005006226715688989,0.6076849125285797,2707,-0.4918085892913332,0.6324926301998035,0.6076849125285797,0.9999997345858623,0.6111975116640747,643
20,v2,v2_20bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.901881283847394,0.05449443029784251,0.30708020501488364,0.45964290353016785,0.7109282104201523,0.1774599254784308,0.13546841204828217,74.84056596176859,6.177472198613064,213963.7460451753,0.006077935493263854,0.17355605251053216,1231,-0.22188346076872967,0.5244022273173927,0.17355605251053216,0.35724762877832433,0.6111975116640747,643
20,core,core_20bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.4226496702278575,0.07577147579612897,0.1905541736226175,0.8214605068908669,1.3089311625128615,0.3976374505771277,0.09435052734818503,2.4228969693584532,0.1999901854825844,7908.421352623696,0.00927765063983942,0.0,878,-0.07528405493204982,0.5309531608254177,0.0,0.0,0.0,643
20,satellite,satellite_20bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,-0.2769233832347465,-0.02640838387230604,0.7116128640133383,0.03936719371594921,0.05885992489169321,-0.03711060494798903,0.2734991406438313,262.6197748806701,21.67709900751027,463194.87582628016,0.004465302871205506,0.6079500667042091,2707,-0.5356524647221809,0.630527350147396,0.6079500667042091,0.9999994854185081,0.6111975116640747,643
30,v2,v2_30bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.759037531472176,0.04772049501656084,0.3080282605383212,0.4113087853892845,0.6349133101805265,0.154922457222473,0.13584128129404885,74.55244365562811,6.15369007573478,310257.0608516118,0.006212813420520383,0.17542517749585745,1233,-0.24739557452395278,0.5244022273173927,0.17542517749585745,0.34970489612452765,0.6111975116640747,643
30,core,core_30bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.417620080724225,0.07558695316468844,0.1910194111608715,0.817733374912857,1.3036801493002828,0.3957029953413012,0.09459898083150767,2.3908070227856206,0.1973414247435232,11676.580876844942,0.007913747926619343,0.0,878,-0.07669945320971872,0.5316082541762202,0.0,0.0,0.0,643
30,satellite,satellite_30bp,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,-0.45493347186821653,-0.04885642539105872,0.7709342086932265,-0.0457961384401626,-0.0682550174807312,-0.06337301528475808,0.27357644995428426,256.5651797698188,21.17734205764636,613880.1398047986,0.005762725274777559,0.6076896482187488,2707,-0.5816285388493828,0.6288896167703898,0.6076896482187488,0.9999999678317044,0.6111975116640747,643
