period,use_excess_hurdle,use_dispersion_gate,use_rank_buffer,use_correlation_guard,trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
full,False,False,False,False,factorial_0000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0460372676882792,0.060872890179331174,0.3253440016319942,0.4771584203631083,0.7400994754696707,0.18710315811565575,0.14637501382965884,98.00466409178837,8.089477678064418,187205.16179858558,0.008806516803860232,0.28788923953504875,1231,-0.25770639067609535,0.5224369472649852,0.28788923953504875,0.3620911289900023,1.0,643
full,False,False,False,True,factorial_0001,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.1552025048978805,0.06543434893342148,0.3120861443232289,0.519480457524147,0.8120505615846692,0.2096675873750129,0.14128746550669302,101.81255677567007,8.403787850464742,199617.561459879,0.007809360383045874,0.2863481259871872,1229,-0.2432690930227257,0.524729773992794,0.2863481259871872,0.3467945732729132,1.0,643
full,False,False,True,False,factorial_0010,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9455982756431749,0.05647435220071517,0.3363069875052024,0.4462491833582033,0.6894273548179021,0.167925003936594,0.14761808749663796,56.506787987380655,4.664169856803119,106140.9467301431,0.008181573845050806,0.29252594652095665,1230,-0.27197398493256275,0.5158860137569604,0.29252594652095665,0.35863318306836817,1.0,643
full,False,False,True,True,factorial_0011,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.1201267390123686,0.06399228772669718,0.3165127874740339,0.5043971033071725,0.78683136026964,0.20217915439497683,0.14344041816154096,69.33775228136653,5.723260260368282,136086.3314287661,0.007239925081309565,0.29096712030139954,1227,-0.23102090950698362,0.5191614805109728,0.29096712030139954,0.34790623105082646,1.0,643
full,False,True,False,False,factorial_0100,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0205582716100463,0.05977616070494629,0.29923868440898993,0.4899487951588174,0.7582815776566909,0.19976080573608634,0.13800034789220392,91.74843179883275,7.5730772398643476,177288.14732343762,0.008290118540221967,0.1819482327941399,1229,-0.21625225849270024,0.5250573206681952,0.1819482327941399,0.36234508774134705,0.6314152410575428,643
full,False,True,False,True,factorial_0101,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.1633409294848622,0.06576586268588858,0.30219919430341513,0.541344820673677,0.8420866307960594,0.21762421583380562,0.1343955414938321,89.0895971431528,7.353612341983133,175096.52241197578,0.00764782844589969,0.17932875978889193,1227,-0.21720672165324373,0.5273501473960039,0.17932875978889193,0.3473736273959894,0.6314152410575428,643
full,False,True,True,False,factorial_0110,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9610314386233612,0.05716357441557607,0.306971146447245,0.4695994455100143,0.7243733049071608,0.18621806992990464,0.13903304056673912,65.23355732589202,5.3844927763264945,124407.66376776536,0.008189330365128566,0.18428869549950147,1228,-0.2526767983574709,0.5211267605633803,0.18428869549950147,0.35871192848133954,0.6314152410575428,643
full,False,True,True,True,factorial_0111,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0592023065770526,0.061434671346455305,0.30352433725733985,0.5081507074886945,0.7887656465683948,0.2024044328754059,0.13543912183492224,71.4471346432887,5.897372397677286,137707.30920306675,0.008634631477934406,0.17992465829455223,1229,-0.2135848000652586,0.5244022273173927,0.17992465829455223,0.3583440491812012,0.6314152410575428,643
full,True,False,False,False,factorial_1000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0667163705732112,0.06175383762096254,0.33041439526918137,0.48884366903949633,0.7601637139598127,0.18689814519325962,0.1438034686040007,97.56925623291036,8.053538346116413,186949.94598334486,0.008197938202046654,0.2550269410487271,1230,-0.23729880755399846,0.5224369472649852,0.2550269410487271,0.35350726345444256,0.926905132192846,643
full,True,False,False,True,factorial_1001,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.1597188596150025,0.06561846142913952,0.32280365137334477,0.523432823773913,0.8144979484784272,0.20327670133212722,0.14028239096845463,99.95380554311838,8.250363248236432,195432.50834010367,0.009375679158983092,0.25309553794881606,1227,-0.23159136978928319,0.5250573206681952,0.25309553794881606,0.3497350079955517,0.926905132192846,643
full,True,False,True,False,factorial_1010,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.994332136749555,0.05863393874676959,0.33032493434101906,0.46907825241219187,0.7253706002593556,0.1775038232089298,0.14350327841759603,63.47254304205681,5.2391355540774045,121954.95680697379,0.008096286595929193,0.2580325635789346,1231,-0.24921751272989778,0.518178840484769,0.2580325635789346,0.35897652006207087,0.926905132192846,643
full,True,False,True,True,factorial_1011,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.1674630834212834,0.06593333979850358,0.32230876964378585,0.5228098243221273,0.8133557459059578,0.20456576428675147,0.1412877883926105,75.53134797163972,6.234490563004654,150689.1061155806,0.008373525638119087,0.25582317096730245,1224,-0.21810208520640906,0.5214543072387815,0.25582317096730245,0.3451528153099493,0.926905132192846,643
full,True,True,False,False,factorial_1100,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9855874759621135,0.0582500192658717,0.30534078484479943,0.4811235938338598,0.7445195907218409,0.19077051660648411,0.13734816720744428,91.960162767657,7.59055388714365,175233.2408205044,0.00691412000469742,0.17387256937797993,1231,-0.22364989877920383,0.524729773992794,0.17387256937797993,0.36227800231532303,0.6111975116640747,643
full,True,True,False,True,factorial_1101,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.0750206218668334,0.06210533168579735,0.30135390836278586,0.516348964756767,0.8005457923387452,0.20608769278356812,0.13418197628572975,89.1678790015428,7.360073864523022,172793.14963363425,0.008152458247708539,0.17139165990215052,1230,-0.22021074493530712,0.5293154274484114,0.17139165990215052,0.3502731067058617,0.6111975116640747,643
full,True,True,True,False,factorial_1110,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9072812515257165,0.05474123918206919,0.3134421417226779,0.45438199523483364,0.6993438052579195,0.1746454349795192,0.13846941435533672,67.5970231544487,5.579577410717679,126815.68280703532,0.007419930409687576,0.17606310493581637,1231,-0.24256638589677426,0.5224369472649852,0.17606310493581637,0.3547426649776864,0.6111975116640747,643
full,True,True,True,True,factorial_1111,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9858935742096995,0.05826348416578475,0.30357404910821195,0.4860559214723812,0.7524946820216708,0.19192511460364045,0.13544049391578605,74.83282337117397,6.176833111541383,142008.05094094272,0.0063956480401354985,0.17392598471149517,1231,-0.21715390401415113,0.5240746806419915,0.17392598471149517,0.36510905576681746,0.6111975116640747,643
era_2014_2017,False,False,False,False,factorial_0000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,977,0.31384741055585974,0.07294283428244652,0.3253440016319942,0.5263013381430184,0.7833242922421144,0.22420217959006428,0.1574332880869722,29.65650195388923,7.64937409660193,46058.47584397989,0.0134840543351483,0.2924077487816014,624,0.1737046774398645,0.5373592630501536,0.2924077487816014,0.3261793389865008,1.0,205
era_2014_2017,False,False,False,True,factorial_0001,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,977,0.3508797787365543,0.08066300725513398,0.3120861443232289,0.581638313898337,0.8712182961554491,0.25846391684595577,0.15379955523834446,29.731206032090686,7.668642702238334,47156.0951104211,0.008808673954829002,0.29228274040874397,624,0.21040858157949072,0.5394063459570113,0.29228274040874397,0.32827733003049214,1.0,205
