window_start,trade_date,v2_three_year_return,core_three_year_return,active_excess
2014-01-20,2017-02-28,0.2847264345863978,0.38800965605115256,-0.10328322146475477
2014-02-27,2017-03-31,0.26127675995203425,0.3627533598919155,-0.10147659993988123
2014-03-25,2017-04-28,0.2560443899565219,0.3561979323239777,-0.10015354236745577
2014-04-23,2017-05-31,0.25421571659575615,0.35464503087641264,-0.10042931428065649
2014-05-27,2017-06-30,0.27831758653712924,0.38264259277632595,-0.10432500623919672
2014-06-26,2017-07-31,0.28548427893660544,0.3909804806184545,-0.10549620168184903
2014-07-29,2017-08-31,0.25905096880608713,0.36618300133244697,-0.10713203252635983
2014-08-27,2017-09-29,0.2640395681224561,0.36878217208792186,-0.10474260396546575
2014-09-22,2017-10-31,0.2903545981186917,0.3862038189788368,-0.09584922086014513
2014-10-29,2017-11-30,0.259186664351994,0.3548276281403009,-0.09564096378830689
2014-11-27,2017-12-29,0.2075839767341725,0.29506943285219944,-0.08748545611802694
2014-12-29,2018-01-31,0.09360845267795259,0.21031318891507111,-0.11670473623711852
2015-01-21,2018-02-28,0.02349996818059963,0.14297648686269326,-0.11947651868209364
2015-02-27,2018-03-30,0.009288288485942875,0.13703602880862875,-0.12774774032268588
2015-03-25,2018-04-27,-0.04455066038588096,0.0897777865666618,-0.13432844695254276
2015-04-27,2018-05-31,-0.14323761077294006,0.004869871459935116,-0.14810748223287518
2015-05-26,2018-06-29,-0.20111755748820082,-0.055445243993366256,-0.14567231349483456
2015-06-26,2018-07-31,-0.08763290633612131,0.02550331464938127,-0.11313622098550258
2015-07-29,2018-08-31,-0.035252777959409176,0.0376231598065051,-0.07287593776591428
2015-08-25,2018-09-28,0.11149832621923972,0.15480778702808817,-0.043309460808848455
2015-09-22,2018-10-31,0.057524791469232506,0.0793326500253555,-0.021807858556122994
2015-10-29,2018-11-30,0.021143706629446424,0.049285662240198036,-0.028141955610751612
2015-11-26,2018-12-28,0.0037444890318243385,0.03200120881484825,-0.02825671978302391
2015-12-28,2019-01-31,0.016998414049217425,0.05597359479501751,-0.038975180745800087
2016-01-19,2019-02-28,0.13077471194277313,0.1743223053979055,-0.04354759345513237
2016-02-24,2019-03-29,0.13191522488436513,0.1771341466163976,-0.04521892173203246
2016-03-24,2019-04-30,0.11138813861716668,0.16837323569313112,-0.05698509707596444
2016-04-22,2019-05-31,0.07746470601374744,0.14718397194621913,-0.06971926593247169
2016-05-20,2019-06-28,0.12990117456017236,0.20287171029302042,-0.07297053573284806
2016-06-24,2019-07-31,0.12191918034529303,0.19497729837146283,-0.0730581180261698
2016-07-26,2019-08-30,0.10787084274124359,0.1761480994100555,-0.0682772566688119
2016-08-23,2019-09-30,0.08747848440099437,0.15361310900350467,-0.0661346246025103
2016-09-20,2019-10-31,0.10577150255892898,0.17355312835058312,-0.06778162579165414
2016-10-26,2019-11-29,0.08485417449733612,0.1497798980326317,-0.06492572353529558
2016-11-25,2019-12-31,0.12032127725134645,0.1855772388754513,-0.06525596162410485
2016-12-19,2020-01-23,0.16813652934705647,0.22521254717702988,-0.0570760178299734
2017-01-17,2020-02-28,0.18559509771267768,0.22504908717847405,-0.03945398946579637
2017-02-23,2020-03-31,0.10167059287899627,0.16720804716402693,-0.06553745428503066
2017-03-24,2020-04-30,0.1607370078962167,0.21420398204469127,-0.053466974148474566
2017-04-21,2020-05-29,0.1655887350457621,0.21059304313082006,-0.045004308085057954
2017-05-22,2020-06-30,0.25480039712847335,0.26378269816143995,-0.0089823010329666
2017-06-26,2020-07-31,0.34048492361962013,0.30711824625487183,0.0333666773647483
