period,minimum_adv20,trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
full,10000000.0,adv_10000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,3053,1.061832328227748,0.06154650512473325,0.3059664401125499,0.518561825258231,0.8072798704571436,0.20115443086533719,0.1320413455180792,69.76843267596638,5.758809379084025,134491.19434069487,0.009182927926213768,0.15726741749403644,1224,-0.21106470951034162,0.5263675073698002,0.15726741749403644,0.3590413213601613,0.6080870917573873,643
full,20000000.0,adv_20000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,3053,0.9858935742096995,0.05826348416578475,0.30357404910821195,0.4860559214723812,0.7524946820216708,0.19192511460364045,0.13544049391578605,74.83282337117397,6.176833111541383,142008.05094094272,0.0063956480401354985,0.17392598471149517,1231,-0.21715390401415113,0.5240746806419915,0.17392598471149517,0.36510905576681746,0.6111975116640747,643
full,50000000.0,adv_50000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,3053,1.1456140391522407,0.06504229173574383,0.2969108824381004,0.5309679570904915,0.8235538904277541,0.21906334722946294,0.13621091088673506,79.38613818406994,6.552671740054249,159521.27696344146,0.00757919680725954,0.18700830939616012,1227,-0.2013528620437096,0.5266950540452014,0.18700830939616012,0.35576212016526515,0.6283048211508554,643
era_2014_2017,10000000.0,adv_10000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,977,0.316090602430539,0.07341503769540703,0.3059664401125499,0.5716752817895312,0.8447447800067595,0.23994473926095053,0.1415345813700207,14.976403688187162,3.8629004395324102,23285.99074370442,0.010929730601349358,0.09061614055108144,624,0.18137320794676093,0.5353121801432958,0.09061614055108144,0.307222373212298,0.36585365853658536,205
era_2014_2017,20000000.0,adv_20000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,977,0.34529030515915116,0.07950791068384988,0.30357404910821195,0.5994837469000256,0.8866361171255507,0.26190615079719315,0.14532330713815678,14.000531548765812,3.6111913513705063,22114.529957777675,0.009022952278853774,0.10366219312588852,624,0.20758397673417273,0.5373592630501536,0.10366219312588852,0.3192719695246282,0.36585365853658536,205
era_2014_2017,50000000.0,adv_50000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,977,0.37515980925293824,0.0856398387602284,0.2969108824381004,0.6359766134281233,0.9422579617821142,0.28843617336283556,0.1460688845213206,15.790108200635062,4.0727812349642125,25459.704925290884,0.008661137741210537,0.11883421478354367,624,0.23439598481772617,0.5363357215967247,0.11883421478354367,0.3363695366326424,0.4097560975609756,205
era_2018_2021,10000000.0,adv_10000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,973,0.3184914411715818,0.07423466001856749,0.14768093125202386,0.6355514105843628,1.0101582873073183,0.5026692301383369,0.1249913457035114,20.383365511747765,5.27914502462532,30152.251489786526,0.007513927500188994,0.18316294440899175,379,0.21744253924902202,0.527235354573484,0.18316294440899175,0.33779903049492044,0.6601941747572816,206
era_2018_2021,20000000.0,adv_20000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,973,0.26577282640171784,0.0629416081121521,0.1486265035289227,0.541915117063998,0.8489686692127498,0.4234884533894971,0.12773099896491916,21.663112258587944,5.610590225245798,31037.058468544084,0.007441038245298387,0.18871473344315357,471,0.1725465179822805,0.5292908530318602,0.18871473344315357,0.3547539149775257,0.6456310679611651,206
era_2018_2021,50000000.0,adv_50000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,973,0.3417184136093592,0.07910419039437566,0.141292147741514,0.6736178781194867,1.0603719101276858,0.5598626084946512,0.12457129167528828,18.2002486615808,4.713733466308697,26836.921497086,0.006016877516908808,0.18109691038796719,391,0.21162914442102765,0.5323741007194245,0.18109691038796719,0.3542123890115762,0.6116504854368932,206
era_2022_2026,10000000.0,adv_10000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,1103,0.1374350411799925,0.02985819430495562,0.18630209082208038,0.28323315755195305,0.45629490253239735,0.1602676286304826,0.1370358536094095,38.85157449646572,8.876334336454542,47675.83428274393,0.007697458663290075,0.22539202851312895,686,-0.05972920159587736,0.5185856754306437,0.22539202851312895,0.3658441064514248,0.7758620689655172,232
era_2022_2026,20000000.0,adv_20000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,1103,0.14258631719285408,0.03092192891748291,0.1681746252540477,0.2903573573614838,0.46776511470693466,0.1838679816932648,0.13741044256066887,40.74993773426226,9.310049237564904,50140.53880617191,0.006059854471280081,0.23916728134083184,686,-0.06561538436278291,0.5122393472348141,0.23916728134083184,0.3602209396370157,0.7974137931034483,232
era_2022_2026,50000000.0,adv_50000000,63/126/252,3,0.3,2,0.1,2,0.9,1000000.0,1103,0.15341090557637327,0.0331451974828989,0.173939601388308,0.3058670599318807,0.4933257004748074,0.1905557861369624,0.13754478391700936,43.314414346569755,9.895949605925274,54185.07992159593,0.007798419846272097,0.2523845123840335,351,-0.03337307149522595,0.514959202175884,0.2523845123840335,0.3590166668127201,0.8362068965517241,232
