capital,implementation,model,maximum_trade_adv_participation,trade_count_above_0_5pct_adv,trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
200000,target-cap-only,v2,,,target_cap_200000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,200000.0,3053,0.9957219956258574,0.05869481584830982,0.3014977234495051,0.4855658167314856,0.7526974511779474,0.1946774760909266,0.13679959686183024,78.4458179405245,6.475056050118629,30042.17937795269,0.01682530906858254,0.18043340447839665,1231,-0.21672434940375773,0.526039960694399,0.18043340447839665,0.3604287876112516,0.6111975116640747,643
200000,strict,v2,0.00497994831988038,0.0,strict_v2_200000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,200000.0,3053,0.9970130266300916,0.05875132936168481,0.30244626817011544,0.48462676578287145,0.7505844112096424,0.19425377511564879,0.1373252423038305,78.84264467795803,6.507810828314911,30290.840188563245,0.01650745069897943,0.18128403424785605,1231,-0.21726277896734802,0.5257124140189977,0.18128403424785605,0.36005432764314743,0.6111975116640747,643
200000,strict,core,,,strict_core_200000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,200000.0,3053,1.4116089273494006,0.0753659569319789,0.1922145914059078,0.8146067360345707,1.2978424926140368,0.3920927978502182,0.09472486118096855,2.4092159940217344,0.19886093366966165,1110.5231720048052,0.01429719898480346,0.0,878,-0.07482961001910537,0.5299705207992139,0.0,0.0,0.0,643
1000000,target-cap-only,v2,,,target_cap_1000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9858935742096995,0.05826348416578475,0.30357404910821195,0.4860559214723812,0.7524946820216708,0.19192511460364045,0.13544049391578605,74.83282337117397,6.176833111541383,142008.05094094272,0.0063956480401354985,0.17392598471149517,1231,-0.21715390401415113,0.5240746806419915,0.17392598471149517,0.36510905576681746,0.6111975116640747,643
1000000,strict,v2,0.004999924556739842,0.0,strict_v2_1000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9759072337934973,0.05782321138494373,0.31157380424305225,0.4831156842005111,0.7459546344430528,0.18558431613152254,0.13539605152120351,74.5058593322184,6.149844923589597,139816.32663503863,0.008139030735442568,0.17328877514873184,1231,-0.22500253684649052,0.5244022273173927,0.17328877514873184,0.3580414893653166,0.6111975116640747,643
1000000,strict,core,,,strict_core_1000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.4181295070671758,0.07560565872110558,0.19092637177297622,0.8201834763125513,1.3060974817914088,0.3959937960325648,0.09430402662852276,2.5060437358629697,0.20685326611119173,5322.254586363559,0.006968062164738506,0.0,878,-0.07519189287339922,0.5306256141500164,0.0,0.0,0.0,643
5000000,target-cap-only,v2,,,target_cap_5000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,5000000.0,3053,1.0549487897849956,0.06125352565478481,0.28596889634347455,0.5313117400518056,0.8240777896813692,0.21419646135646087,0.12716001691363563,58.75272210313487,4.849553216505073,556111.1599164633,0.009042914766480252,0.13305249395108631,1225,-0.18474417369414253,0.5293154274484114,0.13305249395108631,0.35912547033501446,0.6111975116640747,643
5000000,strict,v2,0.00499996182435175,0.0,strict_v2_5000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,5000000.0,3053,1.0232757561415076,0.059893735922689206,0.29260278311949617,0.5216507990905981,0.8085823682278844,0.2046929809899627,0.12702342739336145,58.19877375295027,4.803829343512436,537870.8250076128,0.014060824056532252,0.13423450279154264,1228,-0.19927383819998323,0.5273501473960039,0.13423450279154264,0.359064958075035,0.6111975116640747,643
5000000,strict,core,,,strict_core_5000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,5000000.0,3053,1.3790746050812062,0.07416101103467176,0.19518088462392424,0.8058805235619978,1.2824146612949794,0.3799604207018821,0.09431017980092347,2.373950566172235,0.19595006311018776,24739.295750214107,0.012729852736587282,0.0,878,-0.07708600542483457,0.5306256141500164,0.0,0.0,0.0,643
10000000,target-cap-only,v2,,,target_cap_10000000,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,10000000.0,3053,1.02593809158201,0.06000878463175363,0.26557381159158844,0.5455536318102188,0.8480906305928085,0.22595896889124703,0.12007500406482806,47.2550416197626,3.900514408182173,899944.530445796,0.010943732065488761,0.1063042443183425,1142,-0.18086763382519555,0.5263675073698002,0.1063042443183425,0.33683413802462314,0.6111975116640747,643
