case,excluded_count,excluded_symbols,annualized_excess_over_core,trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
frozen_v2,0,,-0.018236199635528916,frozen_v2,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.985893574209699,0.05826348416578475,0.3035740491082122,0.4860559214723802,0.7524946820216688,0.1919251146036403,0.13544049391578591,74.83282337117397,6.176833111541383,142008.05094094272,0.0063956480401354985,0.17392598471149517,1231,-0.2171539040141517,0.5240746806419915,0.17392598471149517,0.36510905576681746,0.6111975116640747,643
exclude_top_1,1,SZ159949,-0.017931070113406333,exclude_top_1,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9928417162445009,0.058568613687907334,0.30357404910821195,0.49022531400772007,0.7594805520451829,0.19293023847051557,0.1346611695736114,72.359519529911,5.972682254024753,137223.08455909145,0.006455656842070451,0.17274152014257574,1231,-0.21715390401415113,0.5237471339665902,0.17274152014257574,0.36646782231494407,0.6080870917573873,643
exclude_top_3,3,SZ159949;SZ159583;SZ159869,-0.01719415017333903,exclude_top_3,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.009714288047535,0.05930553362797464,0.30357404910821195,0.4943618762358123,0.7652573472958665,0.19535771849468792,0.13504895674933082,71.39568871069164,5.893125959742645,135386.43387637596,0.006567913228323422,0.1726195348751274,1231,-0.21715390401415113,0.5237471339665902,0.1726195348751274,0.3562701194175152,0.6080870917573873,643
exclude_top_5,5,SZ159949;SZ159583;SZ159869;SH588170;SH510060,-0.015317012416550924,exclude_top_5,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.053287241327494,0.061182671384762743,0.3010745116697472,0.5079709939346155,0.7874221756985201,0.20321438385948415,0.13486951625669505,74.10824739273124,6.117025333432124,142673.36135525256,0.0068555936881850325,0.17293536159783718,1231,-0.2112900277901727,0.5250573206681952,0.17293536159783718,0.364908808332005,0.609642301710731,643
