lag_sessions,trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
1,lag_1,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,0.9858935742096995,0.05826348416578475,0.30357404910821195,0.4860559214723812,0.7524946820216708,0.19192511460364045,0.13544049391578605,74.83282337117397,6.176833111541383,142008.05094094272,0.0063956480401354985,0.17392598471149517,1231,-0.21715390401415113,0.5240746806419915,0.17392598471149517,0.36510905576681746,0.6111975116640747,643
2,lag_2,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.4082658255627103,0.07524283113108932,0.2902620635555392,0.6028437285252631,0.9345313782290594,0.25922378628956533,0.13566239072359423,76.72782301880204,6.333249721827093,158119.28340061335,0.008034590672450654,0.17372608128396022,1227,-0.1904825785195523,0.5283327874222077,0.17372608128396022,0.3645203428866882,0.6111975116640747,643
3,lag_3,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.4655995767654244,0.07733303634581534,0.28454120481002554,0.6205993269948471,0.9657109484968541,0.27178150313044075,0.13469518823319426,77.5430153756876,6.400537135497306,159242.34049627982,0.007910738481274437,0.17330550433134612,1142,-0.1829342757603819,0.5283327874222077,0.17330550433134612,0.35940377150976677,0.610248447204969,644
5,lag_5,63/126/252,3,0.3,2,0.1,2,0.9,20000000.0,1000000.0,3053,1.084198086914999,0.06249228815205954,0.2981577366179533,0.5222875851441212,0.8041903253945698,0.20959472278304322,0.13308331919243827,75.9596567011928,6.269843920308086,145609.63973139098,0.006644727079942081,0.1716468080995932,1230,-0.19675724314636345,0.526039960694399,0.1716468080995932,0.3497358100164898,0.610248447204969,644
