year,v2_trading_days,v2_total_return,v2_annualized_return,v2_maximum_drawdown,v2_sharpe,v2_sortino,v2_calmar,v2_annualized_volatility,v2_turnover,v2_annualized_turnover,v2_transaction_cost,v2_average_cash_ratio,v2_average_risk_weight,v2_longest_underwater_trading_days,v2_worst_rolling_three_year_return,v2_positive_day_ratio,core_trading_days,core_total_return,core_annualized_return,core_maximum_drawdown,core_sharpe,core_sortino,core_calmar,core_annualized_volatility,core_turnover,core_annualized_turnover,core_transaction_cost,core_average_cash_ratio,core_average_risk_weight,core_longest_underwater_trading_days,core_worst_rolling_three_year_return,core_positive_day_ratio,annualized_excess
2014,245,0.30374821698311183,0.3136660517225782,0.03477219270974885,2.5833988130833454,5.389182657143302,9.020600292331801,0.10789450956241242,2.1838328017457567,2.2462280246527784,2958.249446149747,0.012564060443265357,0.026218500943402116,69,,0.5306122448979592,245,0.23969768774509026,0.2473316910350909,0.03412677336326675,2.4999292494213883,5.247882532084242,7.2474384965240475,0.09005341153851402,1.1492268164812385,1.1820618683807025,1552.6310366682758,0.013000336383717748,0.0,69,,0.5142857142857142,0.06633436068748733
2015,244,-0.06502007790504016,-0.06707875597470869,0.2940245262988149,-0.15339654179914156,-0.22614820629978397,-0.22814000185323674,0.24933807258571775,6.452531072710165,6.664089468536727,11019.763316470817,0.006570545392587576,0.19841441197061666,136,,0.5245901639344263,244,0.05668667766565805,0.05859869527599293,0.19056978610924769,0.41205162349974406,0.6252301871121579,0.30749205565251636,0.175689153215532,0.35948422724775486,0.3712705953542386,615.7966015792039,0.006659639918744032,0.0,140,,0.5286885245901639,-0.12567745125070162
2016,244,0.0008619654031434276,0.000890239139825999,0.06668372300500403,0.052653610066473885,0.077329004083507,0.013350171521754932,0.08426005398612442,1.9946395948253257,2.060037614327795,3156.467745441082,0.007683437783303875,0.018228159353360352,66,,0.5409836065573771,244,0.009575722099234074,0.009891227903024769,0.06686366509615649,0.15720120552519795,0.23251529040004915,0.1479312850828655,0.08625022209034558,0.2137627990230007,0.22077141538441056,365.6198694211979,0.009156742734990024,0.0,65,,0.5491803278688525,-0.00900098876319877
2017,244,0.10267064874148435,0.1062097464650893,0.04009653059518137,1.7063991190657954,2.894857030096726,2.6488512818576164,0.06022447261794497,2.9736310896670592,3.0711271909676188,4980.04944971603,0.009259252757879548,0.17210509241725067,47,,0.5532786885245902,244,0.09091472081282692,0.09403154589928042,0.03651111330072254,1.8171264135027796,3.2125469415352685,2.5754225877691757,0.05015506771556971,0.05674581732633751,0.058606335927201034,102.59589605209162,0.017837531511557914,0.0,45,,0.5532786885245902,0.012178200565808872
2018,243,-0.09272695199903636,-0.09599100713558706,0.14432251546460118,-1.0380303195428544,-1.5972527193581878,-0.6651145652954707,0.09303953503527698,3.1181362276402376,3.233622754589876,5213.042110694541,0.005747074235236302,0.06363981776503387,226,,0.48148148148148145,243,-0.06523090425552713,-0.06756337965323544,0.1116731736725336,-0.767107649015464,-1.245570099947973,-0.6050099359704406,0.0863385731358093,0.2347288527487014,0.24342251396161627,428.8326713270542,0.00998763274435037,0.0,226,,0.48148148148148145,-0.028427627482351614
2019,244,0.16384475726818026,0.16964898468870326,0.08152918285023181,1.6324837117524909,2.637682759390093,2.0808375450094543,0.09901858121004069,4.740939552235726,4.896380193292635,8236.579487284127,0.005304309353862393,0.08720922118108955,96,,0.5491803278688525,244,0.20268559412881593,0.20998516860631988,0.04603531211926404,2.4818078816669233,4.709107236053747,4.561393394321074,0.07805071291809544,0.1510484628431482,0.15600087146095634,297.97408789986616,0.016083944354852782,0.0,73,,0.569672131147541,-0.04033618391761662
2020,243,0.27007240860813586,0.28136831478250834,0.11595842279078217,1.6745526111780407,2.6308404791310585,2.4264586220715225,0.15533428391172946,4.929191727066106,5.11175438362411,10091.226590752289,0.007543460134678534,0.2971959529427647,91,,0.5679012345679012,243,0.148590282180872,0.15449877376955445,0.08129853335718595,1.4461114153551438,2.3958240477609727,1.9003882036932016,0.10303161441308145,0.08533883330639523,0.08849953083626172,191.29147513370373,0.0021871549698247606,0.0,98,,0.5637860082304527,0.1268695410129539
2021,243,-0.046595095591421165,-0.04827850689555846,0.14755228773849638,-0.2629299049860342,-0.4171499112360227,-0.32719592244561724,0.1471074760976686,6.451932217882791,6.690892670396969,14875.946905631046,0.0027600319089398466,0.2876446006527218,215,,0.5102880658436214,243,-0.006527822061728306,-0.00676877318266389,0.06985020924258678,-0.04793164721310184,-0.07640396593405446,-0.09690412177802117,0.07816388658828667,0.0862638507409558,0.08945880817580601,207.51787333315434,0.00973090618513626,0.0,215,,0.5267489711934157,-0.04150973371289457
2022,242,-0.14026971914901887,-0.14562227195703126,0.15718839777577231,-1.4723049183815884,-2.2282312810156557,-0.9264187053090266,0.1032450159300042,10.597931185217398,11.03586222592886,21298.989011285077,0.0056351465276114595,0.1748155004076886,241,,0.45867768595041325,242,-0.053458763698738476,-0.05560523854235566,0.09469412587288206,-0.6901376348607754,-1.1220309273050886,-0.5872089533515569,0.07844375254015316,0.14726014149857025,0.15334527131256076,340.05051917211426,0.0030554179020976964,0.0,241,,0.4297520661157025,-0.0900170334146756
2023,242,0.003945680717935662,0.004109059907042134,0.1346410715526758,0.09143933359708775,0.1519336643218669,0.030518621544352025,0.10570838126596417,7.012055098739829,7.301809441662962,14144.676852812961,0.002484694125466018,0.2222396299269966,130,,0.5,242,0.00800765632245004,0.008339927287308813,0.06059915414042405,0.1784521134999163,0.3139772828648358,0.1376244834702317,0.054969893651098924,0.06144990970707186,0.06398916217430624,147.70677980474863,0.0007338603389300242,0.0,99,,0.4834710743801653,-0.0042308673802666785
