dimension,value,trial_count,positive_annualized_ratio,median_annualized_return,q25_annualized_return,q75_annualized_return,median_maximum_drawdown,median_sharpe,q25_sharpe,q75_sharpe,median_annualized_turnover,median_active_exposure
lookbacks,42/84/168,729,1.0,0.06739354083938442,0.06399491897201415,0.06991264128429364,0.2657959997543917,0.5874002697450543,0.539249031778247,0.6291079538244816,5.508860390746928,0.1313336708406225
lookbacks,63/126/252,729,1.0,0.06261875966269748,0.05806076079008893,0.06626068024191878,0.29279791218164675,0.5316833266250623,0.47820030958316967,0.5843476749461222,5.600858889051914,0.15326719571864034
lookbacks,84/168/252,729,1.0,0.06690792395350154,0.06164816057599065,0.07190009125965013,0.306832532875548,0.5582488709829488,0.49835324094788697,0.6105758962993824,5.666262941722564,0.17257939563241217
top_k,2,729,1.0,0.0654429468445803,0.060833842079657474,0.06968909329660278,0.2907189889951315,0.5654977658533742,0.5136123750274442,0.6026631863110091,5.2834649627475905,0.13731906430762197
top_k,3,729,1.0,0.06659740785499024,0.06131039293630414,0.06999075579213598,0.2898602506477247,0.5642431519040509,0.49906978883121084,0.6149421050965634,5.993578733642184,0.15824226508172715
top_k,4,729,1.0,0.06479985328591376,0.06022769216528223,0.0688722486267952,0.2863991094006726,0.5503525060551059,0.48666501006090795,0.6075506494762727,6.12080672043406,0.15828334566615568
active_sleeve,0.2,729,1.0,0.06789520729314713,0.06498043084229455,0.07046056422874902,0.26586822192797444,0.6154581699290893,0.5855549012349922,0.6453539359464432,4.277524961384242,0.11871318280437584
active_sleeve,0.3,729,1.0,0.06466198593976857,0.05982653474312083,0.06912089124483001,0.29797628686009403,0.537296780277828,0.4983663765034371,0.5844452354851197,6.167992839033403,0.16817014272429956
active_sleeve,0.4,729,1.0,0.06324991983584205,0.05763423363853559,0.06756023937877886,0.31721281840142024,0.5001206288774904,0.4570199795543819,0.5570015844665123,7.311909617158466,0.1890891313943316
minimum_excess_horizons,1,729,1.0,0.06348911978829608,0.05804662650072645,0.06708156181088665,0.3073432105139875,0.5338387358461616,0.4762131915271011,0.5884103921279731,5.734713023710918,0.15920127390898034
minimum_excess_horizons,2,729,1.0,0.06483175130317576,0.060074539888454126,0.06827407513137063,0.29797628686009403,0.5435527555472423,0.48872239730531347,0.5926518663890198,5.551171264914639,0.15200627876243406
minimum_excess_horizons,3,729,1.0,0.06897685514561203,0.06501700368705299,0.0724102368371613,0.26794310073428285,0.5931592048473183,0.5481601895548274,0.6315140943169448,5.563683510330422,0.13592282001825431
minimum_dispersion_iqr,0.05,729,1.0,0.06627122466517554,0.06134887358985286,0.07121049963939585,0.3011931480743637,0.5447808452759282,0.48779511151902377,0.6018815969131033,6.4101074948183,0.21283335632198166
minimum_dispersion_iqr,0.1,729,1.0,0.0663744621889022,0.06164816057599065,0.06992317949141569,0.2935353445640403,0.5582488709829488,0.5069242354317852,0.611372535025008,6.306457579196853,0.15326719571864034
minimum_dispersion_iqr,0.15,729,1.0,0.06421824103943785,0.059461979141772536,0.0679630134097815,0.26982850987782825,0.5725438511397924,0.505707980696027,0.61753394675853,4.641409308861106,0.0936637340744791
rank_buffer,1,729,1.0,0.06499611513710435,0.059650344890152196,0.06842650897894553,0.2898602506477247,0.553011123711635,0.49000524889439034,0.5984019006881452,6.163456016630797,0.1489954318359248
rank_buffer,2,729,1.0,0.06569050644843166,0.06168079580309138,0.06964542602129575,0.29008084235245024,0.5647322053304613,0.5038694117369134,0.6098535978627403,5.625952215188679,0.1489284282135667
rank_buffer,3,729,1.0,0.06611525050277178,0.061069420725915036,0.07032990923346305,0.288253566212035,0.5664427129908994,0.5076790412729573,0.6135354662257394,5.256136575644339,0.1484389737856492
maximum_pair_correlation,0.85,729,1.0,0.06716025815001747,0.06331030654801939,0.0706250841688636,0.28760300444133435,0.5840795250985911,0.5248825636656934,0.6227804156244247,5.79025535831812,0.14756488298914025
maximum_pair_correlation,0.9,729,1.0,0.0658415398983423,0.06165372318081408,0.06974990218272215,0.28964552952699285,0.5669644801752641,0.5017205657015301,0.609363226743711,5.6085301847596245,0.14899888301912048
maximum_pair_correlation,0.95,729,1.0,0.06325974786337873,0.056979577970750483,0.0678900382885923,0.2903758686705392,0.5409159841232609,0.4736168433799145,0.5840890669916642,5.456791161097437,0.1489631347904275
