trade_date,symbol,shares,adjusted_close,market_value,active_fraction,active_market_value
2014-01-06,SH510300,168900,2.317884192730346,391490.6401521555,0.0,0.0
2014-01-06,SH511010,4100,95.9302977477073,393314.2207655999,0.0,0.0
2014-01-06,SH518880,82000,2.435,199670.0,0.0,0.0
2014-01-07,SH510300,168900,2.3188981403212168,391661.8959002535,0.0,0.0
2014-01-07,SH511010,4100,96.10077275494218,394013.16829526296,0.0,0.0
2014-01-07,SH518880,82000,2.442,200244.0,0.0,0.0
2014-01-08,SH510300,168900,2.3168702451394756,391319.3844040574,0.0,0.0
2014-01-08,SH511010,4100,96.36450761907615,395094.4812382122,0.0,0.0
2014-01-08,SH518880,82000,2.411,197702.0,0.0,0.0
2014-01-09,SH510300,168900,2.302674978867286,388921.80393068463,0.0,0.0
2014-01-09,SH511010,4100,96.26924217385665,394703.8929128123,0.0,0.0
2014-01-09,SH518880,82000,2.412,197784.0,0.0,0.0
2014-01-10,SH510300,168900,2.2864518174133557,386181.71196111577,0.0,0.0
2014-01-10,SH511010,4100,96.33542658843018,394975.2490125637,0.0,0.0
2014-01-10,SH518880,82000,2.428,199096.0,0.0,0.0
2014-01-13,SH510300,168900,2.270228655959425,383441.61999154685,0.0,0.0
2014-01-13,SH511010,4100,96.44874232853338,395439.8435469869,0.0,0.0
2014-01-13,SH518880,82000,2.448,200736.0,0.0,0.0
2014-01-14,SH510300,168900,2.285437869822485,386010.45621301775,0.0,0.0
2014-01-14,SH511010,4100,96.36751600155677,395106.81560638273,0.0,0.0
2014-01-14,SH518880,82000,2.455,201310.0,0.0,0.0
2014-01-15,SH510300,168900,2.285437869822485,386010.45621301775,0.0,0.0
2014-01-15,SH511010,4100,96.44272556357215,395415.1748106458,0.0,0.0
2014-01-15,SH518880,82000,2.434,199588.0,0.0,0.0
2014-01-16,SH510300,168900,2.2864518174133557,386181.71196111577,0.0,0.0
2014-01-16,SH511010,4100,96.44071997525174,395406.9518985321,0.0,0.0
2014-01-16,SH518880,82000,2.437,199834.0,0.0,0.0
2014-01-17,SH510300,168900,2.254005494505494,380701.528021978,0.0,0.0
2014-01-17,SH511010,4100,96.29832320450261,394823.1251384607,0.0,0.0
2014-01-17,SH518880,82000,2.435,199670.0,0.0,0.0
2014-01-20,SH510300,168900,2.242852071005917,378817.71479289944,0.0,0.0
2014-01-20,SH511010,4100,96.24718070233213,394613.44087956176,0.0,0.0
2014-01-20,SH518880,82000,2.459,201638.0,0.0,0.0
2014-01-21,SH510300,168900,2.2611031276415887,381900.31825866434,0.0,0.0
2014-01-21,SH511010,4100,96.59715586424375,396048.3390433994,0.0,0.0
2014-01-21,SH518880,82000,2.451,200982.0,0.0,0.0
2014-01-22,SH510300,168900,2.323278282388837,392401.7018954746,0.0,0.0
2014-01-22,SH511010,4100,96.88997175902365,397248.884211997,0.0,0.0
2014-01-22,SH518880,82000,2.432,199424.0,0.0,0.0
2014-01-23,SH510300,168900,2.3108432514393873,390301.4251681125,0.0,0.0
2014-01-23,SH511010,4100,96.96417852687884,397553.13196020323,0.0,0.0
2014-01-23,SH518880,82000,2.426,198932.0,0.0,0.0
2014-01-24,SH510300,168900,2.323278282388837,392401.7018954746,0.0,0.0
2014-01-24,SH511010,4100,96.89598852398488,397273.55294833804,0.0,0.0
2014-01-24,SH518880,82000,2.46,201720.0,0.0,0.0
2014-01-27,SH510300,168900,2.293226957594334,387326.033137683,0.0,0.0
2014-01-27,SH511010,4100,97.31615927711086,398996.2530361545,0.0,0.0
2014-01-27,SH518880,82000,2.476,203032.0,0.0,0.0
2014-01-28,SH510300,168900,2.2952994627525753,387676.07925891,0.0,0.0
2014-01-28,SH511010,4100,97.27203633406182,398815.3489696535,0.0,0.0
2014-01-28,SH518880,82000,2.463,201966.0,0.0,0.0
2014-01-29,SH510300,168900,2.3025532308064207,388901.24068320444,0.0,0.0
2014-01-29,SH511010,4100,97.23593574429444,398667.3365516072,0.0,0.0
2014-01-29,SH518880,82000,2.455,201310.0,0.0,0.0
2014-01-30,SH510300,168900,2.270429400853676,383475.5258041859,0.0,0.0
2014-01-30,SH511010,4100,97.27103353990162,398811.23751359666,0.0,0.0
2014-01-30,SH518880,82000,2.461,201802.0,0.0,0.0
2014-02-07,SH510300,168900,2.2849369369613672,385925.84865277493,0.0,0.0
2014-02-07,SH511010,4100,97.33220398367413,399062.03633306397,0.0,0.0
2014-02-07,SH518880,82000,2.48,203360.0,0.0,0.0
2014-02-10,SH510300,168900,2.3512571020250985,397127.3245320391,0.0,0.0
2014-02-10,SH511010,4100,97.34122913111597,399099.03943757544,0.0,0.0
2014-02-10,SH518880,82000,2.501,205082.0,0.0,0.0
2014-02-11,SH510300,168900,2.3626558803954274,399052.5781987877,0.0,0.0
2014-02-11,SH511010,4100,97.39337442744664,399312.8351525312,0.0,0.0
2014-02-11,SH518880,82000,2.515,206230.0,0.0,0.0
2014-02-12,SH510300,168900,2.3668008907119105,399752.6704412417,0.0,0.0
2014-02-12,SH511010,4100,97.39437722160686,399316.9466085881,0.0,0.0
2014-02-12,SH518880,82000,2.521,206722.0,0.0,0.0
2014-02-13,SH510300,168900,2.360583375237186,398702.53207756067,0.0,0.0
2014-02-13,SH511010,4100,97.4415085471365,399510.18504325964,0.0,0.0
2014-02-13,SH518880,82000,2.517,206394.0,0.0,0.0
2014-02-14,SH510300,168900,2.3688733958701524,400102.71656246873,0.0,0.0
2014-02-14,SH511010,4100,97.58189972956522,400085.78889121744,0.0,0.0
2014-02-14,SH518880,82000,2.552,209264.0,0.0,0.0
2014-02-17,SH510300,168900,2.385453437136085,402903.0855322848,0.0,0.0
2014-02-17,SH511010,4100,97.54680193395805,399941.887929228,0.0,0.0
2014-02-17,SH518880,82000,2.596,212872.0,0.0,0.0
2014-02-18,SH510300,168900,2.357474617499823,398177.46289572015,0.0,0.0
2014-02-18,SH511010,4100,97.59192767116727,400126.9034517858,0.0,0.0
2014-02-18,SH518880,82000,2.57,210740.0,0.0,0.0
2014-02-19,SH510300,168900,2.3885621948734475,403428.15471412527,0.0,0.0
2014-02-19,SH511010,4100,97.83961782873794,401142.43309782556,0.0,0.0
2014-02-19,SH518880,82000,2.575,211150.00000000003,0.0,0.0
2014-02-20,SH510300,168900,2.3678371432910317,399927.69350185525,0.0,0.0
2014-02-20,SH511010,4100,97.7724306200042,400866.96554201725,0.0,0.0
2014-02-20,SH518880,82000,2.566,210412.0,0.0,0.0
2014-02-21,SH510300,168900,2.3408945762338904,395377.0939259041,0.0,0.0
2014-02-21,SH511010,4100,97.63304223173569,400295.47315011633,0.0,0.0
2014-02-21,SH518880,82000,2.582,211724.0,0.0,0.0
2014-02-24,SH510300,168900,2.28804569469873,386450.9178346155,0.0,0.0
2014-02-24,SH511010,4100,97.79750047400934,400969.7519434383,0.0,0.0
2014-02-24,SH518880,82000,2.599,213118.00000000003,0.0,0.0
2014-02-25,SH510300,168900,2.2289792976888436,376474.6033796457,0.0,0.0
2014-02-25,SH511010,4100,98.00608165933201,401824.93480326125,0.0,0.0
2014-02-25,SH518880,82000,2.612,214184.0,0.0,0.0
2014-02-26,SH510300,168900,2.2320880554262064,376999.67256148625,0.0,0.0
2014-02-26,SH511010,4100,98.00608165933201,401824.93480326125,0.0,0.0
2014-02-26,SH518880,82000,2.651,217381.99999999997,0.0,0.0
2014-02-27,SH510300,168900,2.2269067925306025,376124.55725841876,0.0,0.0
2014-02-27,SH511010,4100,98.24274108114042,402795.2384326757,0.0,0.0
2014-02-27,SH518880,82000,2.602,213364.0,0.0,0.0
2014-02-28,SH510300,168900,2.24970434927126,379975.0645919158,0.0,0.0
2014-02-28,SH511010,4100,98.20664049137305,402647.22601462953,0.0,0.0
2014-02-28,SH518880,82000,2.621,214922.0,0.0,0.0
2014-03-03,SH510300,168900,2.2579943699042264,381375.2490768238,0.0,0.0
2014-03-03,SH511010,4100,98.13443931183828,402351.2011785369,0.0,0.0
2014-03-03,SH518880,82000,2.651,217381.99999999997,0.0,0.0
2014-03-04,SH510300,168900,2.2528131070086226,380500.13377375633,0.0,0.0
2014-03-04,SH511010,4100,97.7724306200042,400866.96554201725,0.0,0.0
2014-03-04,SH518880,82000,2.643,216725.99999999997,0.0,0.0
2014-03-05,SH510300,168900,2.233124308005327,377174.69562209974,0.0,0.0
2014-03-05,SH511010,4100,97.72128811783374,400657.2812831183,0.0,0.0
2014-03-05,SH518880,82000,2.624,215168.0,0.0,0.0
2014-03-06,SH510300,168900,2.244523086375656,379099.9492888483,0.0,0.0
2014-03-06,SH511010,4100,97.79549488568892,400961.5290313246,0.0,0.0
2014-03-06,SH518880,82000,2.623,215086.00000000003,0.0,0.0
2014-03-07,SH510300,168900,2.23726931832181,377874.78786455374,0.0,0.0
2014-03-07,SH511010,4100,97.74234679519805,400743.621860312,0.0,0.0
2014-03-07,SH518880,82000,2.649,217218.0,0.0,0.0
2014-03-10,SH510300,168900,2.1678403955207166,366148.24280344904,0.0,0.0
2014-03-10,SH511010,4100,97.73833561855722,400727.1760360846,0.0,0.0
2014-03-10,SH518880,82000,2.61,214020.0,0.0,0.0
2014-03-11,SH510300,168900,2.177166668732804,367723.4503489706,0.0,0.0
2014-03-11,SH511010,4100,97.80752841561139,401010.86650400667,0.0,0.0
2014-03-11,SH518880,82000,2.641,216562.0,0.0,0.0
2014-03-12,SH510300,168900,2.179239173891046,368073.4964701977,0.0,0.0
2014-03-12,SH511010,4100,97.81454797473282,401039.64669640455,0.0,0.0
2014-03-12,SH518880,82000,2.668,218776.0,0.0,0.0
2014-03-13,SH510300,168900,2.213435509002032,373849.2574704432,0.0,0.0
2014-03-13,SH511010,4100,98.08329680966781,402141.51691963803,0.0,0.0
2014-03-13,SH518880,82000,2.694,220908.0,0.0,0.0
2014-03-14,SH510300,168900,2.1947829625778574,370698.8423794001,0.0,0.0
2014-03-14,SH511010,4100,98.12441137023622,402310.0866179685,0.0,0.0
2014-03-14,SH518880,82000,2.692,220744.0,0.0,0.0
2014-03-17,SH510300,168900,2.21136300384379,373499.2113492162,0.0,0.0
2014-03-17,SH511010,4100,98.22569358041694,402725.3436797095,0.0,0.0
2014-03-17,SH518880,82000,2.722,223204.0,0.0,0.0
2014-03-18,SH510300,168900,2.209290498685549,373149.16522798926,0.0,0.0
2014-03-18,SH511010,4100,98.03716827829837,401952.3899410233,0.0,0.0
2014-03-18,SH518880,82000,2.686,220252.0,0.0,0.0
2014-03-19,SH510300,168900,2.1958192151569786,370873.8654400137,0.0,0.0
2014-03-19,SH511010,4100,97.96095592212278,401639.9192807034,0.0,0.0
2014-03-19,SH518880,82000,2.68,219760.0,0.0,0.0
2014-03-20,SH510300,168900,2.1574778697295085,364398.012197314,0.0,0.0
2014-03-20,SH511010,4100,97.91081621411253,401434.34647786134,0.0,0.0
2014-03-20,SH518880,82000,2.647,217053.99999999997,0.0,0.0
2014-03-21,SH510300,168900,2.23726931832181,377874.78786455374,0.0,0.0
2014-03-21,SH511010,4100,98.12240578191582,402301.86370585486,0.0,0.0
2014-03-21,SH518880,82000,2.647,217053.99999999997,0.0,0.0
2014-03-24,SH510300,168900,2.2476318441130183,379625.0184706888,0.0,0.0
2014-03-24,SH511010,4100,98.13042813519745,402334.7553543095,0.0,0.0
2014-03-24,SH518880,82000,2.64,216480.0,0.0,0.0
2014-03-25,SH510300,168900,2.244523086375656,379099.9492888483,0.0,0.0
2014-03-25,SH511010,4100,98.07728004470658,402116.84818329697,0.0,0.0
2014-03-25,SH518880,82000,2.608,213856.0,0.0,0.0
2014-03-26,SH510300,168900,2.244523086375656,379099.9492888483,0.0,0.0
2014-03-26,SH511010,4100,98.07226607390555,402096.2909030128,0.0,0.0
2014-03-26,SH518880,82000,2.614,214348.0,0.0,0.0
2014-03-27,SH510300,168900,2.2289792976888436,376474.6033796457,0.0,0.0
2014-03-27,SH511010,4100,98.04719621990043,401993.5045015917,0.0,0.0
2014-03-27,SH518880,82000,2.58,211560.0,0.0,0.0
2014-03-28,SH510300,168900,2.2279430451097233,376299.58031903225,0.0,0.0
2014-03-28,SH511010,4100,97.88474356594718,401327.4486203834,0.0,0.0
2014-03-28,SH518880,82000,2.588,212216.0,0.0,0.0
2014-03-31,SH510300,168900,2.218616771897636,374724.3727735107,0.0,0.0
2014-03-31,SH511010,4100,97.83159547545631,401109.54144937085,0.0,0.0
2014-03-31,SH518880,82000,2.573,210986.0,0.0,0.0
2014-04-01,SH510300,168900,2.2310518028470856,376824.64950087277,0.0,0.0
2014-04-01,SH511010,4100,97.78045297328585,400899.85719047196,0.0,0.0
2014-04-01,SH518880,82000,2.555,209510.0,0.0,0.0
2014-04-02,SH510300,168900,2.248668096692139,379800.04153130227,0.0,0.0
2014-04-02,SH511010,4100,97.6942126755082,400546.2719695836,0.0,0.0
2014-04-02,SH518880,82000,2.561,210002.0,0.0,0.0
2014-04-03,SH510300,168900,2.233124308005327,377174.69562209974,0.0,0.0
2014-04-03,SH511010,4100,97.69120429302758,400533.9376014131,0.0,0.0
2014-04-03,SH518880,82000,2.573,210986.0,0.0,0.0
2014-04-04,SH510300,168900,2.260066875062468,381725.29519805085,0.0,0.0
2014-04-04,SH511010,4100,97.59393325948768,400135.1263638995,0.0,0.0
2014-04-04,SH518880,82000,2.564,210248.0,0.0,0.0
2014-04-08,SH510300,168900,2.31395200917675,390826.4943499531,0.0,0.0
2014-04-08,SH511010,4100,97.66914282150307,400443.4855681626,0.0,0.0
2014-04-08,SH518880,82000,2.606,213692.0,0.0,0.0
2014-04-09,SH510300,168900,2.3098069988602665,390126.402107499,0.0,0.0
2014-04-09,SH511010,4100,97.76139988424195,400821.739525392,0.0,0.0
2014-04-09,SH518880,82000,2.61,214020.0,0.0,0.0
2014-04-10,SH510300,168900,2.3471120917086155,396427.23228958517,0.0,0.0
2014-04-10,SH511010,4100,97.8697016535441,401265.7767795308,0.0,0.0
2014-04-10,SH518880,82000,2.618,214676.0,0.0,0.0
2014-04-11,SH510300,168900,2.3460758391294942,396252.20922897157,0.0,0.0
2014-04-11,SH511010,4100,98.12741975271683,402322.42098613904,0.0,0.0
2014-04-11,SH518880,82000,2.62,214840.0,0.0,0.0
2014-04-14,SH510300,168900,2.3450395865503735,396077.1861683581,0.0,0.0
2014-04-14,SH511010,4100,98.22469078625673,402721.2322236526,0.0,0.0
2014-04-14,SH518880,82000,2.649,217218.0,0.0,0.0
2014-04-15,SH510300,168900,2.3035894833855415,389076.263743818,0.0,0.0
2014-04-15,SH511010,4100,98.5505988883234,404057.45544212597,0.0,0.0
2014-04-15,SH518880,82000,2.61,214020.0,0.0,0.0
2014-04-16,SH510300,168900,2.3035894833855415,389076.263743818,0.0,0.0
2014-04-16,SH511010,4100,98.23973269865981,402782.9040645052,0.0,0.0
2014-04-16,SH518880,82000,2.59,212380.0,0.0,0.0
2014-04-17,SH510300,168900,2.2994444730690584,388376.171501364,0.0,0.0
2014-04-17,SH511010,4100,98.80430581085533,405097.65382450685,0.0,0.0
2014-04-17,SH518880,82000,2.586,212052.0,0.0,0.0
2014-04-18,SH510300,168900,2.2952994627525753,387676.07925891,0.0,0.0
2014-04-18,SH511010,4100,98.82737007654005,405192.2173138142,0.0,0.0
2014-04-18,SH518880,82000,2.579,211478.00000000003,0.0,0.0
2014-04-21,SH510300,168900,2.253849359587743,380675.15683436976,0.0,0.0
2014-04-21,SH511010,4100,98.95773331736672,405726.70660120354,0.0,0.0
2014-04-21,SH518880,82000,2.565,210330.0,0.0,0.0
2014-04-22,SH510300,168900,2.2693931482745553,383300.5027435724,0.0,0.0
2014-04-22,SH511010,4100,98.56062682992547,404098.57000269444,0.0,0.0
2014-04-22,SH518880,82000,2.577,211314.0,0.0,0.0
2014-04-23,SH510300,168900,2.2631756327998307,382250.3643798914,0.0,0.0
2014-04-23,SH511010,4100,98.62580845033881,404365.8146463891,0.0,0.0
2014-04-23,SH518880,82000,2.575,211150.00000000003,0.0,0.0
2014-04-24,SH510300,168900,2.2673206431163138,382950.4566223454,0.0,0.0
2014-04-24,SH511010,4100,98.29288078915069,403000.8112355178,0.0,0.0
2014-04-24,SH518880,82000,2.573,210986.0,0.0,0.0
2014-04-25,SH510300,168900,2.239341823480052,378224.83398578083,0.0,0.0
2014-04-25,SH511010,4100,98.58369109561018,404193.13349200174,0.0,0.0
2014-04-25,SH518880,82000,2.59,212380.0,0.0,0.0
2014-04-28,SH510300,168900,2.208254246106428,372974.14216737566,0.0,0.0
2014-04-28,SH511010,4100,98.44229711902126,403613.4181879872,0.0,0.0
2014-04-28,SH518880,82000,2.631,215741.99999999997,0.0,0.0
2014-04-29,SH510300,168900,2.2279430451097233,376299.58031903225,0.0,0.0
2014-04-29,SH511010,4100,98.55962403576525,404094.45854663756,0.0,0.0
2014-04-29,SH518880,82000,2.603,213446.00000000003,0.0,0.0
2014-04-30,SH510300,168900,2.2269067925306025,376124.55725841876,0.0,0.0
2014-04-30,SH511010,4100,98.8975656677544,405480.01923779305,0.0,0.0
2014-04-30,SH518880,82000,2.612,214184.0,0.0,0.0
2014-05-05,SH510300,168900,2.2279430451097233,376299.58031903225,0.0,0.0
2014-05-05,SH511010,4100,99.0319400852219,406030.9543494098,0.0,0.0
2014-05-05,SH518880,82000,2.624,215168.0,0.0,0.0
2014-05-06,SH510300,168900,2.2248342873723606,375774.5111371917,0.0,0.0
2014-05-06,SH511010,4100,99.11918317715975,406388.651026355,0.0,0.0
2014-05-06,SH518880,82000,2.626,215332.0,0.0,0.0
2014-05-07,SH510300,168900,2.2103267512646694,373324.1882886026,0.0,0.0
2014-05-07,SH511010,4100,98.97578361225041,405800.71281022666,0.0,0.0
2014-05-07,SH518880,82000,2.625,215250.0,0.0,0.0
2014-05-08,SH510300,168900,2.2061817409481863,372624.0960461487,0.0,0.0
2014-05-08,SH511010,4100,99.1322195012424,406442.0999550939,0.0,0.0
2014-05-08,SH518880,82000,2.587,212134.00000000003,0.0,0.0
2014-05-09,SH510300,168900,2.2051454883690655,372449.0729855352,0.0,0.0
2014-05-09,SH511010,4100,99.48921422227546,407905.7783113294,0.0,0.0
2014-05-09,SH518880,82000,2.588,212216.0,0.0,0.0
2014-05-12,SH510300,168900,2.24970434927126,379975.0645919158,0.0,0.0
2014-05-12,SH511010,4100,99.39695715953658,407527.5243541,0.0,0.0
2014-05-12,SH518880,82000,2.593,212626.0,0.0,0.0
2014-05-13,SH510300,168900,2.2434868337965352,378924.9262282348,0.0,0.0
