model,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
static_core,3053,1.4425924995631458,0.07649968380131367,0.19059525341086037,0.8268241855178294,1.317134572339126,0.4013724499025463,0.09458406765009723,2.6074198983027284,0.21522103320415575,5579.2292303727645,0.008505169427036571,0.0,878,-0.06955418462937213,0.5299705207992139,0.0,0.0,0.0,643.0
always_on_overlay,3053,1.1201267390123686,0.06399228772669718,0.3165127874740339,0.5043971033071725,0.78683136026964,0.20217915439497683,0.14344041816154096,69.33775228136653,5.723260260368282,136086.3314287661,0.007239925081309565,0.29096712030139954,1227,-0.23102090950698362,0.5191614805109728,0.29096712030139954,0.34790623105082646,1.0,643.0
excess_gate_only,3053,1.1674630834212834,0.06593333979850358,0.32230876964378585,0.5228098243221273,0.8133557459059578,0.20456576428675147,0.1412877883926105,75.53134797163972,6.234490563004654,150689.1061155806,0.008373525638119087,0.25582317096730245,1224,-0.21810208520640906,0.5214543072387815,0.25582317096730245,0.3451528153099493,0.926905132192846,643.0
dispersion_gate_only,3053,1.0592023065770526,0.061434671346455305,0.30352433725733985,0.5081507074886945,0.7887656465683948,0.2024044328754059,0.13543912183492224,71.4471346432887,5.897372397677286,137707.30920306675,0.008634631477934406,0.17992465829455223,1229,-0.2135848000652586,0.5244022273173927,0.17992465829455223,0.3583440491812012,0.6314152410575428,643.0
frozen_v2,3053,0.985893574209699,0.05826348416578475,0.3035740491082122,0.4860559214723802,0.7524946820216688,0.1919251146036403,0.13544049391578591,74.83282337117397,6.176833111541383,142008.05094094272,0.0063956480401354985,0.17392598471149517,1231,-0.2171539040141517,0.5240746806419915,0.17392598471149517,0.36510905576681746,0.6111975116640747,643.0
standalone_satellite,3053,-0.12746519630238728,-0.011191696851328148,0.6627351405232711,0.09583395268589785,0.14358150594461633,-0.01688713358777324,0.2731740450042305,267.0835730930446,22.045548778069847,327764.7690292873,0.0056977334605935745,0.6077311779047117,2707,-0.5015087131549782,0.6324926301998035,0.6077311779047117,0.9999982130929286,0.6111975116640747,643.0
frozen_v1,3053,1.026896788213083,0.060050179258935854,0.3707520054393617,0.4561935854700913,0.7232013791413474,0.16196858918611393,0.1538360987337218,229.875230452619,18.97430660794628,467635.0860571472,0.008999162311728847,0.5779224981427187,1177,-0.33124626576991356,0.5237471339665902,,,,
