period,module,pair_count,mean_delta_annualized_return,median_delta_annualized_return,mean_delta_maximum_drawdown,median_delta_maximum_drawdown,mean_delta_sharpe,median_delta_sharpe,mean_delta_annualized_turnover,median_delta_annualized_turnover,mean_delta_average_active_exposure,median_delta_average_active_exposure,positive_sharpe_pair_ratio
full,use_excess_hurdle,8,-0.0007018120372666303,-0.0006710144716782773,0.0034224189142946226,0.005433187903469583,-0.0017817360672830185,-0.0024364175375957975,0.17441444797610195,0.10628064083524347,-0.02074865578130693,-0.020543944525003383,0.5
full,use_dispersion_gate,8,-0.002651639147893875,-0.003030717367666358,-0.020057178138290666,-0.020092231773066405,-0.0005619362464143463,-0.0016651274178119957,-0.21782879091980878,-0.26032095521801724,-0.0948706225729806,-0.09395523269201354,0.5
full,use_rank_buffer,8,-0.0028675031153484742,-0.00331433947899773,0.004273048622722042,0.0033233919481155394,-0.02211988900227088,-0.02354547412391461,-2.221894065734982,-2.102228574384816,0.002831272303377142,0.0026309789139155187,0.0
full,use_correlation_guard,8,0.005110221931930753,0.004416277842484773,-0.007877529290620383,-0.007813454296534905,0.0432046585510443,0.04043664956985943,0.40322136108567597,0.4135948968755576,-0.002355284423663711,-0.0021732564179766795,1.0
era_2014_2017,use_excess_hurdle,8,-0.0003294424510907612,-2.3888913063707662e-05,0.0034224189142946226,0.005433187903469583,0.00475181902216712,0.005702544840220536,0.3424753426782293,0.12590331996095228,-0.027492938959453546,-0.026934759070392632,0.625
era_2014_2017,use_dispersion_gate,8,-0.0005507120174157165,-0.0006848262542017425,-0.020057178138290666,-0.020092231773066405,0.02574498160971786,0.023641433410628743,-2.088170295423212,-2.3605549975581885,-0.16241081647946123,-0.16307270253946393,0.625
era_2014_2017,use_rank_buffer,8,0.0012082027548223906,0.0016137001436364873,0.004273048622722042,0.0033233919481155394,0.0010053097073566275,0.0034631321697493056,-1.9179672352092874,-1.5340477906189347,0.001036022080363656,0.0008516943251654155,0.5
era_2014_2017,use_correlation_guard,8,0.004399662670176968,0.004894465348916244,-0.007877529290620383,-0.007813454296534905,0.028295592067752368,0.03203559860427685,0.0002706430654704217,-0.055796509985704956,-0.000909262052219759,-0.00024200669531673075,0.75
era_2018_2021,use_excess_hurdle,8,-0.0019380161494371995,-0.0026394620636345234,-0.005886006985622111,-0.002260200176739391,-0.008383299951520332,-0.010740086036172158,0.17383562941125702,0.13143600753029716,-0.03702282420136116,-0.035847429558517316,0.5
era_2018_2021,use_dispersion_gate,8,-0.006669526417450916,-0.0057212829985494595,-0.01233635856136972,-0.006552325575322981,-0.022694454741926037,-0.01526618317700984,-0.45472261307477396,-0.43363050758769717,-0.07391269106578054,-0.07321002446382986,0.25
era_2018_2021,use_rank_buffer,8,0.002431056081405397,0.0011275102017856975,-0.003553359897026487,-0.001744798824564353,0.013330607730712249,0.006794348297553265,-2.3174091141907662,-2.3015180182793484,0.004553013528668475,0.0039590651914896136,0.5
era_2018_2021,use_correlation_guard,8,-0.004603498635849496,-0.003525902972740136,0.0011954108974423783,-0.00038995944974778984,-0.027025935235223023,-0.020385760123954155,0.5232678621546212,0.48638957929164395,-0.00107088237667197,-0.0017503629021948103,0.5
era_2022_2026,use_excess_hurdle,8,-0.0015217815732639361,-0.0022229668641752243,0.0004685632862475586,0.0012969515426629608,-0.010330317779087161,-0.015263129516409568,0.1234028601044257,0.12614485705647382,-0.0003589023050515269,-0.00028018297704403283,0.25
era_2022_2026,use_dispersion_gate,8,0.0020497101560852937,0.0021538831854868157,-0.011065574404893141,-0.01241669570034254,0.01828319102717775,0.021071154684755233,1.3103549655504738,1.2625670335738013,-0.05595169395490893,-0.055033220048218964,0.875
era_2022_2026,use_rank_buffer,8,-0.00999071297131049,-0.00873254518487776,0.030664467480292584,0.029481189335682445,-0.06751813613789473,-0.05994504379190696,-2.5577530786086564,-2.5392911966436023,-0.0011287248384225027,-0.0016492981399057888,0.125
era_2022_2026,use_correlation_guard,8,0.01413240863735682,0.012810123603589796,-0.03362735703103051,-0.03395372867925811,0.10141157143070909,0.09685464784270485,0.580552260408443,0.4840825257192112,0.0006348899396946828,-0.0004975367527247504,1.0
