date,equity,cash,market_value,positions,gross_traded,benchmark_value,market_state,market_exposure,watchlist_size,daily_return,drawdown
2019-01-02,1000000.0,1000000.0,0.0,0,0.0,0.986345112323761,correction,0.0,2,0.0,0.0
2019-01-03,1000000.0,1000000.0,0.0,0,0.0,0.9847840070724487,correction,0.0,2,0.0,0.0
2019-01-04,1000000.0,1000000.0,0.0,0,0.0,1.0083768367767334,correction,0.0,2,0.0,0.0
2019-01-07,1000000.0,1000000.0,0.0,0,0.0,1.0144984722137451,correction,0.0,1,0.0,0.0
2019-01-08,1000000.0,1000000.0,0.0,0,0.0,1.0123063325881958,correction,0.0,1,0.0,0.0
2019-01-09,1000000.0,1000000.0,0.0,0,0.0,1.02252995967865,correction,0.0,1,0.0,0.0
2019-01-10,1000000.0,1000000.0,0.0,0,0.0,1.0206068754196167,correction,0.0,1,0.0,0.0
2019-01-11,1000000.0,1000000.0,0.0,0,0.0,1.0279440879821777,correction,0.0,1,0.0,0.0
2019-01-14,1000000.0,1000000.0,0.0,0,0.0,1.0189759731292725,correction,0.0,1,0.0,0.0
2019-01-15,1000000.0,1000000.0,0.0,0,0.0,1.0389750003814697,correction,0.0,1,0.0,0.0
2019-01-16,1000000.0,1000000.0,0.0,0,0.0,1.039194107055664,uptrend_under_pressure,0.35,1,0.0,0.0
2019-01-17,1000000.0,1000000.0,0.0,0,0.0,1.0334711074829102,uptrend_under_pressure,0.35,1,0.0,0.0
2019-01-18,1000000.0,1000000.0,0.0,0,0.0,1.052320957183838,uptrend_under_pressure,0.35,1,0.0,0.0
2019-01-21,1000000.0,1000000.0,0.0,0,0.0,1.0581237077713013,uptrend_under_pressure,0.35,0,0.0,0.0
2019-01-22,1000000.0,1000000.0,0.0,0,0.0,1.0440667867660522,uptrend_under_pressure,0.35,0,0.0,0.0
2019-01-23,1000000.0,1000000.0,0.0,0,0.0,1.0433127880096436,uptrend_under_pressure,0.35,0,0.0,0.0
2019-01-24,1000000.0,1000000.0,0.0,0,0.0,1.0492019653320312,uptrend_under_pressure,0.35,0,0.0,0.0
2019-01-25,1000000.0,1000000.0,0.0,0,0.0,1.0577349662780762,uptrend_under_pressure,0.35,0,0.0,0.0
2019-01-28,1000000.0,1000000.0,0.0,0,0.0,1.0575058460235596,uptrend_under_pressure,0.35,3,0.0,0.0
2019-01-29,1000000.0,1000000.0,0.0,0,0.0,1.0608904361724854,uptrend_under_pressure,0.35,3,0.0,0.0
2019-01-30,1000000.0,1000000.0,0.0,0,0.0,1.0524238348007202,uptrend_under_pressure,0.35,3,0.0,0.0
2019-01-31,1000000.0,1000000.0,0.0,0,0.0,1.0634348392486572,uptrend_under_pressure,0.35,3,0.0,0.0
2019-02-01,1000000.0,1000000.0,0.0,0,0.0,1.0786374807357788,uptrend_under_pressure,0.35,3,0.0,0.0
2019-02-11,1000000.0,1000000.0,0.0,0,0.0,1.0982577800750732,uptrend_under_pressure,0.35,2,0.0,0.0
2019-02-12,1000000.0,1000000.0,0.0,0,0.0,1.1061862707138062,confirmed_uptrend,0.7,2,0.0,0.0
2019-02-13,1000000.0,1000000.0,0.0,0,0.0,1.1283377408981323,confirmed_uptrend,0.7,2,0.0,0.0
2019-02-14,1000000.0,1000000.0,0.0,0,0.0,1.1300350427627563,confirmed_uptrend,0.7,2,0.0,0.0
2019-02-15,1000000.0,1000000.0,0.0,0,0.0,1.108963131904602,confirmed_uptrend,0.7,2,0.0,0.0
2019-02-18,1000000.0,1000000.0,0.0,0,0.0,1.144516944885254,confirmed_uptrend,0.7,3,0.0,0.0
