symbol,date,adjusted_return,raw_return,previous_factor,factor
SH600745,2025-10-14,0.9349748,-0.09992838,0.059382424,0.12766038
SZ302132,2025-02-24,4.8851066,-0.015197575,0.01470372,0.08786834
