peak,trough,recovery,drawdown,calendar_days,trading_days
2015-11-25,2016-06-22,2017-09-04,-0.1571079745101542,649,435
2020-07-29,2021-05-24,2022-02-10,-0.2640505716950499,561,371
2017-11-08,2018-04-09,2018-09-28,-0.1134125063319637,324,220
2024-11-11,2025-05-23,2025-08-28,-0.2718212857851579,290,196
2024-03-04,2024-04-23,2024-09-26,-0.1413343211096020,206,140

