year,start,end,strategy_return,benchmark_return,maximum_drawdown,partial_year
2015,2015-01-05,2015-12-31,0.5843000000000000,0.0683000000000000,-0.0856184084372004,false
2016,2016-01-04,2016-12-30,0.0290349050053651,-0.0970701113919311,-0.1234904316591318,false
2017,2017-01-03,2017-12-29,0.0347175366496963,0.2337756583039601,-0.0779535093150223,false
2018,2018-01-02,2018-12-28,-0.0415555160353311,-0.2416603646752373,-0.1102920488436217,false
2019,2019-01-02,2019-12-31,0.2407224146462148,0.3862603878116344,-0.0867295214922952,false
2020,2020-01-02,2020-12-31,0.2159521435692917,0.2906242506594197,-0.2181077066565340,false
2021,2021-01-04,2021-12-31,0.1002377828796328,-0.0402551557564872,-0.2295034537629742,false
2022,2022-01-04,2022-12-30,0.2946678093676640,-0.2013938181583532,-0.1284209304350349,false
2023,2023-01-03,2023-12-29,0.1937257159303496,-0.0975274725274725,-0.1263778961001583,false
2024,2024-01-02,2024-12-31,0.4927427910116695,0.1740531829170022,-0.1413343211096020,false
2025,2025-01-02,2025-12-31,0.1607416859141053,0.2085716464577139,-0.2236309894212819,false
2026,2026-01-05,2026-07-24,0.4037709594378349,0.0146390711761737,-0.2099654377880185,true

