year,strategy_return,benchmark_return,excess_return
2019,0.24003796126734822,0.3606961965560913,-0.08867389766659739
2020,0.17289271292782282,0.2721074626520459,-0.077992428027569
2021,0.03579939856105807,-0.05198716608417131,0.09260060782365276
2022,-0.19122913151801668,-0.21632791414537078,0.032027148957312734
2023,-0.10337884627726879,-0.11378155183477212,0.01173830851641644
2024,-0.025733429612404657,0.14683299616951362,-0.15047214926523722
2025,0.6521331478301735,0.17663174838405737,0.4041208305820001
