date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2019-01-02,988535.1838978862,558180.1758777954,430355.0080200908,9,441246.2040569305,0.986345112323761,9,9,0.5,-0.011464816102113806,0.0
2019-01-03,979108.0557316304,558180.1758777954,420927.879853835,9,0.0,0.9847840070724487,9,9,0.5,-0.00953646194876312,-0.00953646194876312
2019-01-04,986342.189281523,558180.1758777954,428162.01340372756,9,0.0,1.0083768367767334,9,9,0.5,0.007388493545267494,-0.0022184284910488072
2019-01-07,990232.0661167777,558180.1758777954,432051.8902389823,9,0.0,1.0144984722137451,9,9,0.5,0.00394373968540096,0.0
2019-01-08,990613.849058401,558180.1758777954,432433.6731806055,9,0.0,1.0123063325881958,9,9,0.5,0.00038554895835729575,0.0
2019-01-09,992697.2643235684,558180.1758777954,434517.08844577306,9,0.0,1.02252995967865,9,9,0.5,0.0021031558029880326,0.0
2019-01-10,986747.4401416903,558180.1758777954,428567.2642638949,9,0.0,1.0206068754196167,9,9,0.5,-0.005993593813248155,-0.005993593813248155
2019-01-11,982995.3784894529,558180.1758777954,424815.20261165744,9,0.0,1.0279440879821777,9,9,0.5,-0.003802453900157765,-0.009773257349234732
2019-01-14,983524.7472058326,558180.1758777954,425344.5713280372,9,0.0,1.0189759731292725,9,9,0.5,0.0005385261497294902,-0.0092399943541559
2019-01-15,988943.5164372395,558180.1758777954,430763.3405594441,9,0.0,1.0389750003814697,9,9,0.5,0.005509540300639548,-0.0037813621747883053
2019-01-16,991320.045327221,558180.1758777954,433139.86944942566,9,0.0,1.039194107055664,9,9,0.5,0.0024030987113836666,-0.0013873504499741784
2019-01-17,988840.6344061916,558180.1758777954,430660.4585283962,9,0.0,1.0334711074829102,9,9,0.5,-0.0025011205338947295,-0.0038850010531708
2019-01-18,998033.8840916567,558180.1758777954,439853.7082138613,9,0.0,1.052320957183838,9,9,0.5,0.009296998288289116,0.0
2019-01-21,999944.8188248079,558180.1758777954,441764.6429470124,9,0.0,1.0581237077713013,9,9,0.5,0.001914699253813934,0.0
2019-01-22,997313.3633620399,558180.1758777954,439133.1874842445,9,0.0,1.0440667867660522,9,9,0.5,-0.0026316006775860545,-0.0026316006775860545
2019-01-23,1000820.4535622261,558180.1758777954,442640.2776844307,9,0.0,1.0433127880096436,9,9,0.5,0.00351653785963868,0.0
2019-01-24,1004053.332504139,558180.1758777954,445873.1566263436,9,0.0,1.0492019653320312,9,9,0.5,0.003230228689278025,0.0
2019-01-25,1002916.1244092016,558180.1758777954,444735.9485314062,9,0.0,1.0577349662780762,9,9,0.5,-0.0011326172207418717,-0.0011326172207418717
2019-01-28,1005774.8399388621,558180.1758777954,447594.6640610667,9,0.0,1.0575058460235596,9,9,0.5,0.0028504033987335475,0.0
2019-01-29,1003610.5535547122,558180.1758777954,445430.3776769168,9,0.0,1.0608904361724854,9,9,0.5,-0.0021518597385886684,-0.0021518597385886684
