entry_date,symbol,local_symbol,exit_date
2022-06-29,515250.XSHG,SH515250,2022-06-30
2022-06-30,512690.XSHG,SH512690,2022-07-05
2022-07-05,159967.XSHE,SZ159967,2022-07-07
2022-07-19,513500.XSHG,SH513500,2022-07-22
2022-07-22,513100.XSHG,SH513100,2022-08-10
2022-08-10,159941.XSHE,SZ159941,2022-08-11
2022-08-11,513100.XSHG,SH513100,2022-08-12
2022-08-12,159941.XSHE,SZ159941,2022-08-15
2022-08-15,588100.XSHG,SH588100,2022-08-17
2022-08-17,159941.XSHE,SZ159941,2022-08-22
2022-08-22,513100.XSHG,SH513100,2022-08-23
2022-08-23,513500.XSHG,SH513500,2022-08-24
2022-08-24,159786.XSHE,SZ159786,2022-08-25
2022-08-25,513500.XSHG,SH513500,2022-08-26
2022-08-26,159985.XSHE,SZ159985,2022-09-13
2022-09-13,159930.XSHE,SZ159930,2022-09-16
2022-09-16,159985.XSHE,SZ159985,2022-10-18
2022-10-25,518880.XSHG,SH518880,2022-11-01
2022-11-01,513030.XSHG,SH513030,2022-11-03
2022-11-03,516510.XSHG,SH516510,2022-11-04
2022-11-04,515400.XSHG,SH515400,2022-11-07
2022-11-07,512720.XSHG,SH512720,2022-11-08
2022-11-08,512290.XSHG,SH512290,2022-11-09
2022-11-09,588100.XSHG,SH588100,2022-11-10
2022-11-10,159892.XSHE,SZ159892,2022-11-15
2022-11-15,517380.XSHG,SH517380,2022-11-17
2022-11-17,515400.XSHG,SH515400,2022-11-18
2022-11-18,159636.XSHE,SZ159636,2022-11-21
2022-11-21,513980.XSHG,SH513980,2022-11-22
2022-11-22,513030.XSHG,SH513030,2022-12-01
2022-12-01,513090.XSHG,SH513090,2022-12-08
2022-12-08,513180.XSHG,SH513180,2022-12-09
2022-12-09,159916.XSHE,SZ159916,2022-12-13
2022-12-13,517280.XSHG,SH517280,2022-12-14
2022-12-14,159985.XSHE,SZ159985,2022-12-28
2022-12-28,159766.XSHE,SZ159766,2022-12-29
2022-12-29,159985.XSHE,SZ159985,2023-01-03
2023-01-03,512690.XSHG,SH512690,2023-01-04
2023-01-04,159981.XSHE,SZ159981,2023-01-05
2023-01-05,159985.XSHE,SZ159985,2023-01-06
2023-01-06,513120.XSHG,SH513120,2023-01-09
2023-01-09,513360.XSHG,SH513360,2023-01-12
2023-01-12,513120.XSHG,SH513120,2023-01-18
2023-01-18,517120.XSHG,SH517120,2023-01-19
2023-01-19,159859.XSHE,SZ159859,2023-01-30
2023-01-30,516820.XSHG,SH516820,2023-01-31
2023-01-31,512010.XSHG,SH512010,2023-02-01
2023-02-01,159851.XSHE,SZ159851,2023-02-02
2023-02-02,515400.XSHG,SH515400,2023-02-07
2023-02-07,513310.XSHG,SH513310,2023-02-14
2023-02-14,515980.XSHG,SH515980,2023-02-16
2023-02-16,159869.XSHE,SZ159869,2023-02-17
2023-02-17,513100.XSHG,SH513100,2023-02-22
2023-02-22,512980.XSHG,SH512980,2023-02-23
2023-02-23,513100.XSHG,SH513100,2023-02-28
2023-02-28,513030.XSHG,SH513030,2023-03-02
2023-03-02,516950.XSHG,SH516950,2023-03-03
2023-03-03,159613.XSHE,SZ159613,2023-03-06
2023-03-06,516950.XSHG,SH516950,2023-03-08
2023-03-14,518880.XSHG,SH518880,2023-03-22
2023-03-22,516970.XSHG,SH516970,2023-03-24
2023-03-24,588200.XSHG,SH588200,2023-03-29
2023-03-29,588100.XSHG,SH588100,2023-03-30
2023-03-30,588200.XSHG,SH588200,2023-03-31
2023-03-31,588100.XSHG,SH588100,2023-04-03
2023-04-03,159819.XSHE,SZ159819,2023-04-04
2023-04-04,512720.XSHG,SH512720,2023-04-06
2023-04-06,515400.XSHG,SH515400,2023-04-07
2023-04-07,517280.XSHG,SH517280,2023-04-10
2023-04-10,159786.XSHE,SZ159786,2023-04-12
2023-04-12,513310.XSHG,SH513310,2023-04-13
2023-04-13,516620.XSHG,SH516620,2023-04-14
2023-04-14,513310.XSHG,SH513310,2023-04-19
2023-04-19,515880.XSHG,SH515880,2023-04-20
2023-04-20,516510.XSHG,SH516510,2023-04-21
2023-04-21,513310.XSHG,SH513310,2023-04-25
2023-04-25,513030.XSHG,SH513030,2023-05-15
2023-05-15,513100.XSHG,SH513100,2023-05-16
2023-05-16,513520.XSHG,SH513520,2023-05-26
2023-05-26,513100.XSHG,SH513100,2023-06-13
2023-06-13,515880.XSHG,SH515880,2023-06-15
2023-06-15,513100.XSHG,SH513100,2023-06-16
2023-06-16,516510.XSHG,SH516510,2023-06-20
2023-06-20,515400.XSHG,SH515400,2023-06-21
2023-06-21,515980.XSHG,SH515980,2023-06-26
2023-06-26,515250.XSHG,SH515250,2023-06-27
2023-06-27,513100.XSHG,SH513100,2023-06-28
2023-06-28,159985.XSHE,SZ159985,2023-07-04
2023-07-04,562500.XSHG,SH562500,2023-07-05
2023-07-05,515880.XSHG,SH515880,2023-07-06
2023-07-06,159985.XSHE,SZ159985,2023-08-03
2023-08-03,512880.XSHG,SH512880,2023-08-07
2023-08-07,159692.XSHE,SZ159692,2023-08-09
2023-08-09,513090.XSHG,SH513090,2023-08-10
2023-08-10,159985.XSHE,SZ159985,2023-08-31
2023-08-31,159981.XSHE,SZ159981,2023-09-01
2023-09-01,159985.XSHE,SZ159985,2023-09-05
2023-09-05,159981.XSHE,SZ159981,2023-09-07
2023-09-07,159985.XSHE,SZ159985,2023-09-14
2023-09-14,518880.XSHG,SH518880,2023-10-09
2023-10-13,515120.XSHG,SH515120,2023-10-16
2023-11-01,561980.XSHG,SH561980,2023-11-03
2023-11-03,513120.XSHG,SH513120,2023-11-13
2023-11-13,159892.XSHE,SZ159892,2023-11-14
2023-11-14,159985.XSHE,SZ159985,2023-11-15
2023-11-15,159506.XSHE,SZ159506,2023-11-16
2023-11-16,159892.XSHE,SZ159892,2023-11-17
2023-11-17,513310.XSHG,SH513310,2023-11-22
2023-11-22,159509.XSHE,SZ159509,2023-12-04
2023-12-04,513030.XSHG,SH513030,2023-12-18
2023-12-18,513290.XSHG,SH513290,2024-01-16
2024-01-16,513520.XSHG,SH513520,2024-01-26
2024-01-26,159509.XSHE,SZ159509,2024-02-23
2024-02-23,159930.XSHE,SZ159930,2024-03-04
2024-03-04,159509.XSHE,SZ159509,2024-03-05
2024-03-05,512720.XSHG,SH512720,2024-03-06
2024-03-06,159967.XSHE,SZ159967,2024-03-08
2024-03-08,159997.XSHE,SZ159997,2024-03-11
2024-03-11,159516.XSHE,SZ159516,2024-03-12
2024-03-12,588200.XSHG,SH588200,2024-03-13
2024-03-13,560980.XSHG,SH560980,2024-03-14
2024-03-14,159851.XSHE,SZ159851,2024-03-15
2024-03-15,159881.XSHE,SZ159881,2024-03-18
2024-03-18,512480.XSHG,SH512480,2024-03-20
2024-03-20,561160.XSHG,SH561160,2024-03-21
2024-03-21,515980.XSHG,SH515980,2024-03-22
2024-03-22,159652.XSHE,SZ159652,2024-03-25
2024-03-25,159985.XSHE,SZ159985,2024-03-27
2024-03-27,159518.XSHE,SZ159518,2024-04-03
2024-04-03,517520.XSHG,SH517520,2024-04-08
2024-04-08,561330.XSHG,SH561330,2024-04-09
2024-04-09,159518.XSHE,SZ159518,2024-04-15
2024-04-15,518880.XSHG,SH518880,2024-04-24
2024-04-24,159980.XSHE,SZ159980,2024-05-08
2024-05-08,159691.XSHE,SZ159691,2024-05-13
2024-05-13,159792.XSHE,SZ159792,2024-05-14
2024-05-14,159636.XSHE,SZ159636,2024-05-15
2024-05-15,513180.XSHG,SH513180,2024-05-16
2024-05-16,159985.XSHE,SZ159985,2024-05-20
2024-05-20,513920.XSHG,SH513920,2024-05-22
2024-05-22,513190.XSHG,SH513190,2024-05-23
2024-05-23,513630.XSHG,SH513630,2024-05-24
2024-05-24,159509.XSHE,SZ159509,2024-07-08
2024-07-08,513100.XSHG,SH513100,2024-07-10
2024-07-10,513520.XSHG,SH513520,2024-07-15
2024-07-15,513730.XSHG,SH513730,2024-07-16
2024-07-16,513500.XSHG,SH513500,2024-07-17
2024-07-17,513400.XSHG,SH513400,2024-07-18
2024-07-18,517520.XSHG,SH517520,2024-07-22
2024-07-22,513290.XSHG,SH513290,2024-07-24
2024-07-24,159502.XSHE,SZ159502,2024-08-01
2024-08-01,513290.XSHG,SH513290,2024-08-02
2024-08-02,159502.XSHE,SZ159502,2024-08-06
2024-08-27,518880.XSHG,SH518880,2024-09-02
2024-09-02,513550.XSHG,SH513550,2024-09-03
2024-09-03,513030.XSHG,SH513030,2024-09-11
2024-09-11,159529.XSHE,SZ159529,2024-09-18
2024-09-18,159985.XSHE,SZ159985,2024-09-24
2024-09-24,513980.XSHG,SH513980,2024-09-25
2024-09-25,159985.XSHE,SZ159985,2024-09-26
2024-09-26,513980.XSHG,SH513980,2024-09-27
2024-09-27,159851.XSHE,SZ159851,2024-09-30
2024-09-30,512200.XSHG,SH512200,2024-10-08
2024-10-08,159636.XSHE,SZ159636,2024-10-09
2024-10-09,159819.XSHE,SZ159819,2024-10-10
2024-10-10,159980.XSHE,SZ159980,2024-10-15
2024-10-15,513950.XSHG,SH513950,2024-10-16
2024-10-16,513690.XSHG,SH513690,2024-10-17
2024-10-17,513310.XSHG,SH513310,2024-10-22
2024-10-22,513690.XSHG,SH513690,2024-10-23
2024-10-23,159790.XSHE,SZ159790,2024-10-24
2024-10-24,512950.XSHG,SH512950,2024-10-25
2024-10-25,159790.XSHE,SZ159790,2024-10-30
2024-10-30,561130.XSHG,SH561130,2024-10-31
2024-10-31,513310.XSHG,SH513310,2024-11-05
2024-11-05,512660.XSHG,SH512660,2024-11-06
2024-11-06,159997.XSHE,SZ159997,2024-11-07
2024-11-07,515400.XSHG,SH515400,2024-11-11
2024-11-11,512720.XSHG,SH512720,2024-11-13
2024-11-13,562800.XSHG,SH562800,2024-11-14
2024-11-14,512880.XSHG,SH512880,2024-11-15
2024-11-15,159529.XSHE,SZ159529,2024-11-25
2024-11-25,159518.XSHE,SZ159518,2024-11-27
2024-11-27,159529.XSHE,SZ159529,2024-12-02
2024-12-02,159518.XSHE,SZ159518,2024-12-04
2024-12-04,513400.XSHG,SH513400,2024-12-10
2024-12-10,513500.XSHG,SH513500,2024-12-13
2024-12-13,512980.XSHG,SH512980,2024-12-16
2024-12-16,159529.XSHE,SZ159529,2024-12-17
2024-12-17,513100.XSHG,SH513100,2024-12-26
2024-12-26,159529.XSHE,SZ159529,2024-12-27
2024-12-27,159941.XSHE,SZ159941,2024-12-30
2024-12-30,515050.XSHG,SH515050,2025-01-02
2025-01-02,159529.XSHE,SZ159529,2025-01-13
2025-01-13,513310.XSHG,SH513310,2025-01-15
2025-01-15,159518.XSHE,SZ159518,2025-01-17
2025-01-17,159687.XSHE,SZ159687,2025-01-20
2025-01-20,520830.XSHG,SH520830,2025-01-22
2025-01-22,513030.XSHG,SH513030,2025-01-24
2025-01-24,159985.XSHE,SZ159985,2025-02-10
2025-02-10,562500.XSHG,SH562500,2025-02-11
2025-02-11,513160.XSHG,SH513160,2025-02-12
2025-02-12,562500.XSHG,SH562500,2025-02-13
2025-02-13,512720.XSHG,SH512720,2025-02-14
2025-02-14,159851.XSHE,SZ159851,2025-02-17
2025-02-17,159735.XSHE,SZ159735,2025-02-18
2025-02-18,520600.XSHG,SH520600,2025-02-20
2025-02-20,159570.XSHE,SZ159570,2025-02-21
2025-02-21,560800.XSHG,SH560800,2025-02-24
2025-02-24,512170.XSHG,SH512170,2025-02-25
2025-02-25,588220.XSHG,SH588220,2025-02-28
2025-02-28,588100.XSHG,SH588100,2025-03-03
2025-03-03,513310.XSHG,SH513310,2025-03-04
2025-03-04,159985.XSHE,SZ159985,2025-03-06
2025-03-07,588780.XSHG,SH588780,2025-03-11
2025-03-11,513050.XSHG,SH513050,2025-03-12
2025-03-12,159792.XSHE,SZ159792,2025-03-13
2025-03-13,560280.XSHG,SH560280,2025-03-14
2025-03-17,560280.XSHG,SH560280,2025-03-18
2025-03-18,159323.XSHE,SZ159323,2025-03-24
2025-03-24,159980.XSHE,SZ159980,2025-03-25
2025-03-25,513030.XSHG,SH513030,2025-03-31
2025-03-31,518880.XSHG,SH518880,2025-04-23
2025-04-30,518680.XSHG,SH518680,2025-05-06
2025-05-07,518680.XSHG,SH518680,2025-05-09
2025-05-09,513030.XSHG,SH513030,2025-05-12
2025-05-12,513730.XSHG,SH513730,2025-05-13
2025-05-13,513030.XSHG,SH513030,2025-05-16
2025-05-16,513750.XSHG,SH513750,2025-05-21
2025-05-21,513730.XSHG,SH513730,2025-05-22
2025-05-22,159822.XSHE,SZ159822,2025-05-23
2025-05-23,520600.XSHG,SH520600,2025-05-26
2025-05-26,159509.XSHE,SZ159509,2025-05-27
2025-05-27,159529.XSHE,SZ159529,2025-06-05
2025-06-05,513780.XSHG,SH513780,2025-06-09
2025-06-09,513120.XSHG,SH513120,2025-06-10
2025-06-10,520500.XSHG,SH520500,2025-06-11
2025-06-11,515120.XSHG,SH515120,2025-06-12
2025-06-12,159748.XSHE,SZ159748,2025-06-13
2025-06-13,159366.XSHE,SZ159366,2025-06-16
2025-06-16,159502.XSHE,SZ159502,2025-06-19
2025-06-19,513310.XSHG,SH513310,2025-06-20
2025-06-20,159518.XSHE,SZ159518,2025-06-25
2025-06-25,513120.XSHG,SH513120,2025-06-27
2025-06-27,513750.XSHG,SH513750,2025-06-30
2025-06-30,159851.XSHE,SZ159851,2025-07-01
2025-07-01,513090.XSHG,SH513090,2025-07-03
2025-07-03,159851.XSHE,SZ159851,2025-07-07
2025-07-07,515880.XSHG,SH515880,2025-07-08
2025-07-08,513090.XSHG,SH513090,2025-07-10
2025-07-10,159851.XSHE,SZ159851,2025-07-15
2025-07-15,515050.XSHG,SH515050,2025-07-21
2025-07-21,159363.XSHE,SZ159363,2025-07-22
2025-07-22,159316.XSHE,SZ159316,2025-07-23
2025-07-23,516150.XSHG,SH516150,2025-07-24
2025-07-24,513060.XSHG,SH513060,2025-07-25
2025-07-25,515210.XSHG,SH515210,2025-07-28
2025-07-28,560860.XSHG,SH560860,2025-07-29
2025-07-29,159738.XSHE,SZ159738,2025-07-31
2025-07-31,159992.XSHE,SZ159992,2025-08-01
2025-08-01,159509.XSHE,SZ159509,2025-08-07
2025-08-07,515050.XSHG,SH515050,2025-08-11
2025-08-11,159509.XSHE,SZ159509,2025-08-12
2025-08-12,159583.XSHE,SZ159583,2025-08-13
2025-08-13,159363.XSHE,SZ159363,2025-08-14
2025-08-14,159583.XSHE,SZ159583,2025-08-19
2025-08-19,588780.XSHG,SH588780,2025-08-20
2025-08-20,588790.XSHG,SH588790,2025-08-21
2025-08-21,159819.XSHE,SZ159819,2025-08-22
2025-08-22,588200.XSHG,SH588200,2025-08-25
2025-08-25,159781.XSHE,SZ159781,2025-08-26
2025-08-26,159949.XSHE,SZ159949,2025-08-27
2025-08-27,159807.XSHE,SZ159807,2025-08-28
2025-08-28,159667.XSHE,SZ159667,2025-08-29
2025-08-29,516520.XSHG,SH516520,2025-09-01
2025-09-01,159667.XSHE,SZ159667,2025-09-02
2025-09-02,562590.XSHG,SH562590,2025-09-03
2025-09-03,159755.XSHE,SZ159755,2025-09-04
2025-09-04,517520.XSHG,SH517520,2025-09-05
2025-09-05,513310.XSHG,SH513310,2025-09-08
2025-09-08,159796.XSHE,SZ159796,2025-09-09
2025-09-09,516270.XSHG,SH516270,2025-09-10
2025-09-10,513310.XSHG,SH513310,2025-09-12
2025-09-12,159273.XSHE,SZ159273,2025-09-16
2025-09-16,159807.XSHE,SZ159807,2025-09-17
2025-09-17,159819.XSHE,SZ159819,2025-09-18
2025-09-18,561100.XSHG,SH561100,2025-09-19
2025-09-19,513310.XSHG,SH513310,2025-09-22
2025-09-22,515980.XSHG,SH515980,2025-09-23
2025-09-23,515880.XSHG,SH515880,2025-09-24
2025-09-24,515260.XSHG,SH515260,2025-09-25
2025-09-25,159790.XSHE,SZ159790,2025-09-26
2025-09-26,159732.XSHE,SZ159732,2025-09-29
2025-09-29,159997.XSHE,SZ159997,2025-09-30
2025-09-30,588200.XSHG,SH588200,2025-10-09
2025-10-09,159995.XSHE,SZ159995,2025-10-10
2025-10-10,159732.XSHE,SZ159732,2025-10-13
2025-10-13,159509.XSHE,SZ159509,2025-10-14
2025-10-14,513310.XSHG,SH513310,2025-10-21
2025-10-21,518880.XSHG,SH518880,2025-10-24
2025-10-24,159509.XSHE,SZ159509,2025-10-27
2025-10-27,159502.XSHE,SZ159502,2025-10-31
2025-10-31,513310.XSHG,SH513310,2025-11-03
2025-11-03,159502.XSHE,SZ159502,2025-11-05
2025-11-05,513310.XSHG,SH513310,2025-11-07
2025-11-07,159509.XSHE,SZ159509,2025-11-10
2025-11-10,513290.XSHG,SH513290,2025-11-11
2025-11-11,513310.XSHG,SH513310,2025-11-14
2025-11-14,159766.XSHE,SZ159766,2025-11-17
2025-11-17,513290.XSHG,SH513290,2025-12-02
2025-12-02,159502.XSHE,SZ159502,2025-12-11
2025-12-11,159583.XSHE,SZ159583,2025-12-12
2025-12-12,159502.XSHE,SZ159502,2025-12-15
2025-12-15,159206.XSHE,SZ159206,2025-12-16
2025-12-16,159502.XSHE,SZ159502,2025-12-18
2025-12-18,515880.XSHG,SH515880,2025-12-19
2025-12-19,159980.XSHE,SZ159980,2025-12-23
2025-12-23,515880.XSHG,SH515880,2025-12-25
2025-12-25,159695.XSHE,SZ159695,2025-12-29
2025-12-29,563320.XSHG,SH563320,2025-12-31
2025-12-31,159227.XSHE,SZ159227,2026-01-05
2026-01-05,159583.XSHE,SZ159583,2026-01-06
2026-01-06,512670.XSHG,SH512670,2026-01-07
2026-01-07,159583.XSHE,SZ159583,2026-01-09
2026-01-09,159516.XSHE,SZ159516,2026-01-12
2026-01-12,159870.XSHE,SZ159870,2026-01-21
2026-01-21,513310.XSHG,SH513310,2026-01-27
2026-01-27,516220.XSHG,SH516220,2026-01-28
2026-01-28,159731.XSHE,SZ159731,2026-01-29
2026-01-29,516150.XSHG,SH516150,2026-01-30
2026-01-30,510500.XSHG,SH510500,2026-02-02
2026-02-02,513310.XSHG,SH513310,2026-02-10
2026-02-10,513690.XSHG,SH513690,2026-02-11
2026-02-11,159326.XSHE,SZ159326,2026-02-12
2026-02-12,561360.XSHG,SH561360,2026-02-24
2026-02-24,159518.XSHE,SZ159518,2026-02-25
2026-02-25,513310.XSHG,SH513310,2026-02-27
2026-02-27,513350.XSHG,SH513350,2026-03-03
2026-03-03,513520.XSHG,SH513520,2026-03-04
2026-03-04,159518.XSHE,SZ159518,2026-03-12
2026-03-12,159667.XSHE,SZ159667,2026-03-13
2026-03-13,159611.XSHE,SZ159611,2026-03-18
2026-03-18,159518.XSHE,SZ159518,2026-03-19
2026-03-19,159985.XSHE,SZ159985,2026-03-23
2026-03-23,159518.XSHE,SZ159518,2026-04-02
2026-04-02,512800.XSHG,SH512800,2026-04-03
2026-04-03,159518.XSHE,SZ159518,2026-04-09
2026-04-09,589720.XSHG,SH589720,2026-04-17
2026-04-17,515880.XSHG,SH515880,2026-04-20
2026-04-20,589720.XSHG,SH589720,2026-04-21
2026-04-21,159363.XSHE,SZ159363,2026-04-22
2026-04-22,520870.XSHG,SH520870,2026-04-23
2026-04-23,159819.XSHE,SZ159819,2026-04-24
2026-04-24,515000.XSHG,SH515000,2026-04-27
2026-04-27,159949.XSHE,SZ159949,2026-04-28
2026-04-28,159995.XSHE,SZ159995,2026-04-29
2026-04-29,159509.XSHE,SZ159509,2026-04-30
2026-04-30,588080.XSHG,SH588080,2026-05-06
2026-05-06,588220.XSHG,SH588220,2026-05-07
2026-05-07,588790.XSHG,SH588790,2026-05-08
2026-05-08,588770.XSHG,SH588770,2026-05-13
2026-05-13,159949.XSHE,SZ159949,2026-05-14
2026-05-14,159915.XSHE,SZ159915,2026-05-18
2026-05-18,513310.XSHG,SH513310,2026-05-26
2026-05-26,159509.XSHE,SZ159509,2026-05-27
2026-05-27,515980.XSHG,SH515980,2026-06-01
2026-06-01,159196.XSHE,SZ159196,2026-06-02
2026-06-02,513310.XSHG,SH513310,2026-06-04
2026-06-04,159807.XSHE,SZ159807,2026-06-08
2026-06-08,513100.XSHG,SH513100,2026-06-09
2026-06-09,513520.XSHG,SH513520,2026-06-17
2026-06-17,515880.XSHG,SH515880,2026-06-18
2026-06-18,513520.XSHG,SH513520,2026-06-23
2026-06-23,515880.XSHG,SH515880,2026-06-24
2026-06-24,159516.XSHE,SZ159516,2026-06-25
2026-06-25,159507.XSHE,SZ159507,2026-06-26
2026-06-26,159695.XSHE,SZ159695,2026-06-29
2026-06-29,513520.XSHG,SH513520,2026-06-30
2026-06-30,159502.XSHE,SZ159502,2026-07-02
2026-07-02,159667.XSHE,SZ159667,2026-07-03
2026-07-03,159502.XSHE,SZ159502,2026-07-21
2026-07-21,159985.XSHE,SZ159985,2026-07-22
2026-07-22,159518.XSHE,SZ159518,
