symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SH600570,2019-01-21,2019-03-14,closed,right,201.91597662588333,89448.00160217285,107444.22630972987,17996.22470755702,166.51189468330068,17829.71281287372,0.19896010274607162,52.0,True,1,exit_resonance
SH601012,2019-01-21,2019-03-06,closed,right,207.1619930185574,93668.39679565429,103649.4201204009,9981.02332474661,162.84476519521746,9818.178559551392,0.10463656236696292,44.0,True,1,exit_resonance
SZ002439,2019-01-21,2019-01-23,closed,right,204.89246127355636,94808.00305175781,89874.5452159695,-4933.457835788315,145.2793096962877,-5078.7371454846025,-0.05348669386858706,2.0,False,0,exit_resonance
SZ002916,2019-01-21,2019-03-11,closed,right,202.68022230619377,91002.0,106511.36717080924,15509.367170809244,165.76537732205202,15343.601793487192,0.16830073359792921,49.0,True,1,exit_resonance
SH600872,2019-01-28,2019-02-13,closed,right,202.84766076786133,91790.80442504883,90382.02191668494,-1408.782508363889,145.03386981920505,-1553.816378183094,-0.01690109544875744,16.0,True,1,exit_resonance
SH600875,2019-01-28,2019-02-21,closed,right,204.86970702318433,94244.79444580078,97760.4231600541,3515.628714253311,155.36198844181055,3360.2667258115007,0.0355959868366553,24.0,True,1,exit_resonance
SH601668,2019-01-28,2019-02-20,closed,right,200.9494873171466,94736.00206947327,94943.65696233907,207.65489286580123,151.84755467188276,55.80733819391847,0.0005881399822524562,23.0,True,1,exit_resonance
SH601688,2019-01-28,2019-03-11,closed,right,202.9609517229263,93256.80336456298,100917.47149586178,7660.668131298808,159.16975395398921,7501.498377344818,0.08030209531540883,42.0,True,1,exit_resonance
SH603000,2019-01-28,2019-03-20,closed,right,202.62688252808337,94679.2032348633,305000.9228680779,210321.71963321458,424.90496069896017,209896.8146725156,2.207021533085674,51.0,True,1,exit_resonance
SZ002223,2019-01-28,2019-02-18,closed,right,205.0519721920802,92888.5934387207,91938.97223052048,-949.6212082002166,147.3872419312928,-1097.0084501315096,-0.01179122788953034,21.0,True,1,exit_resonance
SZ002366,2019-01-28,2019-03-12,closed,right,200.69633622357438,94016.00762939453,103658.18969407747,9642.182064682944,162.96044889111909,9479.221615791825,0.10065115183585664,43.0,True,1,exit_resonance
SZ000600,2019-02-18,2019-03-15,closed,right,209.54770753651732,97219.20029754638,101686.1524584017,4466.952160855319,161.35775828518612,4305.594402570133,0.044214106886731844,25.0,True,1,exit_resonance
SZ002714,2019-02-18,2019-03-15,closed,right,213.52440692567146,97409.59649047852,111592.56955023156,14182.973059753043,174.29321936244457,14008.6798403906,0.14355525161012184,25.0,True,1,exit_resonance
SH600837,2019-02-25,2019-03-15,closed,right,208.2638251101838,107928.3987487793,109699.36240937545,1770.9636605961423,174.98769075682188,1595.9759698393204,0.014763422519903889,18.0,False,0,exit_resonance
SH601881,2019-02-25,2019-03-13,closed,right,207.8957311040094,107819.6093460083,109677.18929479277,1857.5799487844633,174.92622888703306,1682.6537198974302,0.015580915376320056,16.0,True,1,exit_resonance
SH600640,2019-03-11,2019-03-21,closed,right,208.3933971698716,120167.79151229859,120121.34995596543,-46.44155633315677,192.2080923964446,-238.64964872960138,-0.0019827986832287436,10.0,True,1,exit_resonance
SH603160,2019-03-11,2019-03-26,closed,right,208.84337625162013,115202.40915527343,122587.23473046234,7384.825575188908,193.92412789618308,7190.901447292726,0.06231481748771915,15.0,False,0,exit_resonance
SZ002273,2019-03-11,2019-03-20,closed,right,213.9124803833589,120200.59620056153,114299.55925689946,-5901.036943662068,184.64960589413775,-6085.686549556205,-0.05055176412016646,9.0,True,1,exit_resonance
SH600748,2019-03-18,2019-03-25,closed,right,220.0,120040.39757766725,113893.96405892246,-6146.433518744787,184.07427254989938,-6330.507791294686,-0.052655733844117966,7.0,False,0,exit_resonance
