date,equity,cash,market_value,positions,gross_traded,benchmark_value,daily_return,drawdown
2019-01-02,1000000.0,1000000.0,0.0,0,0.0,0.986345112323761,0.0,0.0
2019-01-03,1000000.0,1000000.0,0.0,0,0.0,0.9847840070724487,0.0,0.0
2019-01-04,1000000.0,1000000.0,0.0,0,0.0,1.0083768367767334,0.0,0.0
2019-01-07,1000000.0,1000000.0,0.0,0,0.0,1.0144984722137451,0.0,0.0
2019-01-08,1000000.0,1000000.0,0.0,0,0.0,1.0123063325881958,0.0,0.0
2019-01-09,1000000.0,1000000.0,0.0,0,0.0,1.02252995967865,0.0,0.0
2019-01-10,1000000.0,1000000.0,0.0,0,0.0,1.0206068754196167,0.0,0.0
2019-01-11,1000000.0,1000000.0,0.0,0,0.0,1.0279440879821777,0.0,0.0
2019-01-14,1000000.0,1000000.0,0.0,0,0.0,1.0189759731292725,0.0,0.0
2019-01-15,1000000.0,1000000.0,0.0,0,0.0,1.0389750003814697,0.0,0.0
2019-01-16,1000000.0,1000000.0,0.0,0,0.0,1.039194107055664,0.0,0.0
2019-01-17,1000000.0,1000000.0,0.0,0,0.0,1.0334711074829102,0.0,0.0
2019-01-18,1000000.0,1000000.0,0.0,0,0.0,1.052320957183838,0.0,0.0
2019-01-21,997906.9226952667,630962.9206299803,366944.0020652864,4,368926.401449585,1.0581237077713013,-0.002093077304733293,-0.002093077304733293
2019-01-22,992850.4976884663,630962.9206299803,361887.57705848606,4,0.0,1.0440667867660522,-0.005067030693747809,-0.007149502311533662
2019-01-23,993520.5770735671,766751.512497259,226769.06457630813,3,135965.34681814234,1.0433127880096436,0.0006749046172216389,-0.006479422926432887
2019-01-24,996141.3757273001,813656.8584935798,182484.51723372034,3,46966.40231933594,1.0492019653320312,0.0026378906629720422,-0.0038586242726998954
2019-01-25,995889.1030753653,813656.8584935798,182232.24458178546,3,0.0,1.0577349662780762,-0.00025324984794505845,-0.004110896924634733
2019-01-28,1001818.8255914808,157847.96622313303,843970.8593683478,10,655612.2086078643,1.0575058460235596,0.0059541996170098255,0.0
2019-01-29,1006400.0668552186,204785.86752313303,801614.1993320856,10,46999.00000000001,1.0608904361724854,0.00457292391269748,0.0
2019-01-30,995696.5866562809,251536.60976107736,744159.9768952036,10,46811.59731445312,1.0524238348007202,-0.010635412845692471,-0.010635412845692471
2019-01-31,1002102.003649279,298377.64070413384,703724.3629451451,10,46902.00354766846,1.0634348392486572,0.006433101286917653,-0.004270730246839216
2019-02-01,1012185.5363516139,394816.3961700324,617369.1401815816,10,96564.28904165268,1.0786374807357788,0.010062381539618137,0.0
2019-02-11,1019037.2447493554,443631.84949118755,575405.3952581679,10,48878.99601597595,1.0982577800750732,0.006769221799432401,0.0
2019-02-12,1014284.2434289233,490250.57575700886,524033.66767191445,10,46679.40949816894,1.1061862707138062,-0.004664207657690822,-0.004664207657690822
2019-02-13,1017989.154783796,533674.0701021457,484315.08468165033,9,43480.018369016485,1.1283377408981323,0.003652734801782742,-0.0010285099695419575
2019-02-14,1031107.3121968086,533674.0701021457,497433.24209466303,9,0.0,1.1300350427627563,0.012886342994291144,0.0
2019-02-15,1026012.4969807169,533674.0701021457,492338.42687857134,9,0.0,1.108963131904602,-0.0049411105476858674,-0.0049411105476858674
2019-02-18,1051143.5733707538,384055.59400376084,667087.9793669931,10,239756.17170409224,1.144516944885254,0.024493928157786504,0.0
2019-02-19,1051411.6073122062,384055.59400376084,667356.0133084453,10,0.0,1.142480731010437,0.0002549927034161126,0.0
2019-02-20,1066575.220428026,430719.22062712413,635855.999800902,9,46724.36830215611,1.1465729475021362,0.014422147340168445,0.0
2019-02-21,1082793.6856633339,479537.101915915,603256.5837474188,8,48881.427144078145,1.1435105800628662,0.01520611479122791,0.0
2019-02-22,1116222.3082252857,528064.7899517328,588157.5182735528,8,48590.85614881134,1.1692225933074951,0.030872568804714673,0.0
2019-02-25,1158227.548935274,312252.0574545168,845975.491480757,10,215748.0080947876,1.238762378692627,0.03763160832789092,0.0
2019-02-26,1171378.3374630257,366574.9433972402,804803.3940657856,10,54393.59761962891,1.223885178565979,0.011354235650707034,0.0
2019-02-27,1167649.5951383072,366574.9433972402,801074.651741067,10,0.0,1.2217925786972046,-0.00318320922068116,-0.00318320922068116
2019-02-28,1149715.5809223882,366574.9433972402,783140.6375251481,10,0.0,1.2187966108322144,-0.015359072011492225,-0.018493390092525264
2019-03-01,1180241.2792711167,420341.07088042446,759900.2083906922,10,53836.114431945796,1.2454818487167358,0.02655065205277851,0.0
2019-03-04,1207165.3840054169,420341.07088042446,786824.3131249924,10,0.0,1.2602261304855347,0.022812373374135664,0.0
2019-03-05,1235340.0213153602,420341.07088042446,814998.9504349357,10,0.0,1.2675036191940308,0.023339500687518777,0.0
2019-03-06,1273318.0415761385,477824.8631945788,795493.1783815597,9,57558.61851822805,1.2781591415405273,0.03074296922748454,0.0
2019-03-07,1309322.5522101084,477824.8631945788,831497.6890155296,9,0.0,1.2651253938674927,0.028276133266283532,0.0
2019-03-08,1262273.1722762187,477824.8631945788,784448.3090816399,9,0.0,1.2148804664611816,-0.03593414002872808,-0.03593414002872808
2019-03-11,1317712.0782023796,234086.52308281529,1083625.5551195643,10,467655.6351533349,1.2389185428619385,0.04391989558503395,0.0
2019-03-12,1354917.899435468,453818.2862756244,901099.6131598437,9,220017.78631501866,1.2473552227020264,0.028235167491099,0.0
2019-03-13,1309160.6643581968,509586.7677411497,799573.8966170471,8,55841.07486284697,1.2370052337646484,-0.03377122340500205,-0.03377122340500205
2019-03-14,1273288.7363864845,569985.9705603562,703302.7658261282,7,60477.82399039393,1.228468894958496,-0.027400707146435832,-0.060246575148940495
2019-03-15,1270671.0487606195,906940.5898272127,363730.45893340674,4,337393.230466463,1.2439206838607788,-0.002055847625962559,-0.06217856499641072
2019-03-18,1282098.1285414605,666366.4326754125,615731.695866048,6,240502.0065498352,1.2793748378753662,0.008992948876884066,-0.053744784775777266
2019-03-19,1296675.38030793,666366.4326754125,630308.9476325177,6,0.0,1.273465871810913,0.011369840920876229,-0.04298601350812836
2019-03-20,1281035.0674015079,865215.465882328,415819.60151917976,4,199107.8734423906,1.273957371711731,-0.01206185691804218,-0.054529379281758494
2019-03-21,1285050.8089308022,925012.9806263621,360037.8283044399,3,59875.35270254746,1.2744389772415161,0.0031347631547979926,-0.05156555281598707
2019-03-22,1282913.5769573492,925012.9806263621,357900.59633098706,3,0.0,1.2734127044677734,-0.0016631497825608799,-0.05314294136059439
2019-03-25,1270624.9510609545,321248.1055971686,949376.8454637858,8,831189.5523172843,1.2431966066360474,-0.009578685670736498,-0.06221258750041947
2019-03-26,1242113.041947997,561291.1253215787,680821.9166264182,6,240355.48185081614,1.2291165590286255,-0.02243928004809792,-0.08325586187507872
2019-03-27,1257671.7158600423,952252.5471062949,305419.16875374736,3,391470.33321789955,1.2433825731277466,0.012525972585912815,-0.07177274993262972
2019-03-28,1260485.6007278578,1116303.0185255075,144182.5822023503,1,164264.0146382423,1.2384036779403687,0.002237376282165471,-0.06969595629886938
2019-03-29,1269386.1876519797,1116303.0185255075,153083.16912647226,1,0.0,1.2862138748168945,0.007061236494080081,-0.06312685943489671
2019-04-01,1300539.5957355606,404649.5994077892,895889.9963277713,7,711439.987121582,1.3199574947357178,0.024542104196994874,-0.040134021199782155
2019-04-02,1318800.0611525448,404649.5994077892,914150.4617447555,7,0.0,1.3190804719924927,0.014040683941388465,-0.026656846365356812
2019-04-03,1329906.9778886326,404649.5994077892,925257.3784808433,7,0.0,1.33597731590271,0.008421986822158,-0.018459363152008246
2019-04-04,1346529.306773765,523790.31486778916,822738.9919059757,7,119295.79999999999,1.349286675453186,0.01249886583159543,-0.00619121842378656
2019-04-08,1355201.2764469257,177897.9833247002,1177303.2931222254,10,345788.59496459964,1.347625970840454,0.00644023834426477,0.0
