scenario,model,capital,maximum_volume_ratio,slippage,annualized_return,maximum_drawdown,sharpe,total_fees,filled_order_count,capacity_limited_order_count,blocked_order_count,maximum_volume_participation,average_absolute_target_gap,p95_absolute_target_gap,maximum_absolute_target_gap,p95_all_day_exposure_drift,longest_unfinished_rebalance_days,average_rounding_error,maximum_rounding_error,average_fee_to_trade_value,maximum_fee_to_trade_value,minimum_cash,minimum_shares,event_chain_valid,engineering_capacity_gate
risk-friction__threshold-0p05__capital-50000__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,50000.0,0.01,0.0002,0.21591736600361577,0.11958185379859454,1.2901371003274338,204.107105826,31,0,0,1.4900621418712714e-05,0.0008970720857625848,0.0018390584354881917,0.0019042737613981786,0.037446866271750506,0,0.0006499944362303782,0.0024163220304722066,0.0009125377630027587,0.0031845390983443757,611.4204542399912,0,True,True
risk-friction__threshold-0p05__capital-50000__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,50000.0,0.01,0.002,0.21006792657829676,0.12281198919470504,1.2613586378768256,203.47483386,31,0,0,1.4729349908152799e-05,0.0006484115368014636,0.0016118954806885605,0.00200983090637874,0.0372540576982303,0,0.0006766883424417777,0.002282557737050106,0.0009142829088978699,0.0031902827560367805,636.160143120007,0,True,True
risk-friction__threshold-0p05__capital-100000__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,100000.0,0.001,0.0002,0.21683085347482045,0.11964037881768252,1.2928502242322095,316.52161022,31,0,0,2.980124283742543e-05,0.00038162658270395907,0.0009371781357320197,0.0011370601762343557,0.037443577018021965,0,0.00035169650410386794,0.001225389903364127,0.0005237748597462019,0.0015922695491721879,1178.166980710026,0,True,True
risk-friction__threshold-0p05__capital-100000__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,100000.0,0.001,0.002,0.21097360830823764,0.12304303875618916,1.2646247492037903,315.04403732,31,0,0,2.951579031982557e-05,0.0003349390194558169,0.0007396329212153996,0.000928330907409125,0.03774191779319276,0,0.0003520753160157602,0.0011631921485849017,0.0005271077568704248,0.0017014841365529498,1132.9091626200225,0,True,True
risk-friction__threshold-0p05__capital-100000__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,100000.0,0.005,0.0002,0.21683085347482045,0.11964037881768252,1.2928502242322095,316.52161022,31,0,0,2.980124283742543e-05,0.00038162658270395907,0.0009371781357320197,0.0011370601762343557,0.037443577018021965,0,0.00035169650410386794,0.001225389903364127,0.0005237748597462019,0.0015922695491721879,1178.166980710026,0,True,True
risk-friction__threshold-0p05__capital-100000__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,100000.0,0.005,0.002,0.21097360830823764,0.12304303875618916,1.2646247492037903,315.04403732,31,0,0,2.951579031982557e-05,0.0003349390194558169,0.0007396329212153996,0.000928330907409125,0.03774191779319276,0,0.0003520753160157602,0.0011631921485849017,0.0005271077568704248,0.0017014841365529498,1132.9091626200225,0,True,True
risk-friction__threshold-0p05__capital-100000__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,100000.0,0.01,0.0002,0.21683085347482045,0.11964037881768252,1.2928502242322095,316.52161022,31,0,0,2.980124283742543e-05,0.00038162658270395907,0.0009371781357320197,0.0011370601762343557,0.037443577018021965,0,0.00035169650410386794,0.001225389903364127,0.0005237748597462019,0.0015922695491721879,1178.166980710026,0,True,True
risk-friction__threshold-0p05__capital-100000__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,100000.0,0.01,0.002,0.21097360830823764,0.12304303875618916,1.2646247492037903,315.04403732,31,0,0,2.951579031982557e-05,0.0003349390194558169,0.0007396329212153996,0.000928330907409125,0.03774191779319276,0,0.0003520753160157602,0.0011631921485849017,0.0005271077568704248,0.0017014841365529498,1132.9091626200225,0,True,True
risk-friction__threshold-0p05__capital-500000__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,500000.0,0.001,0.0002,0.21689060051800468,0.11978332370586475,1.2921864080068326,1384.5278711059998,31,0,0,0.00014923457620120704,6.641123372440104e-05,0.000151793102407205,0.0002078116982253131,0.037515751572847214,0,6.537900097348992e-05,0.00022259518226608321,0.00030085869015167695,0.00032661939470198724,5742.203492387882,0,True,True
risk-friction__threshold-0p05__capital-500000__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,500000.0,0.001,0.002,0.21112567975326724,0.12305419332751077,1.2645286797938355,1376.29997462,31,0,0,0.00014780731361320774,0.00014373138191951034,0.0005349391656900571,0.0007037479589611095,0.03756711876874448,0,6.875808592760118e-05,0.0002353095787164805,0.00030101477253803696,0.00033145794867914604,5589.951440660086,0,True,True
risk-friction__threshold-0p05__capital-500000__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,500000.0,0.005,0.0002,0.21689060051800468,0.11978332370586475,1.2921864080068326,1384.5278711059998,31,0,0,0.00014923457620120704,6.641123372440104e-05,0.000151793102407205,0.0002078116982253131,0.037515751572847214,0,6.537900097348992e-05,0.00022259518226608321,0.00030085869015167695,0.00032661939470198724,5742.203492387882,0,True,True
risk-friction__threshold-0p05__capital-500000__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,500000.0,0.005,0.002,0.21112567975326724,0.12305419332751077,1.2645286797938355,1376.29997462,31,0,0,0.00014780731361320774,0.00014373138191951034,0.0005349391656900571,0.0007037479589611095,0.03756711876874448,0,6.875808592760118e-05,0.0002353095787164805,0.00030101477253803696,0.00033145794867914604,5589.951440660086,0,True,True
risk-friction__threshold-0p05__capital-500000__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,500000.0,0.01,0.0002,0.21689060051800468,0.11978332370586475,1.2921864080068326,1384.5278711059998,31,0,0,0.00014923457620120704,6.641123372440104e-05,0.000151793102407205,0.0002078116982253131,0.037515751572847214,0,6.537900097348992e-05,0.00022259518226608321,0.00030085869015167695,0.00032661939470198724,5742.203492387882,0,True,True
risk-friction__threshold-0p05__capital-500000__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,500000.0,0.01,0.002,0.21112567975326724,0.12305419332751077,1.2645286797938355,1376.29997462,31,0,0,0.00014780731361320774,0.00014373138191951034,0.0005349391656900571,0.0007037479589611095,0.03756711876874448,0,6.875808592760118e-05,0.0002353095787164805,0.00030101477253803696,0.00033145794867914604,5589.951440660086,0,True,True
risk-friction__threshold-0p05__capital-1e+06__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,1000000.0,0.001,0.0002,0.21693638632287215,0.119781533459976,1.2923529003810672,2768.4292251899997,31,0,0,0.0002984691524024141,4.559197437282599e-05,0.00010141873526545164,0.00014240326557746208,0.03755426840477101,0,3.4143455652870064e-05,0.00012087472106514507,0.0003,0.0003,11389.157179064332,0,True,True
risk-friction__threshold-0p05__capital-1e+06__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,1000000.0,0.001,0.002,0.21113080579197852,0.12307065793743566,1.2645016630747399,2751.7180306199994,31,0,0,0.00029567171772993544,0.00015741640430962325,0.0005758716730143165,0.0007895986346182493,0.03752517595531127,0,3.440656714347957e-05,0.00011871711125083229,0.0003,0.0003,11193.154188400036,0,True,True
risk-friction__threshold-0p05__capital-1e+06__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,1000000.0,0.005,0.0002,0.21693638632287215,0.119781533459976,1.2923529003810672,2768.4292251899997,31,0,0,0.0002984691524024141,4.559197437282599e-05,0.00010141873526545164,0.00014240326557746208,0.03755426840477101,0,3.4143455652870064e-05,0.00012087472106514507,0.0003,0.0003,11389.157179064332,0,True,True
risk-friction__threshold-0p05__capital-1e+06__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,1000000.0,0.005,0.002,0.21113080579197852,0.12307065793743566,1.2645016630747399,2751.7180306199994,31,0,0,0.00029567171772993544,0.00015741640430962325,0.0005758716730143165,0.0007895986346182493,0.03752517595531127,0,3.440656714347957e-05,0.00011871711125083229,0.0003,0.0003,11193.154188400036,0,True,True
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,1000000.0,0.01,0.0002,0.21693638632287215,0.119781533459976,1.2923529003810672,2768.4292251899997,31,0,0,0.0002984691524024141,4.559197437282599e-05,0.00010141873526545164,0.00014240326557746208,0.03755426840477101,0,3.4143455652870064e-05,0.00012087472106514507,0.0003,0.0003,11389.157179064332,0,True,True
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,1000000.0,0.01,0.002,0.21113080579197852,0.12307065793743566,1.2645016630747399,2751.7180306199994,31,0,0,0.00029567171772993544,0.00015741640430962325,0.0005758716730143165,0.0007895986346182493,0.03752517595531127,0,3.440656714347957e-05,0.00011871711125083229,0.0003,0.0003,11193.154188400036,0,True,True
risk-friction__threshold-0p05__capital-5e+06__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,5000000.0,0.001,0.0002,0.2176841516541841,0.11978545289529363,1.2960951327550867,13289.635778801998,32,2,0,0.000999997259655831,0.010419175058131646,0.07286569869119816,0.17062214839708095,0.040631545989272294,1,6.89738456707194e-06,2.4096631309034056e-05,0.0003,0.0003,56856.988282951075,0,True,False
risk-friction__threshold-0p05__capital-5e+06__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,5000000.0,0.001,0.002,0.2121683713932916,0.12329159819855073,1.2697354387061288,13216.684683839998,32,2,0,0.000999997259655831,0.010452346564352153,0.071956010192868,0.16988804885133335,0.040652894974861825,1,7.0102057746950196e-06,2.4084306207483586e-05,0.0003,0.0003,55723.75007543975,0,True,False
risk-friction__threshold-0p05__capital-5e+06__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,5000000.0,0.005,0.0002,0.21692762481757932,0.11978501452530665,1.2922286410126356,13842.824676467999,31,0,0,0.0014923457620120704,3.382852207499264e-05,0.00011936242657722973,0.0001677089655361952,0.03750201296983792,0,6.819658690915378e-06,2.3090802770464602e-05,0.0003,0.0003,56674.272729079334,0,True,True
risk-friction__threshold-0p05__capital-5e+06__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,5000000.0,0.005,0.002,0.211130057268329,0.12308187464672826,1.2644048803692887,13759.47643128,31,0,0,0.001478586950663757,0.0001828676903633817,0.0006045290733713293,0.0008289423360281489,0.03746248285435724,0,6.611160932902037e-06,2.4958308772082827e-05,0.0003,0.00030000000000000003,55528.94402100093,0,True,True
risk-friction__threshold-0p05__capital-5e+06__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,5000000.0,0.01,0.0002,0.21692762481757932,0.11978501452530665,1.2922286410126356,13842.824676467999,31,0,0,0.0014923457620120704,3.382852207499264e-05,0.00011936242657722973,0.0001677089655361952,0.03750201296983792,0,6.819658690915378e-06,2.3090802770464602e-05,0.0003,0.0003,56674.272729079334,0,True,True
risk-friction__threshold-0p05__capital-5e+06__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,5000000.0,0.01,0.002,0.211130057268329,0.12308187464672826,1.2644048803692887,13759.47643128,31,0,0,0.001478586950663757,0.0001828676903633817,0.0006045290733713293,0.0008289423360281489,0.03746248285435724,0,6.611160932902037e-06,2.4958308772082827e-05,0.0003,0.00030000000000000003,55528.94402100093,0,True,True
risk-friction__threshold-0p05__capital-1e+07__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,10000000.0,0.001,0.0002,0.22107767678923662,0.11613025530985355,1.3129477947482493,21234.74688051,35,8,0,0.0009999976455694868,0.0461740902802474,0.26528758289748705,0.37200916328457695,0.04536037055687306,4,3.5626359990507523e-06,1.2462177001792973e-05,0.0003,0.0003,114000.09584827548,0,True,False
risk-friction__threshold-0p05__capital-1e+07__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,10000000.0,0.001,0.002,0.21661201926000628,0.11823324483428332,1.2921657168912637,21166.093866299998,35,8,0,0.0009999976455694868,0.04599515923933113,0.2641921092522048,0.37174068587173953,0.04546075274337827,4,3.6169335701885775e-06,1.2573332167031825e-05,0.00030000000000000003,0.00030000000000000003,111717.18809346038,0,True,False
risk-friction__threshold-0p05__capital-1e+07__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,10000000.0,0.005,0.0002,0.2169278669985859,0.11978552412392407,1.2922239249492573,27685.746942414,31,0,0,0.0029847486145276607,3.748655706532632e-05,0.0001297923612438301,0.00017768139452178922,0.037497757646035176,0,3.5105684837541033e-06,1.2938304527365663e-05,0.0003,0.0003,113439.80466362802,0,True,True
risk-friction__threshold-0p05__capital-1e+07__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,10000000.0,0.005,0.002,0.21112890517949512,0.12308197065626159,1.264390491259482,27519.019066439996,31,0,0,0.002957230991831034,0.00018693594089562134,0.0006049560748931371,0.0008391869462309742,0.03745208744820874,0,3.4592493446749964e-06,1.1892652272860182e-05,0.0003,0.0003,111039.60942102071,0,True,True
risk-friction__threshold-0p05__capital-1e+07__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,10000000.0,0.01,0.0002,0.2169278669985859,0.11978552412392407,1.2922239249492573,27685.746942414,31,0,0,0.0029847486145276607,3.748655706532632e-05,0.0001297923612438301,0.00017768139452178922,0.037497757646035176,0,3.5105684837541033e-06,1.2938304527365663e-05,0.0003,0.0003,113439.80466362802,0,True,True
risk-friction__threshold-0p05__capital-1e+07__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,10000000.0,0.01,0.002,0.21112890517949512,0.12308197065626159,1.264390491259482,27519.019066439996,31,0,0,0.002957230991831034,0.00018693594089562134,0.0006049560748931371,0.0008391869462309742,0.03745208744820874,0,3.4592493446749964e-06,1.1892652272860182e-05,0.0003,0.0003,111039.60942102071,0,True,True
risk-friction__threshold-0p05__capital-5e+07__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,50000000.0,0.001,0.0002,0.2038080386521537,0.11301485954330281,1.3026578833460927,56916.086219796,51,26,0,0.0009999993938173,0.08631608439244168,0.4570306082103296,0.5310322160417157,0.052858914015713854,6,7.219403432471954e-07,2.4463927539297714e-06,0.0003,0.0003,534645.4756065913,0,True,False
risk-friction__threshold-0p05__capital-5e+07__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,50000000.0,0.001,0.002,0.2013091657425914,0.11321056207087732,1.2893660220727685,56836.541676479996,51,26,0,0.0009999993938173,0.08619392734429086,0.45691051353918616,0.5310300539140459,0.05288126198622514,6,7.35172561400142e-07,2.5196203339850065e-06,0.0003,0.0003,527783.5287421574,0,True,False
risk-friction__threshold-0p05__capital-5e+07__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,50000000.0,0.005,0.0002,0.22107948389051368,0.11613037069968268,1.3129462571665924,106174.48977413999,35,8,0,0.004999990911063495,0.04617641522801443,0.26528491679597255,0.3720014463729105,0.04536474365817475,4,6.680357807611913e-07,2.2941276399679467e-06,0.0003,0.00030000000000000003,569666.495321376,0,True,False
risk-friction__threshold-0p05__capital-5e+07__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,50000000.0,0.005,0.002,0.21661214628788206,0.11823309704375895,1.292155019005241,105830.62863054,35,8,0,0.004999990911063495,0.045997854397247726,0.2641896452714001,0.37173698023081075,0.0454636192400181,4,6.840115186952248e-07,2.3011208374890124e-06,0.0003,0.0003,558400.87101726,0,True,False
risk-friction__threshold-0p05__capital-5e+07__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,50000000.0,0.01,0.0002,0.21768606029826465,0.11978669371268902,1.2960883755604993,132897.64864032596,32,2,0,0.009999993312502523,0.010424869390133673,0.07287146560629115,0.17061496720936095,0.04063747662963907,1,6.615524656110468e-07,2.3923785641422057e-06,0.0003,0.0003,568056.3771487222,0,True,False
risk-friction__threshold-0p05__capital-5e+07__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,50000000.0,0.01,0.002,0.21216962043032872,0.1232927513725598,1.26972334290049,132168.40048517997,32,2,0,0.009999993312502523,0.010459669601164017,0.07196950915268899,0.16988470650236276,0.0406644024499328,1,7.291782043310109e-07,2.5247003649364608e-06,0.0003,0.0003,556427.6138201428,0,True,False
risk-friction__threshold-0p05__capital-1e+08__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,100000000.0,0.001,0.0002,0.18418936535443176,0.11140510531197056,1.219768094494498,89955.43335692398,70,46,1,0.0009999993938173,0.09536708419539755,0.4580850735775873,0.5502146999167934,0.0562295172113266,12,3.8209378485469035e-07,1.3311694885276282e-06,0.00030000000000000014,0.0003,1049885.5606483389,0,True,False
risk-friction__threshold-0p05__capital-1e+08__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,100000000.0,0.001,0.002,0.18218410646734484,0.11150282100020403,1.2085776846465874,89809.4190921,70,46,1,0.0009999993938173,0.09523012714687158,0.4580044325497352,0.550226462837309,0.05625434634541518,12,3.66107698962077e-07,1.2231631722203762e-06,0.00030000000000000014,0.0003,1046162.663562097,0,True,False
risk-friction__threshold-0p05__capital-1e+08__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,100000000.0,0.005,0.0002,0.22786512159372752,0.11414836640862647,1.345036347636403,169995.47403083398,37,11,0,0.00499999909972864,0.07375767102330018,0.38583707639804243,0.47267942605783914,0.04899848379308619,5,3.401240884426069e-07,1.1717261219068575e-06,0.0002999999999999999,0.00030000000000000003,1130911.5831138233,0,True,False
risk-friction__threshold-0p05__capital-1e+08__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,100000000.0,0.005,0.002,0.22423043482760963,0.11481227997366095,1.328669294738706,169639.57011539998,37,11,0,0.00499999909972864,0.07366739211625888,0.38536625635143357,0.4725927717232901,0.049025271634299566,5,3.3587892108850575e-07,1.0596786916838852e-06,0.0003,0.00030000000000000003,1113570.9712669768,0,True,False
risk-friction__threshold-0p05__capital-1e+08__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,100000000.0,0.01,0.0002,0.22107959702626312,0.11613052969496607,1.3129453428876967,212349.400625832,35,8,0,0.009999993312502523,0.04617672676535905,0.2652848528769388,0.37200140505496454,0.04536510896111909,4,3.4114403154071233e-07,1.1857881781485169e-06,0.0003,0.0003,1139240.932787239,0,True,False
risk-friction__threshold-0p05__capital-1e+08__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,100000000.0,0.01,0.002,0.21661236542787377,0.11823323802768126,1.2921550199988998,211661.58086766,35,8,0,0.009999993312502523,0.04599811410544674,0.2641895714560636,0.37173692627693344,0.04546395231651443,4,3.42251938049652e-07,1.1227278108316696e-06,0.0003,0.0003,1116714.9597831536,0,True,False
risk-friction__threshold-0p05__capital-5e+08__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,500000000.0,0.001,0.0002,0.16443368515536427,0.11051560245303405,1.077134159326202,365853.82118053193,247,233,1,0.000999999871187156,0.11943622286937411,0.36898173690678704,0.517784955845487,0.26804473091147357,122,7.6074172844805e-08,2.438208300814537e-07,0.0003,0.0003,69814917.94953705,0,True,False
risk-friction__threshold-0p05__capital-5e+08__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,500000000.0,0.001,0.002,0.1631626677476561,0.1105282965492499,1.069256548189976,365778.6764363999,247,233,1,0.000999999871187156,0.11885384685144533,0.36858057854301035,0.517777955712652,0.26821961480621714,124,7.762564033350657e-08,2.6461917118636435e-07,0.0003,0.00030000000000000003,69118632.42908055,0,True,False
risk-friction__threshold-0p05__capital-5e+08__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,500000000.0,0.005,0.0002,0.18418964460286347,0.11140521543872206,1.2197688734639633,449779.565566536,70,46,1,0.004999999813371562,0.09536655909634824,0.45808577556391655,0.5502142622077515,0.05622995205465481,12,8.120072164083643e-08,2.7329636648198985e-07,0.00030000000000000014,0.00030000000000000003,5249310.647784775,0,True,False
risk-friction__threshold-0p05__capital-5e+08__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,500000000.0,0.005,0.002,0.18218440364452282,0.11150288598139835,1.2085782726789873,449049.04912332,70,46,1,0.004999999813371562,0.09522960767925977,0.45800527514346223,0.5502256298032039,0.0562549410333989,12,7.475168112532431e-08,2.6748801368325914e-07,0.00030000000000000014,0.00030000000000000003,5230469.313274836,0,True,False
risk-friction__threshold-0p05__capital-5e+08__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,500000000.0,0.01,0.0002,0.20380834733076214,0.11301488318147623,1.3026572195552928,569163.131410044,51,26,0,0.009999998355371627,0.08631603155591548,0.45703140042291335,0.5310308446111986,0.05285969575313018,6,7.446968754783385e-08,2.463328218071936e-07,0.0003,0.0003,5345757.675623888,0,True,False
risk-friction__threshold-0p05__capital-5e+08__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,500000000.0,0.01,0.002,0.20130922291049047,0.11321083803351206,1.2893638800209186,568368.55795512,51,26,0,0.009999998355371627,0.08619384107570638,0.45691113865454674,0.5310288816322668,0.05288215290323148,6,7.451581590008119e-08,2.3410870297890796e-07,0.0003,0.00030000000000000003,5277027.52826855,0,True,False
risk-friction__threshold-0p05__capital-1e+09__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,1000000000.0,0.001,0.0002,0.13672680045088348,0.10919734222138311,0.9868098616626749,545147.01420171,356,348,1,0.000999999871187156,0.11393850864426036,0.4293281785491794,0.517773817452906,0.3749851969376994,148,4.143506672478824e-08,1.3200410942104668e-07,0.0003,0.0003,342576743.7817255,0,True,False
risk-friction__threshold-0p05__capital-1e+09__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,1000000000.0,0.001,0.002,0.1352940322616476,0.1092223068085858,0.9773324144841431,537744.6868312799,353,345,1,0.000999999871187156,0.11492683236395257,0.42973771014405976,0.5177706872199752,0.3746520181674871,148,4.038601048783312e-08,1.4018171867746787e-07,0.0003,0.00030000000000000003,341622187.00823545,0,True,False
risk-friction__threshold-0p05__capital-1e+09__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,1000000000.0,0.005,0.0002,0.17167120655530033,0.11119187331627312,1.132136066061947,839872.56027015,115,94,1,0.004999999813371562,0.10309916312495349,0.42903652645821827,0.5684775075355654,0.11953193660923045,20,3.7652972028180837e-08,1.2521151060429503e-07,0.00030000000000000003,0.00030000000000000003,10356443.702151733,0,True,False
risk-friction__threshold-0p05__capital-1e+09__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,1000000000.0,0.005,0.002,0.1697328676551182,0.11123616780814594,1.121355049946964,838067.84328708,115,94,1,0.004999999813371562,0.10291016084696503,0.42900277680584903,0.5684831979325724,0.11893304028099783,20,3.759105532710924e-08,1.3556018807481252e-07,0.00030000000000000003,0.00030000000000000003,10321343.798221007,0,True,False
risk-friction__threshold-0p05__capital-1e+09__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,1000000000.0,0.01,0.0002,0.18418966183351815,0.11140521572652318,1.2197688468535344,899559.74643996,70,46,1,0.009999999626743123,0.09536651055717657,0.45808570840964935,0.5502141721207418,0.05623005652230953,12,3.784004883533263e-08,1.2881177335888339e-07,0.00030000000000000014,0.0003,10498501.535562286,0,True,False
