scenario,model,capital,maximum_volume_ratio,slippage,annualized_return,maximum_drawdown,sharpe,total_fees,filled_order_count,capacity_limited_order_count,blocked_order_count,maximum_volume_participation,average_absolute_target_gap,p95_absolute_target_gap,maximum_absolute_target_gap,p95_all_day_exposure_drift,longest_unfinished_rebalance_days,average_rounding_error,maximum_rounding_error,average_fee_to_trade_value,maximum_fee_to_trade_value,minimum_cash,minimum_shares,event_chain_valid,engineering_capacity_gate
risk-friction__threshold-0p05__capital-10000__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,10000.0,0.001,0.0002,0.2107440383789363,0.11983770114737724,1.2743934732248092,155.0,31,0,0,2.9116156795185765e-06,0.004246036739205181,0.009505207581787717,0.010803146871622982,0.03842034059490761,0,0.0033196413621720136,0.01118848786265808,0.00473006149208597,0.025476312786755006,154.95741999999996,0,True,True
risk-friction__threshold-0p05__capital-10000__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,10000.0,0.001,0.002,0.2059107937274507,0.12206882607077585,1.2499664030601294,155.0,31,0,0,2.9116156795185765e-06,0.0036760278629183883,0.008625494521420252,0.009467162085090408,0.03966253292633816,0,0.0035153572135086576,0.011208617517109332,0.004789067846840035,0.025522262048294244,201.18039999999849,0,True,True
risk-friction__threshold-0p05__capital-10000__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,10000.0,0.005,0.0002,0.2107440383789363,0.11983770114737724,1.2743934732248092,155.0,31,0,0,2.9116156795185765e-06,0.004246036739205181,0.009505207581787717,0.010803146871622982,0.03842034059490761,0,0.0033196413621720136,0.01118848786265808,0.00473006149208597,0.025476312786755006,154.95741999999996,0,True,True
risk-friction__threshold-0p05__capital-10000__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,10000.0,0.005,0.002,0.2059107937274507,0.12206882607077585,1.2499664030601294,155.0,31,0,0,2.9116156795185765e-06,0.0036760278629183883,0.008625494521420252,0.009467162085090408,0.03966253292633816,0,0.0035153572135086576,0.011208617517109332,0.004789067846840035,0.025522262048294244,201.18039999999849,0,True,True
risk-friction__threshold-0p05__capital-10000__volume-0p01__slippage-0p0002,risk-friction__threshold-0p05,10000.0,0.01,0.0002,0.2107440383789363,0.11983770114737724,1.2743934732248092,155.0,31,0,0,2.9116156795185765e-06,0.004246036739205181,0.009505207581787717,0.010803146871622982,0.03842034059490761,0,0.0033196413621720136,0.01118848786265808,0.00473006149208597,0.025476312786755006,154.95741999999996,0,True,True
risk-friction__threshold-0p05__capital-10000__volume-0p01__slippage-0p002,risk-friction__threshold-0p05,10000.0,0.01,0.002,0.2059107937274507,0.12206882607077585,1.2499664030601294,155.0,31,0,0,2.9116156795185765e-06,0.0036760278629183883,0.008625494521420252,0.009467162085090408,0.03966253292633816,0,0.0035153572135086576,0.011208617517109332,0.004789067846840035,0.025522262048294244,201.18039999999849,0,True,True
risk-friction__threshold-0p05__capital-50000__volume-0p001__slippage-0p0002,risk-friction__threshold-0p05,50000.0,0.001,0.0002,0.21591736600361577,0.11958185379859454,1.2901371003274338,204.107105826,31,0,0,1.4900621418712714e-05,0.0008970720857625848,0.0018390584354881917,0.0019042737613981786,0.037446866271750506,0,0.0006499944362303782,0.0024163220304722066,0.0009125377630027587,0.0031845390983443757,611.4204542399912,0,True,True
risk-friction__threshold-0p05__capital-50000__volume-0p001__slippage-0p002,risk-friction__threshold-0p05,50000.0,0.001,0.002,0.21006792657829676,0.12281198919470504,1.2613586378768256,203.47483386,31,0,0,1.4729349908152799e-05,0.0006484115368014636,0.0016118954806885605,0.00200983090637874,0.0372540576982303,0,0.0006766883424417777,0.002282557737050106,0.0009142829088978699,0.0031902827560367805,636.160143120007,0,True,True
risk-friction__threshold-0p05__capital-50000__volume-0p005__slippage-0p0002,risk-friction__threshold-0p05,50000.0,0.005,0.0002,0.21591736600361577,0.11958185379859454,1.2901371003274338,204.107105826,31,0,0,1.4900621418712714e-05,0.0008970720857625848,0.0018390584354881917,0.0019042737613981786,0.037446866271750506,0,0.0006499944362303782,0.0024163220304722066,0.0009125377630027587,0.0031845390983443757,611.4204542399912,0,True,True
risk-friction__threshold-0p05__capital-50000__volume-0p005__slippage-0p002,risk-friction__threshold-0p05,50000.0,0.005,0.002,0.21006792657829676,0.12281198919470504,1.2613586378768256,203.47483386,31,0,0,1.4729349908152799e-05,0.0006484115368014636,0.0016118954806885605,0.00200983090637874,0.0372540576982303,0,0.0006766883424417777,0.002282557737050106,0.0009142829088978699,0.0031902827560367805,636.160143120007,0,True,True
