cohort,model,horizon_sessions,start_count,first_start,last_start,positive_return_rate,severe_start_rate,worst_total_return,p10_total_return,median_total_return,best_total_return,p10_annualized_return,median_annualized_return,median_maximum_drawdown,p90_maximum_drawdown,worst_maximum_drawdown,median_average_exposure,median_filled_trade_count,median_total_commission,outperform_benchmark_rate,drawdown_improvement_rate,sharpe_improvement_rate,median_total_return_difference,p10_total_return_difference
daily,buy-hold,63,1093,2021-11-29,2026-06-04,0.45105215004574567,0.0768526989935956,-0.3430632383974799,-0.1275917811878149,-0.017321435997192047,0.7490259599023157,-0.4207326182623136,-0.06750624904983848,0.14057998716625397,0.2394456566412491,0.3430632383974799,0.9903614819874462,1.0,297.04373686799994,,,,,
daily,production-ensemble__threshold-0p1,63,1093,2021-11-29,2026-06-04,0.36413540713632203,0.0,-0.09048098358824408,-0.023886374535582823,0.0,0.3525770968506541,-0.09217632775429249,0.0,0.026024390896771776,0.06483360819911832,0.09048098358824408,0.09968671776814883,3.0,228.52499161199995,0.555352241537054,0.9826166514181153,0.5007776049766719,0.010834409664910005,-0.1567963258023363
daily,risk-friction__threshold-0p05,63,1093,2021-11-29,2026-06-04,0.3421774931381519,0.0,-0.1180456025564981,-0.04279877151015628,0.0,0.4106450088317082,-0.16051488310286938,0.0,0.03588335088643413,0.09759750001989191,0.11980090245111963,0.11332676112895071,3.0,167.26526636399998,0.5370539798719122,0.9826166514181153,0.4447900466562986,0.006689546188286211,-0.1567924133578942
daily,buy-hold,126,1030,2021-11-29,2026-03-03,0.4980582524271845,0.1970873786407767,-0.29951821119421596,-0.17438024771359784,-0.001877815794768034,0.6861929530014881,-0.3183520230672199,-0.0037519086181915795,0.18926167023395074,0.2825347304181066,0.402680231696676,0.9904404497597825,1.0,297.04433698799994,,,,,
daily,production-ensemble__threshold-0p1,126,1030,2021-11-29,2026-03-03,0.44271844660194176,0.0,-0.09048098358824408,-0.03823247465232642,0.0,0.35769269434791995,-0.07500322622437686,0.0,0.05630909514631999,0.08040520760214322,0.09048098358824408,0.11966466946737155,6.0,486.501863862,0.5097087378640777,1.0,0.6543909348441926,0.005854871574280163,-0.21075780861928825
daily,risk-friction__threshold-0p05,126,1030,2021-11-29,2026-03-03,0.40485436893203886,0.0,-0.1180456025564981,-0.04770432187017992,0.0,0.4074828272267761,-0.09313294141526607,0.0,0.04801147749772733,0.11735822934050677,0.11980090245111963,0.15345940992278745,6.0,370.28329292999996,0.48058252427184467,1.0,0.46458923512747874,-0.00623566767734085,-0.20849043704926898
daily,buy-hold,252,904,2021-11-29,2025-08-19,0.5630530973451328,0.4469026548672566,-0.3651725373973601,-0.27715672785621515,0.11026881627808116,1.3582025450005282,-0.27715672785621515,0.11026881627808116,0.23975019867321434,0.3704184572859018,0.4128066015498927,0.990421915563241,1.0,297.04487709599994,,,,,
daily,production-ensemble__threshold-0p1,252,904,2021-11-29,2025-08-19,0.5287610619469026,0.0,-0.09048098358824408,-0.06026191928090563,0.12782804438916007,0.5538405255021359,-0.06026191928090563,0.12782804438916007,0.05917318385986675,0.09002884392821209,0.09048098358824408,0.12507405211692593,15.0,1379.0698324439995,0.4944690265486726,1.0,0.7319711538461539,-0.0018349183477086584,-0.2950912844678657
daily,risk-friction__threshold-0p05,252,904,2021-11-29,2025-08-19,0.5298672566371682,0.0,-0.1180456025564981,-0.0902688353415213,0.12525898732196794,0.5922748417635397,-0.0902688353415213,0.12525898732196794,0.10305750351395926,0.11976738103293616,0.1197864017625071,0.1494114722364196,14.0,1185.0486159719999,0.4646017699115044,1.0,0.6646634615384616,-0.012931278935307489,-0.29254775814270256
daily,buy-hold,504,652,2021-11-29,2024-08-05,0.5521472392638037,0.8021472392638037,-0.47884950839387996,-0.3691173472149384,0.03273023072981507,1.9920833770043678,-0.20571878298095594,0.01623321598971872,0.4208108342138188,0.43994035234612305,0.48867332228681004,0.9892943652996502,1.0,297.04504212899997,,,,,
