model,start_date,end_date,calendar_sessions,total_return,annualized_return,maximum_drawdown,sharpe,average_exposure,filled_trade_count,total_commission,first_trade_date,first_trade_price,first_trade_shares,first_trade_commission
risk-friction__threshold-0p05,2023-12-25,2026-09-01,651,0.6606394397148099,0.2169363863228726,0.11978153345997611,1.2923529003810685,0.3323549918116783,31,2768.4292251899997,2024-09-30,0.85017,575600,146.8073556
production-ensemble__threshold-0p1,2023-12-25,2026-09-01,651,0.6418582138778544,0.2115901542870906,0.08040063294733124,1.3945650283702904,0.24036258003374586,36,2938.0010621459996,2024-09-30,0.85017,575600,146.8073556
buy-hold,2023-12-25,2026-09-01,651,0.953679176704332,0.29595032193585413,0.300947255129816,0.8451395036761942,0.9921489661371699,1,297.037735668,2023-12-25,0.8861772,1117300,297.037735668
