model,horizon_sessions,trend_regime,volatility_regime,start_count,positive_return_rate,severe_start_rate,median_total_return,median_maximum_drawdown,outperform_benchmark_rate,drawdown_improvement_rate
production-ensemble__threshold-0p1,63,downtrend,high-vol,38,0.0,0.0,0.0,0.0,0.5263157894736842,1.0
production-ensemble__threshold-0p1,63,downtrend,normal-vol,511,0.16046966731898238,0.0,0.0,0.0,0.639921722113503,0.9628180039138943
production-ensemble__threshold-0p1,63,transition,high-vol,14,0.5,0.0,-0.001141858101662896,0.02095719054966838,0.5,1.0
production-ensemble__threshold-0p1,63,transition,normal-vol,108,0.17592592592592593,0.0,0.0,0.018005184894639314,0.7037037037037037,1.0
production-ensemble__threshold-0p1,63,uptrend,high-vol,146,0.6917808219178082,0.0,0.01777161542529604,0.039451012288200304,0.4931506849315068,1.0
production-ensemble__threshold-0p1,63,uptrend,normal-vol,276,0.6847826086956522,0.0,0.026110934168387834,0.05711794799099462,0.3804347826086957,1.0
risk-friction__threshold-0p05,63,downtrend,high-vol,38,0.0,0.0,0.0,0.0,0.5263157894736842,1.0
risk-friction__threshold-0p05,63,downtrend,normal-vol,511,0.1506849315068493,0.0,0.0,0.0,0.6340508806262231,0.9628180039138943
risk-friction__threshold-0p05,63,transition,high-vol,14,0.5714285714285714,0.0,0.0009363773642580009,0.036704013978193284,0.5,1.0
risk-friction__threshold-0p05,63,transition,normal-vol,108,0.06481481481481481,0.0,0.0,0.024048057537820855,0.6759259259259259,1.0
risk-friction__threshold-0p05,63,uptrend,high-vol,146,0.7397260273972602,0.0,0.026435325829778922,0.056284127179235866,0.5616438356164384,1.0
risk-friction__threshold-0p05,63,uptrend,normal-vol,276,0.6304347826086957,0.0,0.024619279354598178,0.06743882543479812,0.29347826086956524,1.0
production-ensemble__threshold-0p1,126,downtrend,high-vol,38,0.0,0.0,0.0,0.0,0.6578947368421053,1.0
production-ensemble__threshold-0p1,126,downtrend,normal-vol,511,0.2700587084148728,0.0,0.0,0.029670948711684964,0.5401174168297456,1.0
production-ensemble__threshold-0p1,126,transition,high-vol,14,0.8571428571428571,0.0,0.017850158063040023,0.05711786419203868,0.2857142857142857,1.0
production-ensemble__threshold-0p1,126,transition,normal-vol,103,0.009708737864077669,0.0,-0.005819476622763942,0.016190906945359962,0.9902912621359223,1.0
production-ensemble__threshold-0p1,126,uptrend,high-vol,114,0.868421052631579,0.0,0.025899966883210945,0.05917244590012488,0.43859649122807015,1.0
production-ensemble__threshold-0p1,126,uptrend,normal-vol,250,0.824,0.0,0.12074416036242108,0.05917305071635215,0.272,1.0
risk-friction__threshold-0p05,126,downtrend,high-vol,38,0.0,0.0,0.0,0.0,0.6578947368421053,1.0
risk-friction__threshold-0p05,126,downtrend,normal-vol,511,0.2720156555772994,0.0,0.0,0.031546214236049974,0.5264187866927593,1.0
risk-friction__threshold-0p05,126,transition,high-vol,14,0.7857142857142857,0.0,0.008686736374746151,0.10306313260358974,0.2857142857142857,1.0
