execution_date,symbol,rank,selected
2019-01-02,SZ000636,1,True
2019-01-02,SH600097,2,True
2019-01-02,SH600230,3,True
2019-01-02,SZ300159,4,True
2019-01-02,SH600596,5,True
2019-01-02,SH600382,6,True
2019-01-02,SZ300061,7,True
2019-01-02,SZ000910,8,True
2019-01-02,SZ000791,9,True
2019-01-02,SH603980,10,True
2019-01-02,SH601126,11,True
2019-01-02,SZ002884,12,True
2019-01-02,SZ002530,13,True
2019-01-02,SH600383,14,True
2019-01-02,SZ002396,15,True
2019-01-02,SZ002541,16,True
2019-01-02,SH603669,17,True
2019-01-02,SH600668,18,True
2019-01-02,SZ300145,19,True
2019-01-02,SH600720,20,True
2019-02-01,SH600097,1,True
2019-02-01,SZ000636,2,True
2019-02-01,SH600230,3,True
2019-02-01,SZ300159,4,True
2019-02-01,SH600596,5,True
2019-02-01,SZ000791,6,True
2019-02-01,SH600382,7,True
2019-02-01,SZ002530,8,True
2019-02-01,SZ000910,9,True
2019-02-01,SH603980,10,True
2019-02-01,SH600668,11,True
2019-02-01,SZ300145,12,True
2019-02-01,SZ002884,13,True
2019-02-01,SZ002517,14,True
2019-02-01,SH603669,15,True
2019-02-01,SZ001914,16,True
2019-02-01,SZ300061,17,True
2019-02-01,SH600720,18,True
2019-02-01,SZ002359,19,True
2019-02-01,SZ002541,20,True
2019-03-01,SH600097,1,True
2019-03-01,SZ000636,2,True
2019-03-01,SH600230,3,True
2019-03-01,SH600596,4,True
2019-03-01,SZ300159,5,True
2019-03-01,SZ000791,6,True
2019-03-01,SH600382,7,True
2019-03-01,SH603980,8,True
2019-03-01,SZ002884,9,True
2019-03-01,SZ000910,10,True
2019-03-01,SZ002541,11,True
2019-03-01,SH600668,12,True
2019-03-01,SH600383,13,True
2019-03-01,SZ002406,14,True
2019-03-01,SH601126,15,True
2019-03-01,SZ002396,16,True
2019-03-01,SH600720,17,True
2019-03-01,SZ002530,18,True
2019-03-01,SZ001914,19,True
2019-03-01,SH603858,20,True
2019-04-01,SH600097,1,True
2019-04-01,SH600823,2,True
2019-04-01,SH600596,3,True
2019-04-01,SH600971,4,True
2019-04-01,SZ000910,5,True
2019-04-01,SH601006,6,True
2019-04-01,SH603980,7,True
2019-04-01,SZ300230,8,True
2019-04-01,SZ000919,9,True
2019-04-01,SH600668,10,True
2019-04-01,SZ300061,11,True
2019-04-01,SH600782,12,True
2019-04-01,SZ002406,13,True
2019-04-01,SZ000402,14,True
2019-04-01,SH603858,15,True
2019-04-01,SH600051,16,True
2019-04-01,SH600884,17,True
2019-04-01,SZ002541,18,True
2019-04-01,SZ002150,19,True
2019-04-01,SH600801,20,True
2019-05-06,SZ002195,1,True
2019-05-06,SH600261,2,True
2019-05-06,SZ000919,3,True
2019-05-06,SH600269,4,True
2019-05-06,SH600382,5,True
2019-05-06,SZ000581,6,True
2019-05-06,SZ000636,7,True
2019-05-06,SH600173,8,True
2019-05-06,SH601006,9,True
2019-05-06,SZ000999,10,True
2019-05-06,SH600677,11,True
2019-05-06,SH600694,12,True
2019-05-06,SZ002406,13,True
2019-05-06,SH600587,14,True
2019-05-06,SZ002884,15,True
2019-05-06,SZ002635,16,True
2019-05-06,SH600603,17,True
2019-05-06,SH603585,18,True
2019-05-06,SH600426,19,True
2019-05-06,SH600328,20,True
2019-06-03,SZ002195,1,True
2019-06-03,SH600261,2,True
2019-06-03,SZ000919,3,True
2019-06-03,SZ000636,4,True
2019-06-03,SH600269,5,True
2019-06-03,SH600382,6,True
2019-06-03,SZ002884,7,True
2019-06-03,SZ000999,8,True
2019-06-03,SZ000581,9,True
2019-06-03,SH600173,10,True
2019-06-03,SZ002635,11,True
2019-06-03,SH600677,12,True
2019-06-03,SH601006,13,True
2019-06-03,SZ002406,14,True
2019-06-03,SZ000789,15,True
2019-06-03,SH600516,16,True
2019-06-03,SH600694,17,True
2019-06-03,SH601222,18,True
2019-06-03,SH600062,19,True
2019-06-03,SH600603,20,True
2019-07-01,SZ002195,1,True
2019-07-01,SH600261,2,True
2019-07-01,SZ000919,3,True
2019-07-01,SZ000636,4,True
2019-07-01,SH600269,5,True
2019-07-01,SH600382,6,True
2019-07-01,SH601006,7,True
2019-07-01,SZ000581,8,True
2019-07-01,SZ002884,9,True
2019-07-01,SH600173,10,True
2019-07-01,SH600694,11,True
2019-07-01,SH600677,12,True
2019-07-01,SZ002635,13,True
2019-07-01,SZ002406,14,True
2019-07-01,SH600516,15,True
2019-07-01,SH603980,16,True
2019-07-01,SZ000999,17,True
2019-07-01,SH600062,18,True
2019-07-01,SH601222,19,True
2019-07-01,SH600603,20,True
2019-08-01,SZ002195,1,True
2019-08-01,SZ000919,2,True
2019-08-01,SH600261,3,True
2019-08-01,SZ000636,4,True
2019-08-01,SZ002884,5,True
2019-08-01,SH600269,6,True
2019-08-01,SZ000789,7,True
2019-08-01,SH600173,8,True
2019-08-01,SZ000581,9,True
2019-08-01,SH601006,10,True
2019-08-01,SH603980,11,True
2019-08-01,SH600694,12,True
2019-08-01,SZ002635,13,True
2019-08-01,SZ000155,14,True
2019-08-01,SH600516,15,True
2019-08-01,SZ000999,16,True
2019-08-01,SZ002406,17,True
2019-08-01,SZ300349,18,True
2019-08-01,SH601222,19,True
2019-08-01,SH600995,20,True
2019-09-02,SH600449,1,True
2019-09-02,SH600261,2,True
2019-09-02,SH600720,3,True
2019-09-02,SH600516,4,True
2019-09-02,SH600823,5,True
2019-09-02,SH600387,6,True
2019-09-02,SH600376,7,True
2019-09-02,SH603277,8,True
2019-09-02,SH601567,9,True
2019-09-02,SZ002406,10,True
2019-09-02,SZ002195,11,True
2019-09-02,SH600782,12,True
2019-09-02,SZ300017,13,True
2019-09-02,SZ000581,14,True
2019-09-02,SH603608,15,True
2019-09-02,SZ002444,16,True
2019-09-02,SZ000789,17,True
2019-09-02,SZ002150,18,True
2019-09-02,SH600382,19,True
2019-09-02,SH600328,20,True
2019-10-08,SH600449,1,True
2019-10-08,SZ002440,2,True
2019-10-08,SH600261,3,True
2019-10-08,SH600668,4,True
2019-10-08,SZ002406,5,True
2019-10-08,SZ000581,6,True
2019-10-08,SH601019,7,True
2019-10-08,SZ002195,8,True
2019-10-08,SH603608,9,True
2019-10-08,SH603898,10,True
2019-10-08,SZ300017,11,True
2019-10-08,SH600720,12,True
2019-10-08,SZ002150,13,True
2019-10-08,SH600782,14,True
2019-10-08,SH603277,15,True
2019-10-08,SH600382,16,True
2019-10-08,SZ002444,17,True
2019-10-08,SZ000719,18,True
2019-10-08,SH600376,19,True
2019-10-08,SH600387,20,True
2019-11-01,SH600382,1,True
2019-11-01,SH600449,2,True
2019-11-01,SZ000910,3,True
2019-11-01,SH600720,4,True
2019-11-01,SZ002884,5,True
2019-11-01,SZ000933,6,True
2019-11-01,SH600510,7,True
2019-11-01,SH600267,8,True
2019-11-01,SZ000791,9,True
2019-11-01,SZ002444,10,True
2019-11-01,SH600261,11,True
2019-11-01,SZ002150,12,True
2019-11-01,SH601006,13,True
2019-11-01,SH600097,14,True
2019-11-01,SH601222,15,True
2019-11-01,SZ000069,16,True
2019-11-01,SZ000932,17,True
2019-11-01,SH603886,18,True
2019-11-01,SZ300625,19,True
2019-11-01,SZ002664,20,True
2019-12-02,SH600382,1,True
2019-12-02,SH600510,2,True
