trade_date,event,symbol,amount,cash_after
,initial_cash,,10000000.0,10000000.0
2019-01-02,buy,SZ000636,-500998.1544363956,9499001.845563604
2019-01-02,buy,SH600097,-500660.8183671681,8998341.027196435
2019-01-02,buy,SH600230,-500127.9653554716,8498213.061840964
2019-01-02,buy,SZ300159,-501102.7229916152,7997110.338849349
2019-01-02,buy,SH600596,-501039.1734232766,7496071.165426073
2019-01-02,buy,SH600382,-501034.5943837894,6995036.571042283
2019-01-02,buy,SZ300061,-500894.93924736464,6494141.631794918
2019-01-02,buy,SZ000910,-501109.5023922265,5993032.1294026915
2019-01-02,buy,SZ000791,-500937.3354971427,5492094.793905549
2019-01-02,buy,SH603980,-500623.7920901348,4991471.001815414
2019-01-02,buy,SH601126,-501038.1948052706,4490432.807010143
2019-01-02,buy,SZ002884,-500850.7357373171,3989582.071272826
2019-01-02,buy,SZ002530,-501073.2406664846,3488508.8306063414
2019-01-02,buy,SH600383,-500999.24646818015,2987509.584138161
2019-01-02,buy,SZ002396,-499669.44984219375,2487840.1342959674
2019-01-02,buy,SZ002541,-500965.06189213344,1986875.072403834
2019-01-02,buy,SH603669,-501111.2556459349,1485763.816757899
2019-01-02,buy,SH600668,-500448.3875256047,985315.4292322943
2019-01-02,buy,SZ300145,-500974.8559820042,484340.5732502901
2019-01-02,buy,SH600720,-483796.972649193,543.6006010971032
2019-02-01,sell,SH600097,12579.147670677377,13122.74827177448
2019-02-01,sell,SH600383,573465.6954930548,586588.4437648293
2019-02-01,sell,SH600720,1716.3820344973565,588304.8257993266
2019-02-01,sell,SH601126,537045.4861690392,1125350.3119683657
2019-02-01,sell,SH603980,9411.218589565182,1134761.530557931
2019-02-01,sell,SZ000910,19984.990885053638,1154746.5214429845
2019-02-01,sell,SZ002396,503232.81660378986,1657979.3380467743
2019-02-01,sell,SZ002541,1037.0462045675279,1659016.3842513417
2019-02-01,sell,SZ002884,1264.2151625070571,1660280.5994138487
2019-02-01,sell,SZ300061,64099.08074482198,1724379.6801586708
2019-02-01,buy,SZ000636,-26390.203653441124,1697989.4765052297
2019-02-01,buy,SH600230,-10874.330061912537,1687115.1464433172
2019-02-01,buy,SZ300159,-6391.203868865967,1680723.9425744512
2019-02-01,buy,SH600596,-3835.168258857727,1676888.7743155935
2019-02-01,buy,SZ000791,-9905.64665555954,1666983.127660034
2019-02-01,buy,SH600382,-17347.601795039976,1649635.525864994
2019-02-01,buy,SZ002530,-76213.85955745193,1573421.666307542
2019-02-01,buy,SH600668,-11408.20321788788,1562013.4630896542
2019-02-01,buy,SZ300145,-38562.240791188975,1523451.2222984652
2019-02-01,buy,SZ002517,-500936.4364073825,1022514.7858910827
2019-02-01,buy,SH603669,-23278.10519713572,999236.680693947
2019-02-01,buy,SZ001914,-500767.1585287681,498469.5221651789
2019-02-01,buy,SZ002359,-498300.0822264805,169.43993869842961
2019-03-01,sell,SH600230,26057.034114846498,26226.474053544927
2019-03-01,sell,SH603669,609893.6205515667,636120.0946051116
2019-03-01,sell,SZ000636,61233.88732429035,697353.981929402
2019-03-01,sell,SZ002359,716678.6368651233,1414032.6187945253
2019-03-01,sell,SZ002517,683528.0873529537,2097560.706147479
2019-03-01,sell,SZ002530,151351.7969270595,2248912.5030745384
2019-03-01,sell,SZ300061,659063.1842581126,2907975.687332651
