execution_date,target_count,actual_holding_count,pending_after_first_attempt,orders_first_attempt
2009-01-05,15,12,True,14
2009-02-02,15,13,True,15
2009-03-02,15,13,True,15
2009-04-01,14,13,True,14
2009-05-04,11,11,True,15
2009-06-01,11,11,True,12
2009-07-01,11,11,True,9
2009-08-03,11,11,True,8
2009-09-01,12,12,True,11
2009-10-09,13,13,True,11
2009-11-02,12,13,True,13
2009-12-01,12,13,True,14
2010-01-04,10,13,True,14
2010-02-01,10,13,True,14
2010-03-01,8,13,True,14
2010-04-01,9,13,True,15
2010-05-04,50,31,True,55
2010-06-01,50,33,True,54
2010-07-01,50,39,True,52
2010-08-02,50,39,True,50
2010-09-01,50,39,True,55
2010-10-08,50,39,True,52
2010-11-01,50,40,True,52
2010-12-01,50,40,True,54
2011-01-04,50,40,True,54
2011-02-01,50,39,True,54
2011-03-01,50,40,True,54
2011-04-01,50,40,True,51
2011-05-03,50,39,True,59
2011-06-01,50,38,True,55
2011-07-01,50,38,True,54
2011-08-01,50,39,True,55
2011-09-01,50,41,True,56
2011-10-10,50,40,True,56
2011-11-01,50,40,True,59
2011-12-01,50,40,True,53
2012-01-04,50,39,True,57
2012-02-01,50,39,True,55
2012-03-01,50,40,True,55
2012-04-05,50,41,True,59
2012-05-02,50,39,True,67
2012-06-01,50,40,True,57
2012-07-02,50,41,True,56
2012-08-01,50,42,True,56
2012-09-03,50,41,True,61
2012-10-08,50,41,True,59
2012-11-01,50,39,True,60
2012-12-03,50,39,True,56
2013-01-04,50,41,True,56
2013-02-01,50,41,True,54
2013-03-01,50,41,True,56
2013-04-01,50,39,True,63
2013-05-02,50,39,True,65
2013-06-03,50,40,True,60
2013-07-01,50,40,True,57
2013-08-01,50,41,True,56
2013-09-02,50,40,True,62
2013-10-08,50,38,True,58
2013-11-01,50,38,True,59
2013-12-02,50,39,True,56
2014-01-02,50,39,True,56
2014-02-07,50,39,True,55
2014-03-03,50,39,True,57
2014-04-01,50,40,True,56
2014-05-05,50,38,True,62
2014-06-03,50,38,True,58
2014-07-01,50,38,True,56
2014-08-01,50,40,True,54
2014-09-01,50,41,True,52
2014-10-08,50,43,True,53
2014-11-03,50,46,True,54
2014-12-01,50,47,True,52
2015-01-05,50,47,True,57
2015-02-02,50,49,True,56
2015-03-02,50,47,True,58
2015-04-01,50,49,True,59
2015-05-04,50,49,True,61
2015-06-01,50,51,True,56
2015-07-01,50,53,True,53
2015-08-03,50,53,True,51
2015-09-01,50,52,True,54
2015-10-08,50,51,True,54
2015-11-02,50,51,True,54
2015-12-01,50,52,True,58
2016-01-04,50,51,True,59
2016-02-01,50,52,True,60
2016-03-01,50,50,True,60
2016-04-01,50,50,True,60
2016-05-03,50,50,True,69
2016-06-01,50,50,True,58
2016-07-01,50,51,True,58
2016-08-01,50,51,True,59
2016-09-01,50,51,True,65
2016-10-10,50,53,True,58
2016-11-01,50,51,True,67
2016-12-01,50,51,True,60
2017-01-03,50,51,True,60
2017-02-03,50,51,True,58
2017-03-01,50,50,True,59
2017-04-05,50,49,True,68
2017-05-02,50,49,True,75
2017-06-01,50,49,True,61
2017-07-03,50,51,True,55
2017-08-01,50,53,True,59
2017-09-01,50,51,True,60
2017-10-09,50,50,True,57
2017-11-01,50,51,True,61
2017-12-01,50,53,True,59
2018-01-02,50,53,True,60
2018-02-01,50,48,True,97
2018-03-01,50,48,True,63
2018-04-02,50,46,True,68
2018-05-02,50,47,True,82
2018-06-01,50,46,True,85
2018-07-02,50,46,True,67
2018-08-01,50,48,True,70
2018-09-03,50,46,True,74
2018-10-08,50,48,True,65
2018-11-01,50,47,True,74
2018-12-03,50,48,True,62
2019-01-02,50,48,True,64
2019-02-01,50,47,True,64
2019-03-01,50,48,True,66
2019-04-01,50,48,True,65
2019-05-06,50,47,True,80
2019-06-03,50,47,True,65
2019-07-01,50,48,True,63
2019-08-01,50,48,True,63
2019-09-02,50,46,True,72
2019-10-08,50,47,True,64
2019-11-01,50,46,True,70
2019-12-02,50,47,True,63
