model,trade_date,cash,positions_value,total_value,daily_return,cash_ratio,holdings
m0,2014-01-02,9538.857552034082,991662.7000000001,1001201.5575520342,0.0012015575520341049,0.00952740982081256,SH513100
m0,2014-01-03,9538.857552034082,984876.3,994415.1575520341,-0.006778255535871303,0.009592429760942123,SH513100
m0,2014-01-06,9538.857552034082,981483.1,991021.9575520341,-0.0034122569172749806,0.009625273667595038,SH513100
m0,2014-01-07,9538.857552034082,980634.7999999999,990173.657552034,-0.0008559850702959393,0.009633519816732562,SH513100
m0,2014-01-08,9538.857552034082,995055.9,1004594.7575520341,0.014564212943871668,0.00949522927561167,SH513100
m0,2014-01-09,9538.857552034082,994207.6,1003746.4575520341,-0.000844420094394227,0.009503254014263447,SH513100
m0,2014-01-10,9538.857552034082,993359.3,1002898.1575520341,-0.0008451337423085459,0.00951129232834309,SH513100
m0,2014-01-13,9538.857552034082,992510.9999999999,1002049.857552034,-0.0008458485974994767,0.009519344252328036,SH513100
m0,2014-01-14,9538.857552034082,981483.1,991021.9575520341,-0.011005340619418491,0.009625273667595038,SH513100
m0,2014-01-15,9538.857552034082,990814.3999999999,1000353.257552034,0.009415835773255221,0.009535489068508294,SH513100
m0,2014-01-16,9538.857552034082,1001842.3,1011381.1575520341,0.01102400568673767,0.009431515982680666,SH513100
m0,2014-01-17,9538.857552034082,1003538.9,1013077.7575520341,0.001677508016964202,0.009415721035158689,SH513100
m0,2014-01-20,9538.857552034082,1000994.0,1010532.8575520341,-0.0025120480447121674,0.009439433345236782,SH513100
m0,2014-01-21,9538.857552034082,1002690.6,1012229.4575520341,0.0016789162146690906,0.009423611890433186,SH513100
m0,2014-01-22,9538.857552034082,1002690.6,1012229.4575520341,0.0,0.009423611890433186,SH513100
m0,2014-01-23,9538.857552034082,1010325.3,1019864.1575520341,0.007542459807940993,0.00935306676031254,SH513100
m0,2014-01-24,9538.857552034082,1006083.7999999999,1015622.657552034,-0.004158887209234741,0.009392127559487193,SH513100
m0,2014-01-27,9538.857552034082,985724.6,995263.4575520341,-0.02004602777282649,0.009584253776880354,SH513100
m0,2014-01-28,9538.857552034082,984027.9999999999,993566.857552034,-0.0017046742620020483,0.00960061970619277,SH513100
m0,2014-01-29,9538.857552034082,995904.2,1005443.057552034,0.011953095969063243,0.009487218078026684,SH513100
m0,2014-01-30,9538.857552034082,986572.9,996111.7575520341,-0.009280784157701505,0.009576091718338942,SH513100
m0,2014-02-07,9538.857552034082,984027.9999999999,993566.857552034,-0.002554833813280477,0.00960061970619277,SH513100
m0,2014-02-10,9538.857552034082,994207.6,1003746.4575520341,0.010245510830625637,0.009503254014263447,SH513100
m0,2014-02-11,9538.857552034082,993359.3,1002898.1575520341,-0.0008451337423085459,0.00951129232834309,SH513100
m0,2014-02-12,9538.857552034082,1004387.2,1013926.057552034,0.010996031767490644,0.009407843383633084,SH513100
m0,2014-02-13,9538.857552034082,998449.1000000001,1007987.9575520342,-0.005856541466481735,0.00946326538979675,SH513100
m0,2014-02-14,9538.857552034082,1003538.9,1013077.7575520341,0.005049465087222815,0.009415721035158689,SH513100
m0,2014-02-17,9538.857552034082,1006932.1000000001,1016470.9575520342,0.0033493973929497045,0.00938428932097234,SH513100
m0,2014-02-18,9538.857552034082,1004387.2,1013926.057552034,-0.002503662284782826,0.009407843383633084,SH513100
m0,2014-02-19,9538.857552034082,1014566.7999999999,1024105.657552034,0.010039785371111831,0.009314329514432371,SH513100
m0,2014-02-20,9538.857552034082,1008628.7000000001,1018167.5575520342,-0.005798327502841816,0.009368652027145926,SH513100
m0,2014-02-21,9538.857552034082,1020504.9,1030043.7575520341,0.011664288369739095,0.009260633329504173,SH513100
m0,2014-02-24,9538.857552034082,1017960.0,1027498.8575520341,-0.0024706717373329523,0.009283569983483918,SH513100
m0,2014-02-25,9538.857552034082,1030684.5000000001,1040223.3575520342,0.012383955375206535,0.009170009001222536,SH513100
m0,2014-02-26,9538.857552034082,1039167.5000000001,1048706.3575520343,0.008154979349784375,0.009095832673600233,SH513100
m0,2014-02-27,9538.857552034082,1040864.1000000001,1050402.9575520342,0.0016178027221653846,0.009081141178680995,SH513100
m0,2014-02-28,9538.857552034082,1060375.0,1069913.857552034,0.01857468113519989,0.0089155379049478,SH513100
m0,2014-03-03,9538.857552034082,1051043.7000000002,1060582.5575520343,-0.00872154326643626,0.008993979284414252,SH513100
m0,2014-03-04,9538.857552034082,1039167.5000000001,1048706.3575520343,-0.011197808143678878,0.009095832673600233,SH513100
m0,2014-03-05,9538.857552034082,1051892.0,1061430.857552034,0.012133520416241383,0.008986791258390057,SH513100
m0,2014-03-06,9538.857552034082,1045953.9,1055492.7575520342,-0.005594429404186418,0.009037350075387732,SH513100
m0,2014-03-07,9538.857552034082,1044257.3,1053796.1575520341,-0.0016074008920108351,0.009051900107695235,SH513100
m0,2014-03-10,9538.857552034082,1034926.0,1044464.8575520341,-0.008854938341848473,0.009132770224927235,SH513100
m0,2014-03-11,9538.857552034082,1035774.3,1045313.1575520341,0.0008121862539141045,0.009125358734001443,SH513100
m0,2014-03-12,9538.857552034082,1030684.5000000001,1040223.3575520342,-0.004869162856343867,0.009170009001222536,SH513100
m0,2014-03-13,9538.857552034082,1034077.7000000001,1043616.5575520342,0.0032619917399137055,0.009140193764661,SH513100
m0,2014-03-14,9538.857552034082,1015415.1000000001,1024953.9575520342,-0.017882621605559867,0.009306620538171656,SH513100
m0,2014-03-17,9538.857552034082,1008628.7000000001,1018167.5575520342,-0.0066211754684165625,0.009368652027145926,SH513100
m0,2014-03-18,9538.857552034082,1024746.4,1034285.2575520341,0.015830105644646153,0.009222656401978339,SH513100
m0,2014-03-19,9538.857552034082,1040015.7999999999,1049554.6575520341,0.014763238563546777,0.009088480988958092,SH513100
m0,2014-03-20,9538.857552034082,1028987.9,1038526.7575520341,-0.010507218390818585,0.009184989681458592,SH513100
m0,2014-03-21,9538.857552034082,1034926.0,1044464.8575520341,0.005717811271417794,0.009132770224927235,SH513100
m0,2014-03-24,9538.857552034082,1023049.7999999999,1032588.657552034,-0.01137060755479602,0.009237809734079325,SH513100
m0,2014-03-25,9538.857552034082,1015415.1000000001,1024953.9575520342,-0.0073937476885515,0.009306620538171656,SH513100
m0,2014-03-26,9538.857552034082,1016263.3999999999,1025802.257552034,0.0008276469335519732,0.009298924311979515,SH513100
m0,2014-03-27,9538.857552034082,1000145.7000000001,1009684.5575520342,-0.015712287510911693,0.009447364011549218,SH513100
m0,2014-03-28,9538.857552034082,995055.9,1004594.7575520341,-0.005040980335819123,0.00949522927561167,SH513100
m0,2014-03-31,9538.857552034082,997600.7999999999,1007139.657552034,0.002533260283182459,0.009471236169191615,SH513100
m0,2014-04-01,9538.857552034082,1012021.9,1021560.7575520341,0.01431886818462913,0.009337533261254128,SH513100
m0,2014-04-02,9538.857552034082,1029836.2,1039375.057552034,0.017438316681905874,0.009177493227998249,SH513100
m0,2014-04-03,9538.857552034082,1026443.0,1035981.8575520341,-0.003264654058556804,0.009207552702297178,SH513100
m0,2014-04-04,9538.857552034082,1017111.7000000001,1026650.5575520342,-0.0090072040663427,0.009291240804250594,SH513100
m0,2014-04-08,9538.857552034082,984876.3,994415.1575520341,-0.03139860954915641,0.009592429760942123,SH513100
m0,2014-04-09,9538.857552034082,990814.3999999999,1000353.257552034,0.005971449605230994,0.009535489068508294,SH513100
m0,2014-04-10,9538.857552034082,1000994.0,1010532.8575520341,0.010176005249296294,0.009439433345236782,SH513100
m0,2014-04-11,9538.857552034082,968758.6,978297.4575520341,-0.03189940807871272,0.00975046748654841,SH513100
m0,2014-04-14,9538.857552034082,961972.2,971511.057552034,-0.006936949439673934,0.009818578468957036,SH513100
m0,2014-04-15,9538.857552034082,966213.7,975752.557552034,0.004365879283646512,0.009775898078058998,SH513100
m0,2014-04-16,9538.857552034082,971303.5,980842.3575520341,0.0052162814851024475,0.009725168859796149,SH513100
m0,2014-04-17,9538.857552034082,979786.5,989325.3575520341,0.00864868848157374,0.009641780107240788,SH513100
m0,2014-04-18,9538.857552034082,978938.2,988477.057552034,-0.0008574530042362305,0.009650054575527617,SH513100
m0,2014-04-21,9538.857552034082,981483.1,991021.9575520341,0.00257456658255939,0.009625273667595038,SH513100
m0,2014-04-22,9538.857552034082,989117.7999999999,998656.657552034,0.007703865632663343,0.009551688740969585,SH513100
m0,2014-04-23,9538.857552034082,994207.6,1003746.4575520341,0.0050966465416417694,0.009503254014263447,SH513100
m0,2014-04-24,9538.857552034082,998449.1000000001,1007987.9575520342,0.0042256687115433955,0.00946326538979675,SH513100
m0,2014-04-25,9538.857552034082,998449.1000000001,1007987.9575520342,0.0,0.00946326538979675,SH513100
m0,2014-04-28,9538.857552034082,979786.5,989325.3575520341,-0.018514705319817026,0.009641780107240788,SH513100
m0,2014-04-29,9538.857552034082,983179.7000000001,992718.5575520342,0.0034298120169447,0.009608823648422726,SH513100
m0,2014-04-30,9538.857552034082,992510.9999999999,1002049.857552034,0.009399743692724005,0.009519344252328036,SH513100
m0,2014-05-05,9538.857552034082,995904.2,1005443.057552034,0.0033862586521289373,0.009487218078026684,SH513100
m0,2014-05-06,9538.857552034082,1001842.3,1011381.1575520341,0.005905953554901089,0.009431515982680666,SH513100
m0,2014-05-07,9538.857552034082,987421.2,996960.057552034,-0.014258818144195162,0.009567943549770773,SH513100
m0,2014-05-08,9538.857552034082,984876.3,994415.1575520341,-0.0025526599393046467,0.009592429760942123,SH513100
m0,2014-05-09,9538.857552034082,983179.7000000001,992718.5575520342,-0.0017061284586374903,0.009608823648422726,SH513100
m0,2014-05-12,9538.857552034082,987421.2,996960.057552034,0.004272610769419982,0.009567943549770773,SH513100
m0,2014-05-13,9538.857552034082,1006083.7999999999,1015622.657552034,0.018719506221567928,0.009392127559487193,SH513100
m0,2014-05-14,9538.857552034082,1009477.0,1019015.8575520341,0.0033410046288044892,0.009360852906596695,SH513100
m0,2014-05-15,9538.857552034082,1006083.7999999999,1015622.657552034,-0.0033298794860283643,0.009392127559487193,SH513100
m0,2014-05-16,9538.857552034082,1000145.7000000001,1009684.5575520342,-0.005846758100407579,0.009447364011549218,SH513100
m0,2014-05-19,9538.857552034082,1002690.6,1012229.4575520341,0.0025204901679094505,0.009423611890433186,SH513100
m0,2014-05-20,9538.857552034082,1009477.0,1019015.8575520341,0.006704408718169574,0.009360852906596695,SH513100
m0,2014-05-21,9538.857552034082,1003538.9,1013077.7575520341,-0.005827289100549415,0.009415721035158689,SH513100
m0,2014-05-22,9538.857552034082,1015415.1000000001,1024953.9575520342,0.011722890875323744,0.009306620538171656,SH513100
