open,close,low,trade_date,high
1935.093,1953.332,1935.093,2016-03-07,1995.937
1944.648,2002.191,1865.65,2016-03-08,2002.191
1962.277,1970.813,1947.045,2016-03-09,2015.706
1968.766,1936.968,1935.119,2016-03-10,1991.357
1911.325,1934.87,1903.924,2016-03-11,1948.601
1962.105,2023.128,1962.105,2016-03-14,2048.497
2016.807,1996.92,1995.456,2016-03-15,2034.702
2029.919,1977.538,1961.418,2016-03-16,2039.486
1986.144,2087.293,1986.144,2016-03-17,2089.136
2102.19,2177.87,2102.079,2016-03-18,2194.355
2214.913,2227.034,2191.662,2016-03-21,2234.35
2201.194,2221.702,2189.935,2016-03-22,2248.186
2214.87,2259.106,2205.072,2016-03-23,2259.106
2234.215,2219.77,2217.843,2016-03-24,2277.917
2209.26,2216.086,2183.601,2016-03-25,2232.073
2233.131,2199.685,2192.35,2016-03-28,2259.131
2190.875,2152.548,2130.851,2016-03-29,2194.885
2172.741,2248.783,2172.741,2016-03-30,2248.783
2256.431,2238.286,2232.302,2016-03-31,2271.964
2223.377,2205.369,2171.341,2016-04-01,2226.998
2207.464,2279.52,2205.438,2016-04-05,2285.201
2274.772,2297.041,2271.502,2016-04-06,2305.409
2310.923,2248.684,2248.684,2016-04-07,2316.629
2230.951,2229.934,2194.234,2016-04-08,2239.805
2255.069,2283.143,2255.069,2016-04-11,2301.412
2283.211,2264.016,2236.442,2016-04-12,2289.545
2278.522,2294.015,2278.522,2016-04-13,2330.055
2310.596,2324.394,2289.567,2016-04-14,2325.378
2328.312,2309.676,2297.675,2016-04-15,2328.312
2288.42,2265.593,2249.339,2016-04-18,2288.42
2278.307,2272.52,2253.592,2016-04-19,2289.049
2279.758,2145.239,2119.424,2016-04-20,2284.104
2135.932,2110.162,2106.968,2016-04-21,2160.258
2093.781,2136.924,2090.95,2016-04-22,2136.924
2128.655,2126.834,2083.635,2016-04-25,2130.06
2123.874,2155.697,2119.379,2016-04-26,2155.697
2162.762,2146.611,2142.462,2016-04-27,2176.333
2149.102,2155.229,2108.268,2016-04-28,2158.492
2141.58,2138.738,2138.738,2016-04-29,2162.194
2138.963,2217.23,2126.874,2016-05-03,2217.23
2210.13,2211.018,2206.264,2016-05-04,2233.591
2208.397,2224.095,2198.762,2016-05-05,2226.553
2226.444,2129.194,2129.194,2016-05-06,2235.959
2107.334,2053.597,2045.122,2016-05-09,2107.334
2051.376,2054.222,2044.282,2016-05-10,2067.618
2067.69,2034.925,2032.296,2016-05-11,2073.834
2006.258,2034.566,1975.065,2016-05-12,2039.318
2030.941,2025.224,2013.863,2016-05-13,2058.657
2017.844,2057.857,2008.541,2016-05-16,2057.857
2059.515,2081.441,2036.885,2016-05-17,2107.731
2062.812,2020.476,2000.526,2016-05-18,2062.812
2023.959,2037.403,2023.959,2016-05-19,2076.485
2018.382,2065.302,2013.532,2016-05-20,2065.302
2072.998,2098.234,2072.998,2016-05-23,2107.05
2094.211,2075.51,2061.517,2016-05-24,2094.211
2091.972,2067.254,2062.64,2016-05-25,2111.261
2060.427,2086.008,2019.297,2016-05-26,2086.49
2076.297,2069.885,2065.375,2016-05-27,2090.168
2054.617,2058.519,2033.666,2016-05-30,2083.83
2061.84,2159.801,2060.141,2016-05-31,2160.527
2164.727,2168.82,2163.05,2016-06-01,2188.885
2163.589,2188.558,2160.251,2016-06-02,2188.558
2176.359,2204.974,2175.815,2016-06-03,2236.578
2212.458,2199.302,2181.986,2016-06-06,2219.275
2202.041,2196.727,2181.295,2016-06-07,2204.184
2191.271,2186.544,2166.965,2016-06-08,2201.527
2150.393,2054.707,2054.707,2016-06-13,2165.283
2045.211,2058.314,2032.438,2016-06-14,2070.152
2033.6,2128.8,2031.668,2016-06-15,2143.453
2124.156,2101.417,2097.347,2016-06-16,2137.183
2109.574,2122.89,2105.238,2016-06-17,2154.518
2117.986,2119.63,2088.286,2016-06-20,2127.677
2135.463,2092.001,2083.692,2016-06-21,2153.229
2085.981,2144.819,2085.65,2016-06-22,2144.819
2144.583,2137.486,2115.84,2016-06-23,2153.581
2131.154,2127.365,2060.196,2016-06-24,2157.942
2111.1,2191.806,2110.603,2016-06-27,2194.128
2181.413,2216.71,2173.532,2016-06-28,2221.463
2228.506,2209.788,2203.489,2016-06-29,2238.353
2213.603,2227.791,2206.805,2016-06-30,2233.279
2231.183,2211.178,2203.934,2016-07-01,2241.628
2195.623,2248.713,2193.844,2016-07-04,2254.151
2253.69,2246.024,2229.001,2016-07-05,2259.287
2239.759,2241.561,2229.267,2016-07-06,2246.731
2240.896,2233.922,2212.414,2016-07-07,2247.585
2231.969,2239.003,2220.205,2016-07-08,2257.318
2242.26,2218.589,2216.568,2016-07-11,2252.665
2218.02,2247.355,2182.031,2016-07-12,2247.355
2258.264,2285.369,2250.64,2016-07-13,2299.859
2282.158,2293.079,2273.421,2016-07-14,2295.588
2289.104,2263.784,2260.163,2016-07-15,2293.085
2257.418,2249.872,2234.21,2016-07-18,2268.79
2249.735,2273.719,2236.996,2016-07-19,2273.719
2272.644,2268.535,2268.527,2016-07-20,2288.647
2266.083,2265.128,2259.202,2016-07-21,2289.668
2262.102,2249.999,2248.303,2016-07-22,2269.552
2245.864,2245.885,2235.446,2016-07-25,2264.439
2245.937,2279.55,2245.937,2016-07-26,2279.55
2282.066,2155.386,2138.781,2016-07-27,2284.283
2150.318,2139.744,2109.869,2016-07-28,2166.603
2144.272,2122.412,2109.132,2016-07-29,2147.195
2113.674,2099.179,2066.175,2016-08-01,2118.091
2096.551,2113.214,2094.116,2016-08-02,2114.954
2110.234,2108.315,2096.732,2016-08-03,2117.618
2107.623,2129.652,2102.272,2016-08-04,2133.177
2128.74,2109.056,2107.438,2016-08-05,2129.329
2102.242,2130.594,2083.98,2016-08-08,2130.594
2128.64,2154.505,2128.219,2016-08-09,2154.505
2155.386,2137.001,2136.832,2016-08-10,2164.625
2134.604,2103.396,2103.396,2016-08-11,2139.196
2098.774,2123.841,2097.909,2016-08-12,2123.865
2126.791,2193.212,2112.25,2016-08-15,2200.919
2195.024,2201.096,2192.969,2016-08-16,2211.008
2200.236,2208.195,2195.368,2016-08-17,2218.29
2204.955,2201.594,2191.934,2016-08-18,2213.305
2200.681,2204.556,2194.111,2016-08-19,2211.063
2205.576,2167.401,2167.401,2016-08-22,2213.41
2168.338,2174.159,2160.296,2016-08-23,2186.737
2178.528,2192.17,2176.347,2016-08-24,2204.799
2179.015,2180.66,2152.113,2016-08-25,2183.729
2186.004,2189.75,2182.107,2016-08-26,2211.628
2187.723,2193.201,2183.812,2016-08-29,2209.252
2197.486,2195.531,2193.071,2016-08-30,2210.397
2194.607,2191.758,2175.839,2016-08-31,2198.251
2192.941,2181.327,2181.327,2016-09-01,2201.284
2176.391,2170.858,2160.116,2016-09-02,2187.695
2178.635,2182.694,2178.095,2016-09-05,2199.655
2183.227,2222.837,2161.926,2016-09-06,2225.255
2223.019,2212.053,2208.833,2016-09-07,2232.121
2211.394,2223.469,2207.116,2016-09-08,2223.469
2223.584,2202.968,2202.968,2016-09-09,2228.538
2163.451,2145.563,2145.031,2016-09-12,2179.982
2157.945,2145.868,2139.34,2016-09-13,2165.577
2137.396,2144.558,2131.715,2016-09-14,2156.976
2149.372,2165.213,2149.372,2016-09-19,2174.403
2164.42,2158.432,2153.94,2016-09-20,2167.641
2158.062,2162.132,2157.381,2016-09-21,2170.085
2174.299,2168.423,2166.615,2016-09-22,2178.532
2171.63,2156.51,2156.036,2016-09-23,2173.494
2154.399,2122.9,2122.9,2016-09-26,2161.764
2118.949,2140.803,2112.702,2016-09-27,2140.803
2143.725,2139.629,2132.547,2016-09-28,2143.725
2141.336,2146.184,2140.979,2016-09-29,2155.416
2144.473,2149.901,2143.343,2016-09-30,2154.4
2165.853,2208.469,2163.406,2016-10-10,2208.469
2207.435,2210.862,2201.311,2016-10-11,2210.862
2202.363,2209.685,2198.89,2016-10-12,2216.522
2211.756,2208.567,2200.524,2016-10-13,2216.092
2203.874,2194.227,2178.914,2016-10-14,2203.874
2199.182,2167.863,2160.006,2016-10-17,2200.472
2164.601,2198.142,2164.601,2016-10-18,2198.142
2200.532,2184.911,2180.469,2016-10-19,2201.162
2187.406,2193.256,2184.351,2016-10-20,2199.065
2196.846,2180.997,2167.83,2016-10-21,2202.488
2184.11,2200.804,2176.924,2016-10-24,2204.358
2202.792,2200.208,2196.568,2016-10-25,2207.807
2203.479,2184.493,2179.756,2016-10-26,2204.842
2182.905,2182.478,2171.243,2016-10-27,2184.317
2182.56,2165.433,2165.03,2016-10-28,2192.903
2158.565,2159.76,2145.574,2016-10-31,2162.672
2160.39,2176.447,2159.707,2016-11-01,2177.834
2170.811,2146.399,2145.074,2016-11-02,2171.662
2137.131,2153.185,2135.284,2016-11-03,2167.931
2151.925,2145.229,2142.41,2016-11-04,2168.341
2141.299,2130.301,2126.952,2016-11-07,2145.822
2138.454,2150.302,2136.246,2016-11-08,2154.571
2150.623,2123.844,2098.56,2016-11-09,2154.854
2143.564,2143.321,2138.939,2016-11-10,2149.088
2143.582,2147.107,2125.494,2016-11-11,2147.107
2146.83,2161.686,2146.83,2016-11-14,2175.253
2161.573,2179.3,2152.375,2016-11-15,2179.3
2187.504,2182.467,2182.116,2016-11-16,2208.98
2176.122,2163.042,2157.545,2016-11-17,2176.122
2164.711,2157.96,2155.235,2016-11-18,2170.79
2156.46,2152.602,2147.049,2016-11-21,2162.368
2156.515,2177.651,2146.62,2016-11-22,2177.651
2182.098,2165.708,2163.001,2016-11-23,2191.261
2159.614,2146.626,2142.949,2016-11-24,2172.176
2145.969,2167.528,2123.738,2016-11-25,2167.528
2172.973,2166.045,2159.731,2016-11-28,2175.51
2161.775,2160.345,2153.721,2016-11-29,2178.189
2157.539,2183.049,2155.241,2016-11-30,2201.555
2181.729,2181.929,2175.495,2016-12-01,2188.09
2180.385,2143.452,2143.21,2016-12-02,2186.689
2129.245,2143.878,2124.753,2016-12-05,2162.304
2149.752,2122.26,2121.248,2016-12-06,2156.693
2123.552,2134.987,2116.541,2016-12-07,2134.987
