model,trade_date,side,symbol,shares,price,gross_value,commission,slippage_rate
m0,2014-01-02,buy,SH513100,848300,1.1672334,990164.0932199999,297.04922796599993,0.0002
m1,2014-06-09,buy,SH513100,785000,1.2612522,990082.977,297.0248931,0.0002
m1,2015-07-13,sell,SH513100,785000,1.4007198,1099565.043,329.8695129,0.0002
m1,2015-07-20,buy,SH513100,741700,1.480296,1097935.5432,329.38066295999994,0.0002
m1,2015-09-07,sell,SH513100,741700,1.4277144,1058935.77048,317.68073114399994,0.0002
m1,2015-09-14,buy,SH513100,716600,1.4772954,1058629.8836400001,317.588965092,0.0002
m1,2015-10-08,sell,SH513100,716600,1.4507098,1039578.64268,311.873592804,0.0002
m1,2015-10-12,buy,SH513100,715500,1.4522903999999999,1039113.7811999999,311.7341343599999,0.0002
m1,2016-01-18,sell,SH513100,715500,1.44971,1037267.505,311.1802515,0.0002
m1,2016-03-07,buy,SH513100,682400,1.5193037999999999,1036772.9131199999,311.03187393599995,0.0002
m1,2016-03-14,sell,SH513100,682400,1.5076984,1028853.38816,308.65601644799995,0.0002
m1,2016-03-21,buy,SH513100,678100,1.5163032,1028205.19992,308.461559976,0.0002
m1,2016-05-03,sell,SH513100,678100,1.504699,1020336.3919,306.10091757,0.0002
m1,2016-05-30,buy,SH513100,655700,1.5553109999999999,1019817.4226999999,305.94522680999995,0.0002
m1,2018-02-12,sell,SH513100,655700,2.1135772,1385872.57004,415.76177101199994,0.0002
m1,2018-02-22,buy,SH513100,619100,2.2314461999999997,1381488.34242,414.44650272599995,0.0002
m1,2018-04-09,sell,SH513100,619100,2.1315736000000003,1319657.2157600003,395.89716472800006,0.0002
m1,2018-04-16,buy,SH513100,601000,2.195439,1319458.839,395.8376516999999,0.0002
m1,2018-11-26,sell,SH513100,601000,2.3625274,1419878.9674,425.96369021999993,0.0002
m1,2018-12-03,buy,SH513100,554700,2.5565112,1418096.76264,425.429028792,0.0002
m1,2018-12-10,sell,SH513100,554700,2.3675264,1313266.89408,393.980068224,0.0002
m1,2019-03-04,buy,SH513100,524500,2.5045007999999997,1313610.6696,394.08320087999994,0.0002
m1,2019-03-11,sell,SH513100,524500,2.4465106000000003,1283194.8097,384.95844291,0.0002
m1,2019-03-18,buy,SH513100,503500,2.5475094,1282670.9829,384.80129486999994,0.0002
m1,2021-03-08,sell,SH513100,503500,4.229154,2129379.0390000003,638.8137117,0.0002
m1,2021-03-15,buy,SH513100,489000,4.3348667999999995,2119749.8652,635.9249595599999,0.0002
m1,2022-01-24,sell,SH513100,489000,4.739052,2317396.428,695.2189283999999,0.0002
m1,2023-02-06,buy,SH513100,531900,4.35087,2314227.7529999996,694.2683258999998,0.0002
m1,2023-03-06,sell,SH513100,531900,4.324135,2300007.4065,690.0022219499999,0.0002
m1,2023-03-13,buy,SH513100,544700,4.220844,2299093.7268,689.7281180399999,0.0002
m1,2025-03-17,sell,SH513100,544700,7.258548,3953731.0956,1186.1193286799999,0.0002
m1,2025-05-19,buy,SH513100,507700,7.75155,3935461.935,1180.6385805,0.0002
m1,2026-03-23,sell,SH513100,507700,8.623275,4378036.717499999,1313.4110152499998,0.0002
m1,2026-04-13,buy,SH513100,485600,9.0018,4371274.08,1311.382224,0.0002
m2,2014-06-09,buy,SH513100,785000,1.2612522,990082.977,297.0248931,0.0002
m2,2015-07-13,sell,SH513100,785000,1.4007198,1099565.043,329.8695129,0.0002
