replacement,gem,nasdaq,gold,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,transaction_fees,order_count,average_cash_ratio,longest_underwater_trading_days,worst_rolling_three_year_return,yearly_returns
gem_to_csi500,SH510500,SH513100,SH518880,3051,7.199596602700641,0.18816423043925745,0.2717559438171857,0.9265748535039627,1.4396013412596111,0.6924015268856027,0.21011570805869836,183.60067171901903,164890.48571418494,189,0.06161746604250368,748,-0.03963705920137528,"{'2014': 0.16676164261055204, '2015': 0.32739592145605223, '2016': -0.07089636596836191, '2017': 0.16992794602993722, '2018': -0.07970364201782765, '2019': 0.5064805188336596, '2020': 0.41278465758549676, '2021': 0.052563902184355804, '2022': -0.10471757267893222, '2023': 0.4274247333651411, '2024': 0.24638092155846225, '2025': 0.31492076323111595, '2026': 0.12799525391826094}"
nasdaq_to_sp500,SZ159915,SH513500,SH518880,3051,12.855653818999695,0.24035303879021508,0.3371103611213466,1.1091479796528163,1.8070803848339918,0.7129802774103918,0.21509679640510243,167.81926345446226,221430.36076032,169,0.08839257722758,741,-0.01595700737511163,"{'2014': 0.03468905022006252, '2015': 0.7062020971072205, '2016': 0.3990167641281195, '2017': -0.02039439651133146, '2018': -0.08417069044346104, '2019': 0.334735219517845, '2020': 0.5007626122634434, '2021': 0.3128889659661005, '2022': -0.19648020247977704, '2023': 0.2615690585430359, '2024': 0.39332313430982735, '2025': 0.49583079448801715, '2026': 0.125436337244331}"
gold_to_alt_gold,SZ159915,SH513100,SH518800,3051,21.641480519604162,0.2912828166719226,0.27695273481462346,1.1967069542257927,1.971239364212665,1.0517419763588574,0.237201896069324,154.34249360331663,288230.455675884,153,0.05965020125955821,424,0.1337770791356323,"{'2014': 0.16081847888880807, '2015': 0.7443834307698616, '2016': 0.10174787564643428, '2017': 0.2075096379790331, '2018': -0.09363301965424708, '2019': 0.36321062521966696, '2020': 0.7882637220133939, '2021': 0.25098507284391736, '2022': -0.12652373849737675, '2023': 0.508908804510924, '2024': 0.39428556605103005, '2025': 0.4884305774446098, '2026': 0.11168202260108706}"
