model,period,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,transaction_fees,order_count,average_cash_ratio,longest_underwater_trading_days,worst_rolling_three_year_return,yearly_returns
m0,2014-2018,1220,0.9122757575520339,0.1420754039917027,0.23315687384337302,0.8488902632481108,1.3533135974776742,0.6093554165902233,0.1745244064079957,0.65662430696023,297.04922796599993,1,0.006696308439591969,130,0.33432573509672947,"{'2014': 0.1903724575520347, '2015': 0.16034267156392024, '2016': 0.12283166228458109, '2017': 0.22535276907974033, '2018': 0.006249317388443254}"
m0,2019-2022,970,0.7772004608281811,0.15975180195961736,0.2849168935463867,0.7114237568339307,1.1474107177493242,0.5606961383411563,0.25374137960262294,0.0,0.0,0,0.0029851837883128696,279,0.3112680329250237,"{'2019': 0.4214271905175597, '2020': 0.3688856875790585, '2021': 0.2254776177224027, '2022': -0.254686080885275}"
m0,2023-end,861,1.62870731316002,0.3239646037584838,0.2398211814608321,1.380074033125914,2.3034979473291313,1.3508590099719533,0.22119926176043314,0.0,0.0,0,0.0016367246483957147,139,0.9151682087497104,"{'2023': 0.5166933545197281, '2024': 0.34231669581361346, '2025': 0.16858248554807664, '2026': 0.10491809140666897}"
m1,2014-2018,1220,0.32667687944399826,0.05963622113496592,0.20863498443694595,0.4500514713425934,0.6875857964716047,0.285839986500391,0.15578855816916054,19.004462475387978,6933.8442160019995,20,0.16857609145907657,308,0.13967748078372955,"{'2014': 0.10233999810689798, '2015': 0.05871656714978646, '2016': 0.0293503406552571, '2017': 0.22487641652686907, '2018': -0.09839896831899309}"
m1,2019-2022,970,0.7619074200534064,0.15717142896947922,0.2840101819852704,0.8034291388895183,1.2330671178537245,0.5534006839854445,0.2090261734686055,5.141915280364949,3133.8005383199998,6,0.2900266666236009,291,0.5128547032241999,"{'2019': 0.22117278050727052, '2020': 0.3673454588142917, '2021': 0.19345000443809934, '2022': -0.11585501875908388}"
m1,2023-end,861,1.2035020462474266,0.2578430070224311,0.17828679177276396,1.2997736880273505,2.129376324631552,1.4462260746217577,0.19056594013993514,6.073408235983982,7065.549814319999,7,0.09829820123864555,180,0.7839527112902194,"{'2023': 0.42277009900514195, '2024': 0.3406730162295175, '2025': 0.0925442823438829, '2026': 0.05734523322123075}"
m2,2014-2018,1220,0.440996332680067,0.0777372267424612,0.21525468684596039,0.5502646577877509,0.8540927785518966,0.36114069283002964,0.1591661242002035,28.003701043419756,10659.123659934,29,0.11235028957484171,129,0.2128579930891341,"{'2014': 0.10233999810689798, '2015': 0.05871656714978646, '2016': 0.09537563331491428, '2017': 0.22498652253859763, '2018': -0.07981910075792276}"
m2,2019-2022,970,0.7629355056309322,0.15734541650235778,0.2840987190115146,0.7848030699351075,1.234396155236722,0.5538406404992643,0.21609244722724014,19.234774011440354,12562.639834416,20,0.05389019533985125,291,0.5300767033568994,"{'2019': 0.2066417708642596, '2020': 0.367495721246492, '2021': 0.19345099212729777, '2022': -0.1047846853046206}"
m2,2023-end,861,1.5242444559518273,0.3084673650089258,0.1866570453681553,1.3976426115066063,2.2588727435988964,1.6525889199655788,0.20800011572424978,12.239844004162237,16400.809220201998,14,0.007021946377915671,122,0.9470893932065787,"{'2023': 0.448261301673025, '2024': 0.3407927540775877, '2025': 0.17772885395622295, '2026': 0.10376727893451254}"
m3,2014-2018,1220,1.7206036451010123,0.22763921602305537,0.2152649500626933,1.1358682680284526,1.9050225037223232,1.0574838865163985,0.19783178100272197,50.47851666031255,33089.455038989996,59,0.10027566642600667,129,0.21566295116637013,"{'2014': 0.10520707217991188, '2015': 1.0223381108305465, '2016': 0.09535181473108345, '2017': 0.2075027179254254, '2018': -0.07970702886535785}"
