cost_case,commission_rate,minimum_commission,slippage_rate,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,transaction_fees,order_count,average_cash_ratio,longest_underwater_trading_days,worst_rolling_three_year_return,yearly_returns
zero,0.0,0.0,0.0,3051,23.28848370000001,0.2987339406025933,0.27463468910252264,1.2218448055977427,2.0138245839924824,1.0877502094830935,0.23699511695728193,154.3954150924754,0.0,153,0.06039799769624765,418,0.14402857744038244,"{'2014': 0.16938079999999855, '2015': 0.7591676723270968, '2016': 0.10181665595517675, '2017': 0.20970218800710705, '2018': -0.08860142439387098, '2019': 0.36884889163100754, '2020': 0.7944200818142739, '2021': 0.26070012584205204, '2022': -0.11060211508779894, '2023': 0.5146515513286363, '2024': 0.3966830454173791, '2025': 0.4947236508351718, '2026': 0.11604586886580903}"
base,0.0003,5.0,0.0002,3051,21.57412395777062,0.2909676153367322,0.27695273481462346,1.1960080514362958,1.9690358904471041,1.050603871203834,0.23712129517752167,154.27285473229577,287412.212809422,153,0.059658545399076814,424,0.12719997324598964,"{'2014': 0.16081847888880807, '2015': 0.7443834307698616, '2016': 0.09536453452851545, '2017': 0.2075011166759928, '2018': -0.09410666850247418, '2019': 0.3597907892950687, '2020': 0.7882599670035069, '2021': 0.25097844968296923, '2022': -0.11775803602986534, '2023': 0.5091718849420364, '2024': 0.3942890492907949, '2025': 0.48641624217718293, '2026': 0.10843213247875516}"
slippage-10bp,0.0003,5.0,0.001,3051,19.073535136345495,0.27860810145382664,0.28065655993957994,1.154428844240425,1.897313920498959,0.99270119149827,0.23737500252339164,154.08682905713508,263985.24595455,153,0.058453679501461,426,0.10072888216486153,"{'2014': 0.14721841059009955, '2015': 0.7208642988705274, '2016': 0.08508991235418728, '2017': 0.20398579642478887, '2018': -0.10287269419427714, '2019': 0.3453874963175281, '2020': 0.7784499158957934, '2021': 0.23555615471523295, '2022': -0.12911497652687765, '2023': 0.5004380238809114, '2024': 0.3904681618636263, '2025': 0.47318988983949595, '2026': 0.096326186364603}"
