scenario,annualized_return,maximum_drawdown,sharpe,completed_positions,total_return,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,trade_count,order_count,rejected_order_count,period_start,period_end,yearly_returns_json,method,commission,minimum_commission,slippage,maximum_volume_ratio,parameter_selection_used_oos,evidence_scope
published-public-backtest,0.23259566768476,0.14229769578185,1.1611795796101,13,,,,,,,,,,,,,,,,,,,
index-source-cost-calibration,0.2226511283403978,0.134861097069611,1.2897193689951607,13,2.4747744406111374,0.1667036797966308,23.8913739740623,0.3479325878905448,1.0,258.0,26.0,26.0,0.0,2014-01-02,2020-05-13,"{""2014"": 0.5195165835120736, ""2015"": 0.4462357246509583, ""2016"": 0.11743492905520858, ""2017"": 0.17629174737864495, ""2018"": -0.04021173330726291, ""2019"": 0.2590550947068293, ""2020"": -0.004538140050261097}",,,,,,,
rsrs-baseline-cost,0.025216804447648178,0.3848446206001014,0.23702440544572428,9,0.16139732814130414,0.15677613966852333,19.35954403877172,0.3710195492964176,1.0,1317.0,19.0,19.0,0.0,2020-05-15,2026-07-23,"{""2020"": 0.2563287759915567, ""2021"": -0.051062130437528386, ""2022"": -0.18644723010421227, ""2023"": -0.022831016254642567, ""2024"": 0.1304095034678885, ""2025"": 0.0815427968827398, ""2026"": 0.0023163756317545747}",rsrs,0.0003,5.0,0.0005,0.01,False,post-publication replay
rsrs-double-cost,0.022635085736400606,0.39071870745959636,0.22094519197534976,9,0.14393645158037893,0.15676418393149227,19.389816563833094,0.370984864565473,1.0,1317.0,19.0,19.0,0.0,2020-05-15,2026-07-23,"{""2020"": 0.2533023520771316, ""2021"": -0.05559854758199989, ""2022"": -0.18775686182294649, ""2023"": -0.025149374382504752, ""2024"": 0.12952443555348814, ""2025"": 0.07897643797948684, ""2026"": 0.00151551265571781}",rsrs,0.0006,5.0,0.001,0.01,False,post-publication replay
csi300-etf-buy-hold,0.052884250795120824,0.4217727162840791,0.3700774356088107,0,0.36289632972809693,0.18584162738622811,0.8713528348386046,0.00016334370333447764,0.00021297645501980707,1317.0,1.0,1.0,0.0,2020-05-15,2026-07-23,"{""2020"": 0.344837916321745, ""2021"": -0.04039456253383511, ""2022"": -0.2012913999234176, ""2023"": -0.0977347702513025, ""2024"": 0.17370659371558816, ""2025"": 0.20835300838533688, ""2026"": 0.03329474926164133}",buy-hold,0.0003,5.0,0.0005,0.01,False,post-publication replay
static-50pct-etf-cash,0.02815354537792647,0.25290897386689426,0.32886436925641577,0,0.18152884435042638,0.09945614090121892,0.46571504280754866,0.4678147027526207,0.535999645006901,1317.0,1.0,1.0,0.0,2020-05-15,2026-07-23,"{""2020"": 0.17249562288215192, ""2021"": -0.02317633134207886, ""2022"": -0.11345497078704214, ""2023"": -0.04962893618898334, ""2024"": 0.0837419733117939, ""2025"": 0.1087828198690799, ""2026"": 0.01894452083116671}",half-cash,0.0003,5.0,0.0005,0.01,False,post-publication replay
