execution_date,observation_date,active_full_market_stocks,valuation_rows,execution_state_rows,known_st_rows,known_historical_name_rows,eligible_candidates,selected_count,selected_sha256
2019-01-02,2018-12-28,3567,3568,3565,3565,2125,3359,10,d925f21c4ffcdcc7a6b567a1f88f693ac99ca3c61668a4ecc8e598fe85e0d77e
2019-02-01,2019-01-31,3583,3582,3581,3581,2130,3377,10,6fad3af1cc54b0521b140fc1eb419c2569229aecbea68e25cc5ea93197e584dc
2019-03-01,2019-02-28,3589,3588,3587,3587,2134,3387,10,ffcd7f3e12fe0a3ed835a031eb966a15f97b8b2782a6f235074c3a25f32bcbac
2019-04-01,2019-03-29,3600,3599,3598,3598,2143,3380,10,209d258ed3e168e059dcc9a14655a32304bcd0b060fc71907bf4390b03151cf1
2019-05-06,2019-04-30,3610,3609,3608,3608,2149,3349,10,d4492594b60282a2c98d8cb772ef22f3781f95c03eb947a33895980ceaf9613c
2019-06-03,2019-05-31,3622,3622,3620,3620,2157,3355,10,a20d6b9c01247965e08bccbd24d6faeaff7b7c47dd2664f886ad18622e73bea5
2019-07-01,2019-06-28,3632,3631,3630,3630,2160,3365,10,d69436cfba6a73ca2896d8d5b3adf0f33794b1c41a4294817def6a866ec01c31
2019-08-01,2019-07-31,3666,3665,3664,3664,2163,3378,10,59820dd05f04cbb6ff6247143363b002c7a405a86252bff99fb9dc13fd199b9d
2019-09-02,2019-08-30,3681,3680,3679,3679,2169,3379,10,760fcd0ca9b2f037d106123494cedb59bffe2d93cbc7cf53ae16adbd1d69123c
2019-10-08,2019-09-30,3692,3691,3690,3690,2174,3383,10,61f69613b4ef16642eb9f468fd34442d4701410dfe6184e93c650acb83899637
2019-11-01,2019-10-31,3707,3706,3704,3704,2178,3389,10,b401f96e185246c5363f6b522c3655783d49c513faff1055ff43cb0172806213
2019-12-02,2019-11-29,3735,3736,3733,3733,2189,3395,10,4a4acea7eaddba9e18a4ca429b93ff9a92aeb1f10df9abba249e78e0fa807a36
2020-01-02,2019-12-31,3760,3760,3759,3759,2195,3402,10,d93ad79267bb02a2ed8d054f9ae61e76c1008c8bd153a5eee3f4080d8b067e3c
2020-02-03,2020-01-23,3775,3775,3773,3773,2199,3412,10,1c47692ad0fda159306af1db0eebfdee2a6a3b203ca2687cd83d7d074e86daf2
2020-03-02,2020-02-28,3796,3796,3795,3795,2204,3426,10,17bd80c5450690ce4ebe0e95e4b497745b8f6f5c594ae6f5f92eb0361535c231
2020-04-01,2020-03-31,3809,3809,3808,3808,2211,3431,10,42239c5eb6256ff3e3d83edf13a878a753f14c9f858669854a7320bc3508d965
2020-05-06,2020-04-30,3831,3833,3830,3830,2222,3373,10,2e8047308f9927f5126e7c55e6ff83401a64dea5f6eb3e5bec4999237b3a2926
2020-06-01,2020-05-29,3848,3849,3847,3847,2231,3380,10,11fbeb7f09dcdd95b4b9f55f157008493565f35396a065fb7b4dfa51753671b1
2020-07-01,2020-06-30,3873,3874,3872,3872,2239,3383,10,10651bc56b01768128a37c89185840b6a2a4f796ad279c02808a7202c45ce893
2020-08-03,2020-07-31,3920,3949,3918,3918,2252,3418,10,48ff1a52f0f442ff8c6bf492630b4e7965ca06e12b7d0f0a9fe7ed2f928d23dd
2020-09-01,2020-08-31,3973,4004,3972,3972,2273,3430,10,68d728bfb57cec82572e83c300c27ea36f431ef83d00f7ffc8cef1b31ca8e181
2020-10-09,2020-09-30,4039,4068,4038,4038,2301,3439,10,f5d6fb35e44c25c84a042b26ec92b09b16e7f04b154065a2b73e80e172b8f2ba
2020-11-02,2020-10-30,4065,4094,4064,4064,2313,3451,10,e2078f722218fa19441e0c6163f35fa33ddee2060c502f8f3fd3712ed567f581
2020-12-01,2020-11-30,4085,4118,4084,4084,2323,3490,10,b7b881619ad9f621751fdabd8440ebc68a0c89c36ca2af964e1fd5be11676616
2021-01-04,2020-12-31,4138,4176,4137,4137,2345,3517,10,e2650b403189d363c90d4b243d5868c9f733e43436b28b9e686b7ff02e30d009
2021-02-01,2021-01-29,4170,4212,4169,4169,2364,3534,10,56d7985a01db059659f06de4c2a640ac282d9efe53134fa975073628f0bd1ce8
2021-03-01,2021-02-26,4195,4246,4194,4194,2376,3545,10,4923d10393d0039cdc4ae89a4c7326e7b4e732226377e73a77dd2589804702c6
2021-04-01,2021-03-31,4233,4281,4232,4232,2388,3574,10,a2f25e645e70e0c5621a61005d2ad446793fb0e9e7be7b0b78336414689d6559
2021-05-06,2021-04-30,4286,4335,4284,4284,2414,3549,10,6b1163b4247805a2648cf54adabbf0945971577af6105574c95d8e2215172ed1
2021-06-01,2021-05-31,4324,4374,4323,4323,2427,3609,10,9aab7ee95c01c7284865726180c8090f66336bb4ca6a8eb492bab8e09175e5c3
2021-07-01,2021-06-30,4373,4425,4372,4372,2447,3645,10,e7dfc9e411261ac38ed027bf2f856f6265a5876ffb0ee0b21abf87372e4cd26e
2021-08-02,2021-07-30,4416,4473,4415,4415,2468,3682,10,97418ebb6f5b048f6cb7e90b08a46e93dcc1962221d0bf43795db800eef8c78d
2021-09-01,2021-08-31,4455,4519,4454,4454,2486,3739,10,d05202c333160ec605f0ac2101463bef8aebde8c23119f95517b50285cf388c5
2021-10-08,2021-09-30,4493,4556,4492,4492,2510,3796,10,25d1cf0870662372c3651d7cd8d2ca340eea48e597bea9125000d11cff07b66c
2021-11-01,2021-10-29,4526,4590,4524,4524,2527,3840,10,4711b4725e84a015fc78d0da757b2ce4dc2aba665c2d95a3fd762944b2175328
2021-12-01,2021-11-30,4637,4647,4568,4568,2549,3869,10,beaff5bdfc7b81e504f158a7d457fb7c221c08e20c2ab3ac62af92ccb24c6221
2022-01-04,2021-12-31,4681,4691,4612,4612,2575,3908,10,1cdafcda21acf35b6623fc2750117b59e57d4f7ed6c26152ecdeeefc90919363
2022-02-07,2022-01-28,4713,4725,4644,4644,2596,3944,10,99ab8646721caed210a7e5ec76eb43693815a3a4f6c19c31eb7a8807120fa8cf
2022-03-01,2022-02-28,4730,4744,4661,4661,2606,3987,10,7d7e6b579a1faf072e6c966a19d6447822cd654720ac71462ebd319e1be14a04
2022-04-01,2022-03-31,4767,4784,4697,4697,2623,4012,10,137e64a7765c37b8578511ebc5a9f1c65d0e0d8ac4683a6cfd33e024845fdc1f
2022-05-05,2022-04-29,4801,4820,4732,4732,2643,4017,10,162be6519d99d6facba420002f7b4e4b1cd88156eff7d8a0727d3a133276b53b
2022-06-01,2022-05-31,4815,4838,4746,4746,2650,4091,10,95a768331e7a36528643ecb300955a8f3b3df4fd716fe4b78dc02a24888b40db
2022-07-01,2022-06-30,4817,4864,4746,4746,2662,4149,10,7b44edda281978caeaa50e47d1b06c5e6bdd12121cf0d6f9a177db0167af2b21
2022-08-01,2022-07-29,4844,4879,4775,4775,2655,4193,10,1c4fea8c0185abb55f95d52c9e66bd68874c898fb758327224801275b81f4c71
2022-09-01,2022-08-31,4893,4930,4824,4824,2683,4251,10,0b16ba6fe3a255168a73cc399a7d2dcf7dd32e7c9e975e2bece0903d4f5e395c
2022-10-10,2022-09-30,4943,4988,4874,4874,2709,4290,10,1318a01fb40e47aff3d1319626956b972f74be0be0ce9f15bf9365d5026b4121
2022-11-01,2022-10-31,4973,5025,4904,4904,2720,4317,10,19da8657ff6791cbc96774e95cf1a4f9d3f86e32bae226b84af72aca29782dbb
2022-12-01,2022-11-30,5007,5068,4938,4938,2737,4365,10,7877fa36131f939718ed8d72cea0fb244ec5bc8bb1dd1ec5f440b74845f99737
2023-01-03,2022-12-30,5067,5159,4997,4997,2763,4395,10,bf41eec09d77851ca2d03434c112e9f1f96198966e9effcb8e432f1dd5ca1d40
2023-02-01,2023-01-31,5077,5172,5006,5006,2775,4428,10,68938b389c8b5340271f885a7202b65d64a85ef49a28e98061e7c5d955f11201
2023-03-01,2023-02-28,5097,5202,5026,5026,2783,4456,10,8e3d2a1ff870fd9cc69ae9c784589891d5e3078453eaf9bd3155a8ed9a53dc37
2023-04-03,2023-03-31,5130,5242,5058,5058,2798,4482,10,e16234bcb42077a067b0767704a08c0fb480f71471a0a965353dcad6abea0b0a
2023-05-04,2023-04-28,5163,5283,5091,5091,2818,4456,10,84a77fc472eaf4d8a0e039cd30bbc894bdd8dec05538267ecc4a80bceeee4988
2023-06-01,2023-05-31,5186,5317,5112,5112,2843,4496,10,b3e8e1b7d16a7162f6354a714f67327287a8b6186a3322ada44001b1b0c367c9
